SKU,Quantity,Reason,Month,Year
uglysweater55-M,1,AMZ-PG-APP-TOO-SMALL,November,2021
CVSM2258-MooseHead-2X,1,AMZ-PG-BAD-DESC,November,2021
runningshorts001YELLOW-L-XL,1,AMZ-PG-APP-STYLE,November,2021
100584-SheriffBoots-10/11,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
GDSM2659TV-GratefullDeadBear-L,1,AMZ-PG-APP-TOO-SMALL,November,2021
suicidesquad004-S,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
424701,1,AMZ-PG-APP-STYLE,November,2021
ultimatewarriorbandSet,1,DID_NOT_LIKE_FABRIC,November,2021
ultimatewarriorwristbands,1,AMZ-PG-WJ-TOO-LARGE,November,2021
heinztankdressketchup-XXL,1,CR-QUALITY_UNACCEPTABLE,November,2021
tmnt045Don-M,1,CR-UNWANTED_ITEM,November,2021
Inflatable001-BlackSanta8feet,1,CR-DEFECTIVE,November,2021
richardsimmons001-S-M,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
leagueoftheirowncostume-L/XL,1,AMZ-PG-BAD-DESC,November,2021
RMSM3847-RickMortyHolidayPartyUCS-4XL,1,AMZ-PG-APP-TOO-SMALL,November,2021
RWTM09-BabyYodaUCS-3XL,1,AMZ-PG-APP-TOO-SMALL,November,2021
uglysweater60-XL,1,CR-SWITCHEROO,November,2021
NL029-ChristmasVacationPajamaSet-L,1,AMZ-PG-APP-TOO-LARGE,November,2021
BoxingRobe-Black,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
soahat014,1,CR-UNWANTED_ITEM,November,2021
220650-S/M,1,AMZ-PG-APP-TOO-SMALL,November,2021
biglpants001-L,1,AMZ-PG-APP-TOO-LARGE,November,2021
ricflare001-pink,1,CR-QUALITY_UNACCEPTABLE,November,2021
OESM2387TV-DwightBeetsSweater-XL,1,AMZ-PG-APP-TOO-SMALL,November,2021
bobsburgersbeanie001,1,CR-UNWANTED_ITEM,November,2021
stepbros001-M,1,AMZ-PG-APP-TOO-SMALL,November,2021
CVSM2258-MooseHead-2X,1,AMZ-PG-APP-TOO-LARGE,November,2021
ghost017-XL,1,AMZ-PG-APP-TOO-LARGE,November,2021
102025-InfOrnament-18-Blue,1,CR-ORDERED_WRONG_ITEM,November,2021
CVSM2258-MooseHead-M,1,AMZ-PG-APP-TOO-LARGE,November,2021
HufflepuffRobe-HP0286-L/XL,1,CR-DAMAGED_BY_CARRIER,November,2021
WolverineJacket-L,1,AMZ-PG-APP-TOO-SMALL,November,2021
RWTM09-BabyYodaUCS-M,1,AMZ-PG-APP-TOO-SMALL,November,2021
102025-InfOrnament-18-Green,2,CR-MISSING_PARTS,November,2021
102025-InfOrnament-18-White,2,CR-MISSING_PARTS,November,2021
102026-InfOrnament-25-Red,2,CR-MISSING_PARTS,November,2021
ChristmasOrnaments-ShittersFull-100788,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
uglysweater52-3XL,1,CR-FOUND_BETTER_PRICE,November,2021
Inflatable001-BlackSanta8feet,1,CR-DEFECTIVE,November,2021
102025-InfOrnament-18-Green,1,CR-MISSING_PARTS,November,2021
102025-InfOrnament-18-Red,2,CR-DEFECTIVE,November,2021
NutsSweaterUCS1-L,1,CR-SWITCHEROO,November,2021
wrestlingboots-LB,1,CR-MISSING_PARTS,November,2021
NSHA2204-NarutoLeafHeadband,1,AMZ-PG-APP-TOO-LARGE,November,2021
WuTangUnionSuit-LN0011-L,1,CR-UNWANTED_ITEM,November,2021
204292-DeerRingSweater-3XL,1,AMZ-PG-APP-TOO-LARGE,November,2021
100705-LegLampInflatable,1,CR-DAMAGED_BY_FC,November,2021
220799-QuailMan-L,1,CR-UNWANTED_ITEM,November,2021
WakandaForeverUCS-L,1,CR-SWITCHEROO,November,2021
waldocostumeDELUXE-L,2,CR-UNWANTED_ITEM,November,2021
pedrosanchez-Kit,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
ChristmasSocks-FilthyAnimal-100751,1,CR-UNWANTED_ITEM,November,2021
BoxingRobe-Black,1,AMZ-PG-APP-TOO-SMALL,November,2021
biglpants001-XL,1,CR-UNWANTED_ITEM,November,2021
220696-WOMENS-MimeCostumeSet-S,1,CR-UNWANTED_ITEM,November,2021
rockynecklace,1,AMZ-PG-BAD-DESC,November,2021
WB1241-WB1249-HarleyQuinnCostumeSet-S,1,AMZ-PG-APP-TOO-SMALL,November,2021
RWTM09-BabyYodaUCS-2XL,1,AMZ-PG-APP-TOO-SMALL,November,2021
Thing1-6-UnionSuit-ADULT-XL,2,CR-DEFECTIVE,November,2021
204070-Detective&BlueShirt-XXL,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
CVSM2258-MooseHead-3X,1,AMZ-PG-APP-TOO-LARGE,November,2021
ucs3d001-XXXL,1,AMZ-PG-APP-TOO-LARGE,November,2021
RWTM09-BabyYodaUCS-XL,1,AMZ-PG-APP-TOO-SMALL,November,2021
WB1658-WB1659-WonderWomanCostumeSet1-XL,1,CR-UNWANTED_ITEM,November,2021
Inflatable001-BlackSanta8feet,1,CR-FOUND_BETTER_PRICE,November,2021
toystorywoodyvest-XL-XXL,1,AMZ-PG-APP-TOO-LARGE,November,2021
powerrangers015yellow-XL,1,AMZ-PG-APP-TOO-LARGE,November,2021
CY034-ChristmasStoryUnionSuit-3XL,1,AMZ-PG-APP-TOO-LARGE,November,2021
leagueoftheirowncostume-L/XL,1,CR-DEFECTIVE,November,2021
custom-NameNum-leagueoftheirown-S-M,1,CR-UNWANTED_ITEM,November,2021
ChristmasOrnaments-HumpingReindeer-10078,1,CR-MISSING_PARTS,November,2021
220823-PinkBunny-KIDS-5/6,1,CR-ORDERED_WRONG_ITEM,November,2021
102026-InfOrnament-25-Gold,3,CR-UNWANTED_ITEM,November,2021
102025-InfOrnament-18-White,5,CR-UNWANTED_ITEM,November,2021
dodgeball003N-M,1,CR-UNWANTED_ITEM,November,2021
LegLampRedPants-WR0314-52-M,1,AMZ-PG-APP-TOO-LARGE,November,2021
20327-CatalinaSweater-XL,1,CR-FOUND_BETTER_PRICE,November,2021
ILoveXmasUCS-L,1,CR-UNWANTED_ITEM,November,2021
Inflatable001-BlackSanta8feet,1,CR-DEFECTIVE,November,2021
sbb015-S,1,AMZ-PG-APP-TOO-SMALL,November,2021
uglysweater60-M,1,CR-DEFECTIVE,November,2021
Santa-AnimatedPlushy,1,CR-DEFECTIVE,November,2021
oktoberfestlederhosenPANTS-42,1,AMZ-PG-APP-TOO-SMALL,November,2021
100576BROWN-L,1,CR-UNWANTED_ITEM,November,2021
tmnt045Don-L,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
tmnt045Don-L,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
Inflatable001-BlackSanta8feet,1,CR-UNWANTED_ITEM,November,2021
JLSN243-TuneSquadSHORTS-XXL,1,CR-DEFECTIVE,November,2021
CVSM2258-MooseHead-L,1,CR-UNWANTED_ITEM,November,2021
220631-youth,1,AMZ-PG-APP-TOO-SMALL,November,2021
trumpyuge-L,1,AMZ-PG-APP-TOO-LARGE,November,2021
uglysweater56-XXL,1,CR-FOUND_BETTER_PRICE,November,2021
stepbros011-S,1,DID_NOT_LIKE_FABRIC,November,2021
starwars095-M,2,AMZ-PG-APP-TOO-SMALL,November,2021
102026-InfOrnament-25-Gold,1,CR-UNWANTED_ITEM,November,2021
dresshat001HAT1-Red,1,AMZ-PG-APP-TOO-SMALL,November,2021
dresshat001HAT1-Green,1,AMZ-PG-APP-TOO-SMALL,November,2021
RedNavyHumpingReindeer-20404-XS,1,AMZ-PG-APP-STYLE,November,2021
apollorobe,1,AMZ-PG-APP-STYLE,November,2021
DH394MAU1-DeadpoolSweater-L,1,CR-UNWANTED_ITEM,November,2021
CVSM2258-MooseHead-M,1,AMZ-PG-APP-TOO-LARGE,November,2021
suicidesquad004-L,1,AMZ-PG-APP-TOO-LARGE,November,2021
ILoveXmasUCS-M,1,AMZ-PG-APP-TOO-SMALL,November,2021
CousinEddieWhiteRobe-220703,1,CR-UNWANTED_ITEM,November,2021
ShittersFullUnionSuit-WR0317-2XL,1,AMZ-PG-APP-TOO-SMALL,November,2021
starwars168-S,1,AMZ-PG-BAD-DESC,November,2021
flinttropicssocks,1,AMZ-PG-APP-TOO-LARGE,November,2021
uglysweater52-3XL,1,CR-QUALITY_UNACCEPTABLE,November,2021
SquidGameMask-Face,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
SquidGameMask-Face,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
bigl020-L,1,AMZ-PG-APP-STYLE,November,2021
WB1658-WB1659-WonderWomanCostumeSet1-M,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
BuzzLightYearLongSleeveAdultShirt-XL,1,AMZ-PG-APP-TOO-LARGE,November,2021
102025-InfOrnament-18-Red,1,CR-UNWANTED_ITEM,November,2021
102026-InfOrnament-25-Green,1,CR-UNWANTED_ITEM,November,2021
102025-InfOrnament-18-Green,1,CR-UNWANTED_ITEM,November,2021
102026-InfOrnament-25-Red,1,CR-UNWANTED_ITEM,November,2021
DH394MAU1-DeadpoolSweater-3XL,1,DID_NOT_LIKE_FABRIC,November,2021
DH394MAU1-DeadpoolSweater-XXL,1,DID_NOT_LIKE_FABRIC,November,2021
NL029-ChristmasVacationPajamaSet-XL,1,AMZ-PG-APP-TOO-LARGE,November,2021
tmnt045Leo-S,1,AMZ-PG-APP-TOO-LARGE,November,2021
alanbabycarriercostume,1,CR-UNWANTED_ITEM,November,2021
DS197-UglySweater-XXL,1,AMZ-PG-APP-TOO-SMALL,November,2021
uglysweater52-L,1,CR-UNWANTED_ITEM,November,2021
HJCO2021-HootersCostumeSet-M,1,AMZ-PG-APP-TOO-LARGE,November,2021
FilthyAnimalLoungePants-XF003-XL,1,AMZ-PG-APP-TOO-LARGE,November,2021
waldocostumeDELUXE-XL,1,CR-UNWANTED_ITEM,November,2021
dodgeball003-L,1,CR-UNWANTED_ITEM,November,2021
Dodgeball003-M,1,CR-UNAUTHORIZED_PURCHASE,November,2021
Dodgeball003-XL,1,CR-UNWANTED_ITEM,November,2021
NL029-ChristmasVacationPajamaSet-XL,1,CR-UNWANTED_ITEM,November,2021
CowgirlShirt-204051-S,1,CR-UNWANTED_ITEM,November,2021
DS197-UglySweater-M,1,CR-SWITCHEROO,November,2021
uglyjacketlights-L-XL,1,AMZ-PG-APP-TOO-SMALL,November,2021
incredhulk006-XL,1,AMZ-PG-APP-TOO-SMALL,November,2021
captamerica031-XXL,1,AMZ-PG-APP-TOO-LARGE,November,2021
220745-AhoySailorCostume-WOMENS-XXL,1,AMZ-PG-APP-TOO-SMALL,November,2021
3DHumpingReindeerUCS-S,1,CR-DAMAGED_BY_CARRIER,November,2021
DH394MAU1-DeadpoolSweater-4XL,1,AMZ-PG-APP-TOO-SMALL,November,2021
MightyDucksJersey-Bombay-3XL,1,AMZ-PG-APP-TOO-SMALL,November,2021
coketankdress-M,1,AMZ-PG-APP-TOO-SMALL,November,2021
coketankdress-L,1,AMZ-PG-APP-TOO-SMALL,November,2021
StarWarsFinnJacket-XXL,1,AMZ-PG-APP-TOO-SMALL,November,2021
sbb029-S,1,CR-SWITCHEROO,November,2021
usa002-L,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
nap027-L,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
suicidesquad010-S,1,CR-UNWANTED_ITEM,November,2021
204072-OfficeBossComboSet-L,1,CR-SWITCHEROO,November,2021
KissmasFlappyUCS-S,1,AMZ-PG-APP-TOO-SMALL,November,2021
napoleondynamite003,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
pedroaccessorykit,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
Thing1-6-UnionSuit-ADULT-L,1,CR-UNWANTED_ITEM,November,2021
RWTM09-BabyYodaUCS-S,1,AMZ-PG-APP-TOO-LARGE,November,2021
dodgeball003-M,1,CR-UNWANTED_ITEM,November,2021
20353-PNK-L,1,AMZ-PG-APP-TOO-SMALL,November,2021
Superman001-XXL,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
Curly80'sHair-1232,1,CR-UNWANTED_ITEM,November,2021
OESM2914TV-SchruteFarmsUCS-S,1,AMZ-PG-APP-TOO-SMALL,November,2021
PE0006-SnoopyLoungePants-L,1,AMZ-PG-APP-TOO-LARGE,November,2021
junkfood187-M,1,CR-UNWANTED_ITEM,November,2021
B3SM2058TV-BOBROSS-M,1,AMZ-PG-APP-TOO-LARGE,November,2021
Inflatable001-BlackSanta4feet,1,CR-SWITCHEROO,November,2021
DS197-UglySweater-M,1,AMZ-PG-APP-STYLE,November,2021
LolaSleepSet-WB1787-69-S,1,CR-UNWANTED_ITEM,November,2021
uglysweater60-XXL,1,CR-SWITCHEROO,November,2021
TheSandlotUCS-Red-XXL,1,AMZ-PG-APP-TOO-LARGE,November,2021
sein023-XXL,1,AMZ-PG-APP-TOO-LARGE,November,2021
DS197-UglySweater-L,1,DID_NOT_LIKE_COLOR,November,2021
starwars168-3X,1,AMZ-PG-APP-TOO-SMALL,November,2021
220079-SharkChubSuitBlue-Adult,1,DID_NOT_LIKE_FABRIC,November,2021
1170-RSWigEyebrown,1,DID_NOT_LIKE_FABRIC,November,2021
DS197-UglySweater-3XL,1,AMZ-PG-APP-TOO-SMALL,November,2021
OESM2439TV-DunderMifflinSweater-XL,1,AMZ-PG-APP-TOO-LARGE,November,2021
RedUglyPajamas-20406-XS,1,AMZ-PG-APP-TOO-LARGE,November,2021
wrestlingboots-LB,1,CR-SWITCHEROO,November,2021
KRSM2011-KrampusSweater-XL,1,CR-DAMAGED_BY_CARRIER,November,2021
ChristmasSocks-Stripper-Pole-100761,1,CR-UNWANTED_ITEM,November,2021
3DTRexUCS-XXL,1,CR-DEFECTIVE,November,2021
waldocostumeDELUXE-BOYS-L,1,CR-UNWANTED_ITEM,November,2021
SlytherinRobe-HP0284-S/M,1,CR-UNWANTED_ITEM,November,2021
3DTRexUCS-XL,1,AMZ-PG-APP-TOO-LARGE,November,2021
CVSM2258-MooseHead-2X,1,AMZ-PG-APP-TOO-LARGE,November,2021
220811-SkeletonPajamaGLOW-2XL,1,CR-DEFECTIVE,November,2021
BQSM3410TV-BobsBurgersLouise-3XL,1,CR-SWITCHEROO,November,2021
HolidayCheersBeerHolderUCS-XL,1,AMZ-PG-APP-TOO-SMALL,November,2021
WakandaForeverUCS-XL,1,CR-SWITCHEROO,November,2021
Dodgeball003-M,1,CR-UNWANTED_ITEM,November,2021
220660pllxl,1,AMZ-PG-APP-TOO-LARGE,November,2021
NL029-ChristmasVacationPajamaSet-L,1,CR-UNWANTED_ITEM,November,2021
ghost010-YL,1,AMZ-PG-APP-TOO-SMALL,November,2021
S2258-UglySweater-XXL,1,AMZ-PG-APP-TOO-SMALL,November,2021
DS197-UglySweater-M,1,AMZ-PG-APP-TOO-LARGE,November,2021
bigl032-XXXL,1,CR-UNWANTED_ITEM,November,2021
incredhulk013-XXXL,1,AMZ-PG-APP-TOO-SMALL,November,2021
uglysweater75-XL,1,CR-UNWANTED_ITEM,November,2021
CVSM2258-MooseHead-M,1,AMZ-PG-APP-TOO-LARGE,November,2021
usa002-XXL,1,AMZ-PG-APP-TOO-SMALL,November,2021
DH394MAU1-DeadpoolSweater-XXL,1,AMZ-PG-APP-TOO-SMALL,November,2021
20327-CatalinaSweater-3XL,1,CR-SWITCHEROO,November,2021
suicidesquad010-S,1,AMZ-PG-APP-TOO-SMALL,November,2021
MarioJumpsuit001-L,1,AMZ-PG-APP-TOO-LARGE,November,2021
kennywig,1,CR-QUALITY_UNACCEPTABLE,November,2021
NL029-ChristmasVacationPajamaSet-XL,1,AMZ-PG-APP-TOO-SMALL,November,2021
220697-MENS-MimeCostumeSet-M,1,CR-UNWANTED_ITEM,November,2021
RedBandanaRedGlasses,1,CR-MISSED_ESTIMATED_DELIVERY,November,2021
RWTM09-BabyYodaUCS-M,1,AMZ-PG-APP-TOO-LARGE,November,2021
DH394MAU1-DeadpoolSweater-S,1,AMZ-PG-APP-TOO-SMALL,November,2021
CVSM2258-MooseHead-2X,2,CR-UNWANTED_ITEM,November,2021
BQSM3410TV-BobsBurgersLouise-3XL,1,AMZ-PG-APP-TOO-LARGE,November,2021
102025-InfOrnament-18-Red,1,AMZ-PG-BAD-DESC,November,2021
102025-InfOrnament-18-Green,1,AMZ-PG-BAD-DESC,November,2021
102026-InfOrnament-25-Silver,2,AMZ-PG-BAD-DESC,November,2021
102026-InfOrnament-25-White,4,AMZ-PG-BAD-DESC,November,2021
102025-InfOrnament-18-Gold,3,AMZ-PG-BAD-DESC,November,2021
bigdudewig001,1,CR-DEFECTIVE,November,2021
bigl032-XL,1,AMZ-PG-APP-TOO-LARGE,November,2021
uglysweater41-XXXL,1,AMZ-PG-APP-TOO-LARGE,November,2021
rockyrobe2,1,CR-UNWANTED_ITEM,November,2021
CY034-ChristmasStoryUnionSuit-3XL,1,AMZ-PG-APP-TOO-SMALL,November,2021
leagueoftheirowncostume-L/XL,1,AMZ-PG-BAD-DESC,November,2021
juno004-XL,1,AMZ-PG-APP-TOO-LARGE,November,2021
juno004-XL,1,AMZ-PG-APP-TOO-LARGE,November,2021
hulkpantsN001-XXL,1,CR-UNWANTED_ITEM,November,2021
trueblood009-L,1,DID_NOT_LIKE_FABRIC,November,2021
SquidGameSuit-GREEN-001-L,1,CR-DEFECTIVE,November,2021
B0005-BudLIghtChristmasSweater-XL,1,AMZ-PG-APP-TOO-SMALL,November,2021
mm001Nblu-S,1,AMZ-PG-APP-TOO-LARGE,November,2021
