SKU,Quantity,Reason,Month
roddypiper001-S,1,AMZ-PG-APP-TOO-SMALL,April
220785-DumbDumber-ORNG-M,1,CR-UNWANTED_ITEM,April
junk187-L,1,AMZ-PG-APP-TOO-SMALL,April
lotrbilbowig,1,CR-DEFECTIVE,April
roddypiper001-S,1,AMZ-PG-APP-TOO-SMALL,April
CocaColaLeggings-CCXX1-S,1,AMZ-PG-APP-TOO-SMALL,April
hulk001N-XL,1,AMZ-PG-APP-TOO-LARGE,April
dresshat001HAT1-Green,1,DID_NOT_LIKE_COLOR,April
OktoberfestSocks-100515,1,CR-UNWANTED_ITEM,April
220744-AhoySailorCostume-MENS-PLUS,1,AMZ-PG-APP-TOO-SMALL,April
customslides1-10-black,1,AMZ-PG-APP-TOO-SMALL,April
adventure002jr-S,1,AMZ-PG-APP-TOO-SMALL,April
adventure001-S,1,AMZ-PG-APP-TOO-SMALL,April
CustomFaceMaks2,1,CR-DEFECTIVE,April
CowgirlShirt-204051-M,1,CR-UNWANTED_ITEM,April
woodycostumeshirt-S-M,1,CR-UNWANTED_ITEM,April
woodycostumeshirt-S-M,1,CR-UNWANTED_ITEM,April
CowgirlShirt-204051-M,1,CR-UNWANTED_ITEM,April
CustomFaceMaks2,1,AMZ-PG-BAD-DESC,April
220785-DumbDumber-ORNG-L,1,CR-UNWANTED_ITEM,April
tmntapriloneilcostume-L/XL,1,AMZ-PG-APP-TOO-LARGE,April
wonderwomanwallet,1,CR-MISSED_ESTIMATED_DELIVERY,April
wonderwomanset001-L,1,DID_NOT_LIKE_FABRIC,April
customshirtWhite-L,1,AMZ-PG-APP-TOO-SMALL,April
Custom-RS3401-Pink-6_12m,1,CR-SWITCHEROO,April
powerrangers018red-0/6,1,CR-UNWANTED_ITEM,April
rockyrobe1,4,AMZ-PG-APP-TOO-SMALL,April
100576BLACK-S,2,CR-UNWANTED_ITEM,April
100576BROWN-L,1,AMZ-PG-APP-TOO-LARGE,April
A9249-MarvelDress-XXL,1,AMZ-PG-APP-TOO-SMALL,April
CustomFaceMaks2,1,CR-DEFECTIVE,April
NL029-ChristmasVacationPajamaSet-XL,1,AMZ-PG-APP-TOO-LARGE,April
HP047-SlytherinUnionSuit-L,1,AMZ-PG-BAD-DESC,April
ricflare001-black,1,CR-QUALITY_UNACCEPTABLE,April
arrestedbobblehead002,1,CR-DEFECTIVE,April
mash003-M,1,CR-MISSED_ESTIMATED_DELIVERY,April
WuTangUnionSuit-LN0011-L,1,AMZ-PG-APP-TOO-SMALL,April
CustomFaceMaks2,1,CR-DEFECTIVE,April
customshirtWhite-L,1,AMZ-PG-APP-TOO-SMALL,April
5000-MMJuniorsBrownHoodie-S,1,CR-DEFECTIVE,April
cobrakaiheadband,1,CR-MISSED_ESTIMATED_DELIVERY,April
bigl012-XL,1,AMZ-PG-APP-TOO-SMALL,April
CowgirlShirt-204051-S,1,DID_NOT_LIKE_FABRIC,April
WB1241-WB1249-HarleyQuinnCostumeSet-M,1,CR-MISSED_ESTIMATED_DELIVERY,April
tmntmasks-Red,1,AMZ-PG-APP-TOO-SMALL,April
wonderwomanswim001a-S,1,AMZ-PG-APP-STYLE,April
customslides1-9-black-white,1,AMZ-PG-APP-TOO-SMALL,April
suicidesquad010-M,1,AMZ-PG-APP-TOO-SMALL,April
powerrangers018blue-6/12,1,CR-UNWANTED_ITEM,April
forestgumphat1,1,CR-UNWANTED_ITEM,April
100980-TheQueenMusicBeltArmband,1,CR-MISSED_ESTIMATED_DELIVERY,April
SmartLEDFaceMask,1,CR-DEFECTIVE,April
weekndwig001,1,CR-DEFECTIVE,April
tmnt047tankdressLeo-L,1,AMZ-PG-APP-TOO-LARGE,April
MightyDucksJersey-Goldberg-XL,1,AMZ-PG-APP-TOO-SMALL,April
tmnt047tankdressLeo-L,1,AMZ-PG-APP-TOO-SMALL,April
WB1658-WB1659-WonderWomanCostumeSet1-XL,1,AMZ-PG-BAD-DESC,April
CustomFaceMaks2,1,CR-UNWANTED_ITEM,April
100576BLACK-L,1,CR-SWITCHEROO,April
roddypiper001-M,1,AMZ-PG-APP-TOO-SMALL,April
suicidesquad003-2X,1,AMZ-PG-APP-TOO-SMALL,April
WB1658-WB1659-WonderWomanCostumeSet1-S,1,CR-UNWANTED_ITEM,April
hulk003-S,1,AMZ-PG-APP-TOO-SMALL,April
metallica003-L,1,AMZ-PG-APP-TOO-LARGE,April
hulkhogancostumesetYELsunREDban-2X,1,CR-UNWANTED_ITEM,April
napoleonaccesssoryboots-L,1,CR-UNWANTED_ITEM,April
suicidesquad003-M,1,AMZ-PG-APP-TOO-SMALL,April
wrestlingboots-Sred,1,CR-UNWANTED_ITEM,April
100576BROWN-M,1,DID_NOT_LIKE_COLOR,April
suicidesquad003-S,1,AMZ-PG-APP-TOO-SMALL,April
breakingbad008white-S,1,AMZ-PG-APP-TOO-SMALL,April
suicidesquad003-2X,1,AMZ-PG-APP-TOO-SMALL,April
suicidesquad010-M,1,AMZ-PG-APP-TOO-SMALL,April
suicidesquad003-M,1,AMZ-PG-APP-TOO-SMALL,April
FYMSC20-ZeddemoreShirt-M,1,AMZ-PG-APP-TOO-LARGE,April
dresshat001HAT2-Yellow,3,CR-UNWANTED_ITEM,April
WB1622-HarleyChemiseDress-M,1,CR-UNWANTED_ITEM,April
100576BLACK-XL,1,AMZ-PG-APP-TOO-LARGE,April
sein023-XL,1,DID_NOT_LIKE_COLOR,April
soahat005-S/M,1,AMZ-PG-APP-TOO-SMALL,April
NL029-ChristmasVacationPajamaSet-XXL,1,DID_NOT_LIKE_FABRIC,April
nwo003-S,1,AMZ-PG-APP-TOO-SMALL,April
wildthingscostume001-L,1,AMZ-PG-APP-TOO-LARGE,April
suicidesquad003-M,1,AMZ-PG-BAD-DESC,April
frozenbag002,1,CR-DEFECTIVE,April
powerrangers015black-M,1,AMZ-PG-APP-TOO-LARGE,April
220660pkxxl,1,CR-UNWANTED_ITEM,April
JLSN243-TuneSquadSHORTS-XS,1,AMZ-PG-APP-TOO-LARGE,April
roddypiper001-XL,1,AMZ-PG-APP-TOO-LARGE,April
CustomFaceMask,1,CR-DEFECTIVE,April
PolkHighJersey-L,1,AMZ-PG-BAD-DESC,April
nerdstankdressPURPLE-XL,1,AMZ-PG-APP-STYLE,April
nerdstankdressPURPLE-L,1,AMZ-PG-APP-STYLE,April
woodycostumeshirt-3XL,1,AMZ-PG-APP-TOO-SMALL,April
Custom-MightDucksJersey-L,1,AMZ-PG-BAD-DESC,April
drseuss027thing2-XL,1,CR-UNWANTED_ITEM,April
Futurama003-L,1,CR-DEFECTIVE,April
bigldudecostume001-L,1,AMZ-PG-APP-TOO-SMALL,April
amywinehousewig,1,CR-MISSED_ESTIMATED_DELIVERY,April
204089-ModernLife-L,1,AMZ-PG-APP-TOO-LARGE,April
CustomFaceMaks2,1,CR-DEFECTIVE,April
marvel039-XXL,1,AMZ-PG-APP-TOO-SMALL,April
sein023-S,1,AMZ-PG-APP-TOO-SMALL,April
A9031-32-MinnieBodysuitSkirtSet-M,1,AMZ-PG-APP-TOO-SMALL,April
100576BLACK-S,1,AMZ-PG-APP-TOO-SMALL,April
hulk001ym,1,DID_NOT_LIKE_FABRIC,April
hulk001N-S,1,DID_NOT_LIKE_FABRIC,April
100576BROWN-M,1,AMZ-PG-APP-TOO-SMALL,April
eastbound018-XXL,1,AMZ-PG-APP-TOO-LARGE,April
suicidesquad003-S,1,AMZ-PG-APP-TOO-SMALL,April
simpsonsduffhat,1,AMZ-PG-APP-STYLE,April
CustomFaceMask,1,AMZ-PG-BAD-DESC,April
bigl032-4XL,1,AMZ-PG-APP-STYLE,April
incredhulk006-XL,1,AMZ-PG-APP-TOO-SMALL,April
sharkcostume-XXL,1,AMZ-PG-APP-STYLE,April
drseusstankdressTHING2-XL,1,AMZ-PG-APP-TOO-SMALL,April
nerdstankdressPINK-M,1,CR-UNWANTED_ITEM,April
DSTS26LGS-BuzzLightyearJuniotsTshirt-S,1,AMZ-PG-APP-TOO-LARGE,April
AMZTVSO-Flipa-3600-HEATHERGREY-M,1,CR-SWITCHEROO,April
CVGriswoldLoungePants-WR0319-52-S,1,CR-UNWANTED_ITEM,April
watchmen006-XL,1,CR-SWITCHEROO,April
powerrangers017red-S,1,AMZ-PG-APP-TOO-LARGE,April
100576BROWN-S,1,CR-UNWANTED_ITEM,April
hulk003redN-S,1,CR-SWITCHEROO,April
hulk003redN-S,1,CR-SWITCHEROO,April
aerosmith002-L,1,CR-UNWANTED_ITEM,April
caddy010-M,1,AMZ-PG-APP-TOO-LARGE,April
furiespants-M,1,CR-UNWANTED_ITEM,April
1158-WhiteFuManchuBeardWig,1,CR-UNWANTED_ITEM,April
1158-WhiteFuManchuBeardWig,1,CR-UNWANTED_ITEM,April
furiespants-M,1,CR-UNWANTED_ITEM,April
powerrangersleggings001BLACK-XXL,1,AMZ-PG-APP-TOO-SMALL,April
powerrangersocks001-Black,1,CR-UNWANTED_ITEM,April
powerrangersocks001-Pink,1,AMZ-PG-BAD-DESC,April
heavyweights001TANK-M,1,AMZ-PG-APP-TOO-LARGE,April
MAFH-ShieldHat,1,AMZ-PG-APP-STYLE,April
runningshorts001BLACK-L-XL,1,AMZ-PG-APP-TOO-LARGE,April
amywinehousewig,1,AMZ-PG-BAD-DESC,April
RetroWigHeadband-1191,1,CR-UNWANTED_ITEM,April
HS0217-TwisterLoungePants-XL,3,AMZ-PG-APP-TOO-SMALL,April
JudgeWig-1194,1,DID_NOT_LIKE_FABRIC,April
hulk003-XXL,1,AMZ-PG-APP-TOO-LARGE,April
RO-ARWZ-IIN8,1,CR-SWITCHEROO,April
ninjacotumeRED-S,1,CR-DEFECTIVE,April
sein023-L,1,AMZ-PG-APP-TOO-LARGE,April
starwars129-M,1,CR-UNWANTED_ITEM,April
100576BROWN-M,1,CR-QUALITY_UNACCEPTABLE,April
TSM20002TV-WoodyBelt-XL,1,CR-UNWANTED_ITEM,April
amywinehousewig,1,CR-UNWANTED_ITEM,April
100950-CowboyChaps,1,CR-UNWANTED_ITEM,April
sesame034-6,1,AMZ-PG-APP-TOO-SMALL,April
plumtree001-XXL,1,AMZ-PG-APP-TOO-SMALL,April
cobrakaiheadband,1,CR-DEFECTIVE,April
usaboardshorts003-M,1,CR-UNWANTED_ITEM,April
heavyweights001LONGsleeve-M,1,AMZ-PG-APP-TOO-SMALL,April
RedBandanaYellowGlasses,1,CR-SWITCHEROO,April
ApolloShorts-S,1,CR-UNWANTED_ITEM,April
Custom-Gildan2700-Black-L,1,AMZ-PG-APP-TOO-SMALL,April
mm003JRSblue-S,1,AMZ-PG-APP-TOO-SMALL,April
mm001Ngrn-S,1,AMZ-PG-APP-STYLE,April
ferris010-L,1,AMZ-PG-APP-TOO-LARGE,April
DELUXE-ADULT-PrideRainbow,1,CR-DEFECTIVE,April
rocky001xl,1,AMZ-PG-BAD-DESC,April
flinttropicssocks,1,DID_NOT_LIKE_COLOR,April
WayneWig-1195,1,CR-SWITCHEROO,April
starwars113-S,1,AMZ-PG-APP-TOO-SMALL,April
220660glxl,1,CR-UNWANTED_ITEM,April
220660gsm,1,CR-UNWANTED_ITEM,April
rockyshorts-XL,1,AMZ-PG-APP-TOO-SMALL,April
