SKU,Quantity,Reason,Month,Year
CarpetWetTodd-RedBlack-3XL,1,AMZ-PG-APP-TOO-SMALL,December,2021
DontKnowMargoUCS-GreenRed-4XL,1,AMZ-PG-APP-TOO-SMALL,December,2021
CY034-ChristmasStoryUnionSuit-M,1,CR-QUALITY_UNACCEPTABLE,December,2021
CY034-ChristmasStoryUnionSuit-L,1,AMZ-PG-APP-TOO-SMALL,December,2021
sharkcostume-M-L,1,AMZ-PG-APP-TOO-LARGE,December,2021
biglpants001-L,1,AMZ-PG-APP-TOO-LARGE,December,2021
ApolloShorts-M,1,CR-QUALITY_UNACCEPTABLE,December,2021
HumpingReindeer-AnimatedPlush,1,CR-DEFECTIVE,December,2021
WB0943-HQAllOverRedPants-XL,1,AMZ-PG-APP-TOO-SMALL,December,2021
SWSRHCF-TatooineSweater-L,1,AMZ-PG-APP-TOO-SMALL,December,2021
CVGriswoldLoungePants-WR0319-52-XL,1,AMZ-PG-APP-TOO-LARGE,December,2021
CY034-ChristmasStoryUnionSuit-L,1,AMZ-PG-APP-TOO-LARGE,December,2021
CustomUCSweater-WhiteBlack-XL,1,CR-SWITCHEROO,December,2021
ElfLoungePants-WR0322-52-L,1,AMZ-PG-APP-TOO-SMALL,December,2021
ElfLoungePants-WR0322-52-L,1,AMZ-PG-APP-TOO-SMALL,December,2021
CY034-ChristmasStoryUnionSuit-3XL,1,AMZ-PG-APP-TOO-SMALL,December,2021
deadpool005-XL,1,AMZ-PG-APP-TOO-LARGE,December,2021
WR0434-PinkBunnyLoungePants-L,1,AMZ-PG-APP-TOO-SMALL,December,2021
bigl032-M,1,AMZ-PG-APP-TOO-LARGE,December,2021
CY034-ChristmasStoryUnionSuit-XL,1,CR-UNWANTED_ITEM,December,2021
CY034-ChristmasStoryUnionSuit-XXL,1,AMZ-PG-APP-TOO-SMALL,December,2021
deadpool005-XL,1,AMZ-PG-APP-STYLE,December,2021
wrestlingboots-MB,1,CR-DEFECTIVE,December,2021
BQSM3409TV-BobsBurgersTina-XL,1,AMZ-PG-APP-TOO-SMALL,December,2021
SquidGameMask-Triagle,2,CR-UNWANTED_ITEM,December,2021
ninja-sweater-blueface-2X,1,CR-SWITCHEROO,December,2021
CVGriswoldLoungePants-WR0319-52-M,1,AMZ-PG-APP-TOO-SMALL,December,2021
M&M-Red-JUNIORS-Shirt-XL,1,AMZ-PG-APP-TOO-SMALL,December,2021
monstersinc009-M,1,CR-SWITCHEROO,December,2021
MUMA05VMN-MaruchanNoodle-L,1,AMZ-PG-APP-TOO-LARGE,December,2021
sharkcostume-M-L,1,AMZ-PG-BAD-DESC,December,2021
MUMA05VMN-MaruchanNoodle-L,1,AMZ-PG-APP-TOO-LARGE,December,2021
RWTM09-BabyYodaUCS-XS,1,AMZ-PG-APP-TOO-LARGE,December,2021
GrabSnack-Red-M,1,AMZ-PG-APP-TOO-LARGE,December,2021
MUMA05VMN-MaruchanNoodle-L,1,AMZ-PG-APP-TOO-LARGE,December,2021
RickMortyPicklePants-RM0242-52-M,1,AMZ-PG-APP-TOO-SMALL,December,2021
arrested014black-S,1,CR-MISSED_ESTIMATED_DELIVERY,December,2021
WB1658-WB1659-WonderWomanCostumeSet1-XL,1,AMZ-PG-BAD-DESC,December,2021
SP0008-SouthParkYouGuysPants-L,1,AMZ-PG-APP-TOO-SMALL,December,2021
christmasvaca011-L,1,CR-MISSED_ESTIMATED_DELIVERY,December,2021
CVGriswoldLoungePants-WR0319-52-XL,1,AMZ-PG-APP-TOO-SMALL,December,2021
100581-CousinEddieShoe-11,1,AMZ-PG-APP-STYLE,December,2021
WuTangUnionSuit-LN0011-L,1,AMZ-PG-APP-TOO-SMALL,December,2021
UglySweater-FrostyBlowman-XXL,1,AMZ-PG-APP-TOO-SMALL,December,2021
starskyhutch001-L,1,AMZ-PG-APP-TOO-LARGE,December,2021
mm003JRSred-L,1,DID_NOT_LIKE_FABRIC,December,2021
102025-InfOrnament-18-Silver,1,AMZ-PG-BAD-DESC,December,2021
102026-InfOrnament-25-Gold,1,AMZ-PG-BAD-DESC,December,2021
102025-InfOrnament-18-Gold,1,AMZ-PG-BAD-DESC,December,2021
102026-InfOrnament-25-Silver,1,AMZ-PG-BAD-DESC,December,2021
OESM2439TV-DunderMifflinSweater-L,1,CR-UNWANTED_ITEM,December,2021
caddyshackhat001,1,CR-UNWANTED_ITEM,December,2021
bigl032-XL,1,AMZ-PG-APP-TOO-LARGE,December,2021
Inflatable001-HumpReindeer4feet1,1,CR-DEFECTIVE,December,2021
suicidesquad010-L,1,AMZ-PG-APP-TOO-LARGE,December,2021
UglySweater-SantaSnowMan-XL,1,CR-UNWANTED_ITEM,December,2021
DH394MAU1-DeadpoolSweater-M,1,CR-UNWANTED_ITEM,December,2021
TheSandlotUCS-Red-M,1,CR-UNWANTED_ITEM,December,2021
TheSandlotUCS-Red-L,1,CR-UNWANTED_ITEM,December,2021
Santa-AnimatedPlushy,1,AMZ-PG-BAD-DESC,December,2021
RWTM09-BabyYodaUCS-S,1,AMZ-PG-APP-TOO-SMALL,December,2021
PawPatrolChaseBlueHoodie-3T,1,CR-UNWANTED_ITEM,December,2021
