SKU,Quantity,Reason,Month
WoodyLongSleeveAdultShirt-XXL,1,CR-ORDERED_WRONG_ITEM,January
rockyrobesetDRAGO,1,CR-MISSED_ESTIMATED_DELIVERY,January
CustomFaceMaks2,1,CR-DEFECTIVE,January
CustomFaceMaks2,1,CR-DEFECTIVE,January
CustomFaceMaks2,1,CR-DEFECTIVE,January
runningshorts001RED-L-XL,1,DID_NOT_LIKE_FABRIC,January
runningshorts001RED-S-M,1,DID_NOT_LIKE_FABRIC,January
biglpants001-XXL,1,CR-UNWANTED_ITEM,January
Custom-ST307-Black-S,1,AMZ-PG-APP-STYLE,January
220745-AhoySailorCostume-WOMENS-L/XL,1,AMZ-PG-BAD-DESC,January
100980-TheQueenMusicBeltArmband,1,AMZ-PG-BAD-DESC,January
bigl032-L,2,CR-NOT_COMPATIBLE,January
RedAfroWig-1216,1,AMZ-PG-APP-TOO-LARGE,January
ShittersFullUnionSuit-WR0317-2XL,1,AMZ-PG-APP-TOO-SMALL,January
CustomFaceMaks2,1,AMZ-PG-BAD-DESC,January
deadpool010-XL,1,AMZ-PG-APP-TOO-SMALL,January
ShittersFullUnionSuit-WR0317-XL,1,CR-SWITCHEROO,January
ShittersFullUnionSuit-WR0317-L,5,AMZ-PG-APP-TOO-SMALL,January
100576BROWN-XL,1,AMZ-PG-APP-STYLE,January
uglywutang-XL,1,AMZ-PG-APP-STYLE,January
RO-ARWZ-IIN8,1,CR-MISSED_ESTIMATED_DELIVERY,January
JLSN243-TuneSquadSHORTS-XS,1,AMZ-PG-APP-STYLE,January
DarkWigBeard-1234,1,CR-DEFECTIVE,January
RickMortyPicklePants-RM0242-52-L,1,CR-DEFECTIVE,January
caddy010-2X,1,AMZ-PG-APP-TOO-LARGE,January
RWTM09-BabyYodaUCS-M,1,AMZ-PG-APP-TOO-SMALL,January
wrestlingboots-MW,1,CR-UNWANTED_ITEM,January
wrestlingboots-LW,1,CR-UNWANTED_ITEM,January
KRSM2011-KrampusSweater-S,1,AMZ-PG-APP-TOO-SMALL,January
ApolloShorts-L,1,AMZ-PG-APP-TOO-LARGE,January
sein023-XXL,1,AMZ-PG-APP-TOO-SMALL,January
sein023-XXL,1,AMZ-PG-APP-TOO-SMALL,January
2N75-ElmoHoodieEyeball-3X,1,CR-UNWANTED_ITEM,January
coketankdress-L,1,AMZ-PG-APP-TOO-SMALL,January
coketankdress-XL,1,AMZ-PG-APP-TOO-SMALL,January
coketankdress-2X,1,AMZ-PG-APP-TOO-SMALL,January
revengenerds005-M,1,AMZ-PG-APP-TOO-SMALL,January
RickMortyPicklePants-RM0242-52-M,1,AMZ-PG-APP-TOO-LARGE,January
TheSandlotUCS-Navy-L,1,CR-DEFECTIVE,January
RedBandanaYellowGlasses,1,CR-UNWANTED_ITEM,January
hulk005N-6M,1,CR-UNWANTED_ITEM,January
hulk003-S,1,CR-UNWANTED_ITEM,January
hulkpantsN001-XXL,1,CR-UNWANTED_ITEM,January
gooniesslothmask,1,AMZ-PG-BAD-DESC,January
WB1658-WB1659-WonderWomanCostumeSet1-M,1,AMZ-PG-BAD-DESC,January
PKPR042-PowerRangersSocks-Green,1,CR-MISSED_ESTIMATED_DELIVERY,January
biglpants001-3XL,1,DID_NOT_LIKE_FABRIC,January
Custom-ST500-Royal-S,1,DID_NOT_LIKE_COLOR,January
TigerKing-HatWigSet,1,CR-QUALITY_UNACCEPTABLE,January
220791-TigerKingShirt-BLUE-S,1,AMZ-PG-APP-TOO-SMALL,January
1243-CatLadyWig,1,CR-DEFECTIVE,January
220791-TigerKingShirt-BLUE-M,1,AMZ-PG-APP-TOO-SMALL,January
PE0006-SnoopyLoungePants-2XL,1,AMZ-PG-BAD-DESC,January
CustomFaceMaks2,1,CR-DEFECTIVE,January
starwars129-4XL,1,CR-QUALITY_UNACCEPTABLE,January
HumpingReindeer-AnimatedPlush,1,CR-DEFECTIVE,January
Santa-AnimatedPlushy,1,CR-DEFECTIVE,January
NaughtyHappySnowman-AnimatedPlushy,1,CR-DEFECTIVE,January
204073-PresidentPedroShirt-L,1,CR-SWITCHEROO,January
ApolloShorts-L,1,AMZ-PG-APP-TOO-LARGE,January
office023-M,1,CR-QUALITY_UNACCEPTABLE,January
TreeRexLightUpUCS-XL,1,AMZ-PG-BAD-DESC,January
CY034-ChristmasStoryUnionSuit-XXL,1,CR-MISSED_ESTIMATED_DELIVERY,January
GrinchUnionSuit-Adult-S,1,AMZ-PG-APP-TOO-LARGE,January
GrinchUnionSuit-Adult-M,1,AMZ-PG-APP-TOO-LARGE,January
stepbros010-M,1,CR-NOT_COMPATIBLE,January
bobsburgersbeanie001,1,CR-SWITCHEROO,January
SnowflakesReindeer-20401-XXL,1,AMZ-PG-APP-TOO-LARGE,January
RickMortyPicklePants-RM0242-52-L,1,CR-UNWANTED_ITEM,January
hangoverglasses,1,CR-MISSED_ESTIMATED_DELIVERY,January
CY034-ChristmasStoryUnionSuit-S,1,CR-MISSED_ESTIMATED_DELIVERY,January
biglpants001-XXL,1,AMZ-PG-APP-TOO-LARGE,January
CY034-ChristmasStoryUnionSuit-XL,1,CR-SWITCHEROO,January
CustomFaceMask,1,CR-MISSING_PARTS,January
wwe112-L,2,AMZ-PG-APP-TOO-SMALL,January
KRSM2011-KrampusSweater-XL,1,AMZ-PG-APP-TOO-SMALL,January
dresshat001HAT1-Green,1,CR-MISSED_ESTIMATED_DELIVERY,January
starwars169-L,1,DID_NOT_LIKE_FABRIC,January
greenlantern028-XXL,1,CR-SWITCHEROO,January
CustomFaceMaks2,1,AMZ-PG-BAD-DESC,January
DedSecHat001-Navy,1,AMZ-PG-BAD-DESC,January
officedundie,1,CR-DAMAGED_BY_FC,January
soahat005-S/M,1,CR-DEFECTIVE,January
3DTRexUCS-XXL,1,AMZ-PG-APP-TOO-SMALL,January
10068387-BuzzPajamaSet-XL,1,CR-ORDERED_WRONG_ITEM,January
office010ls-XL,1,AMZ-PG-APP-TOO-LARGE,January
startrek033-L,1,AMZ-PG-APP-TOO-SMALL,January
GrinchUnionSuit-Adult-S,1,AMZ-PG-APP-TOO-SMALL,January
GrinchUnionSuit-Adult-L,1,AMZ-PG-APP-TOO-SMALL,January
GrinchUnionSuit-Adult-S,1,AMZ-PG-APP-TOO-SMALL,January
GrinchUnionSuit-Adult-XL,1,AMZ-PG-APP-TOO-SMALL,January
suicidesquad003-M,1,AMZ-PG-APP-TOO-SMALL,January
aerosmith002-S,1,AMZ-PG-APP-TOO-LARGE,January
RedNavyHumpingReindeer-20404-XL,1,AMZ-PG-APP-TOO-LARGE,January
BEA027-BeatlesChristmasSweater-S,1,AMZ-PG-APP-TOO-LARGE,January
WR0436-ScoobyDooPants-S,1,AMZ-PG-APP-TOO-SMALL,January
sein023-XXL,1,AMZ-PG-APP-TOO-SMALL,January
CVGriswoldLoungePants-WR0319-52-XL,1,AMZ-PG-APP-TOO-SMALL,January
batmancoin1,1,AMZ-PG-BAD-DESC,January
woodycostumeshirt-L-XL,1,CR-SWITCHEROO,January
LEDFaceMask,1,CR-DEFECTIVE,January
woodycostumeshirt-S-M,1,AMZ-PG-APP-TOO-SMALL,January
woodycostumeshirt-S-M,1,AMZ-PG-APP-TOO-SMALL,January
metallica003-XXL,1,AMZ-PG-APP-TOO-LARGE,January
3DTRexUCS-L,1,AMZ-PG-APP-TOO-SMALL,January
woodycostumeshirt-S-M,1,AMZ-PG-APP-TOO-SMALL,January
JLSN604-MonstarsSHORTS-XL,1,CR-DAMAGED_BY_CARRIER,January
ferris010-XL,1,AMZ-PG-APP-TOO-LARGE,January
sharkcostume-M-L,1,AMZ-PG-APP-TOO-LARGE,January
100576BROWN-M,1,AMZ-PG-APP-TOO-SMALL,January
ElizaZombieWig-1219,1,DID_NOT_LIKE_FABRIC,January
arrestedbobblehead001,1,CR-DEFECTIVE,January
customshirtBlack-S,1,CR-UNWANTED_ITEM,January
napoleondynamite003,1,AMZ-PG-APP-TOO-LARGE,January
RWTM09-BabyYodaUCS-2XL,1,AMZ-PG-APP-TOO-SMALL,January
uglysweater52-M,1,AMZ-PG-APP-TOO-SMALL,January
CY034-ChristmasStoryUnionSuit-3XL,1,AMZ-PG-APP-TOO-SMALL,January
CustomFaceMaks2,1,AMZ-PG-BAD-DESC,January
CY034-ChristmasStoryUnionSuit-XL,1,CR-MISSED_ESTIMATED_DELIVERY,January
NL029-ChristmasVacationPajamaSet-3XL,1,AMZ-PG-APP-TOO-SMALL,January
madhatterpurse001,1,AMZ-PG-APP-TOO-SMALL,January
NL029-ChristmasVacationPajamaSet-L,1,AMZ-PG-APP-TOO-LARGE,January
super044stripes-S,1,AMZ-PG-APP-TOO-LARGE,January
machomanbandana-Orange,1,AMZ-PG-APP-STYLE,January
chubsuitcostume001-Pink,1,NEVER_ARRIVED,January
chubsuitcostume001-Blue,1,NEVER_ARRIVED,January
suicidesquad004-S,1,AMZ-PG-APP-TOO-SMALL,January
RetroWigHeadband-1191,1,CR-DEFECTIVE,January
uglysweater44-L,1,AMZ-PG-APP-TOO-SMALL,January
220660plxs,1,AMZ-PG-APP-TOO-SMALL,January
CarpetWetTodd-RedBlack-XL,1,AMZ-PG-APP-TOO-LARGE,January
3DTRexUCS-L,1,CR-UNWANTED_ITEM,January
topgun026-XL,1,AMZ-PG-APP-TOO-SMALL,January
NaughtyHappySnowman-AnimatedPlushy,1,CR-DEFECTIVE,January
JH18-8FTFESTI,1,CR-DEFECTIVE,January
junk114-S,1,AMZ-PG-APP-TOO-SMALL,January
LolaSleepSet-WB1787-69-XS,1,CR-UNWANTED_ITEM,January
uglysweater52-4XL,1,DID_NOT_LIKE_FABRIC,January
metallica003-S,1,AMZ-PG-APP-TOO-SMALL,January
lego017-7,1,AMZ-PG-BAD-DESC,January
UglySweater-GhostFace-L,1,AMZ-PG-BAD-DESC,January
CVGriswoldLoungePants-WR0319-52-M,1,AMZ-PG-APP-TOO-SMALL,January
wrestlingboots-SW,1,CR-UNWANTED_ITEM,January
uglysweater38-XL,1,AMZ-PG-APP-TOO-SMALL,January
WuTangKillerBeesUCS-M,1,CR-QUALITY_UNACCEPTABLE,January
drseuss015-XL,1,AMZ-PG-APP-TOO-SMALL,January
starwars017-M,1,AMZ-PG-APP-TOO-LARGE,January
WR0268-ShittersFullPants-3XL,1,AMZ-PG-APP-TOO-LARGE,January
