SKU,Quantity,Reason,Month
batmanswim005-S,1,AMZ-PG-APP-TOO-SMALL,March
jerseyshoreglasses,1,CR-DAMAGED_BY_FC,March
CustomFaceMaks2,1,AMZ-PG-BAD-DESC,March
bvswwcostume-XL,1,AMZ-PG-APP-TOO-LARGE,March
bvswwcostume-M,1,CR-UNWANTED_ITEM,March
bvswwcostume-S,1,AMZ-PG-APP-TOO-SMALL,March
Custom-RS4400-CarolinaBlue-3_6m,1,CR-DEFECTIVE,March
CustomFaceMaks2,2,CR-QUALITY_UNACCEPTABLE,March
plumtree001-XXL,1,AMZ-PG-APP-TOO-SMALL,March
legendstemplered-M,1,CR-UNWANTED_ITEM,March
rockyshorts-L,1,AMZ-PG-BAD-DESC,March
100576BROWN-M,1,AMZ-PG-APP-TOO-SMALL,March
ZeldaJumpsuit001-XL,1,CR-UNWANTED_ITEM,March
greenlantern028-XXXL,1,DID_NOT_LIKE_FABRIC,March
sanford064-XL,1,AMZ-PG-APP-STYLE,March
insideoutjoywig,4,CR-UNWANTED_ITEM,March
usaboardshorts003-XXL,1,AMZ-PG-APP-TOO-SMALL,March
stepbros001-XL,1,AMZ-PG-APP-STYLE,March
ghost022-M,1,AMZ-PG-APP-TOO-SMALL,March
peanuts027jrs-M,1,AMZ-PG-APP-TOO-SMALL,March
CustomFaceMask,1,AMZ-PG-BAD-DESC,March
mash003-L,1,AMZ-PG-APP-TOO-LARGE,March
dresshat001HAT1-Green,1,CR-MISSED_ESTIMATED_DELIVERY,March
powerrangers018red-18/24,1,CR-SWITCHEROO,March
RedBandanaRedGlasses,1,AMZ-PG-APP-TOO-SMALL,March
RedBandanaRedGlasses,1,AMZ-PG-APP-STYLE,March
KillingJokeWig-1204,1,AMZ-PG-APP-STYLE,March
mash003-XXL,1,AMZ-PG-APP-TOO-LARGE,March
sharkcostume-M-L,1,CR-MISSED_ESTIMATED_DELIVERY,March
wrestlingboots-LB,1,AMZ-PG-APP-TOO-LARGE,March
wrestlingboots-LY,1,AMZ-PG-APP-TOO-LARGE,March
wrestlingboots-Lred,1,AMZ-PG-APP-TOO-LARGE,March
nwo001-XXL,1,AMZ-PG-APP-TOO-SMALL,March
wrestlingboots-LBlu,1,CR-QUALITY_UNACCEPTABLE,March
ETBO6011-COLouiseHat,1,CR-UNWANTED_ITEM,March
siliconvalley001-XXL,1,AMZ-PG-APP-TOO-LARGE,March
CustomFaceMaks2,2,CR-DEFECTIVE,March
Custom-RS4400-White-3_6m,1,DID_NOT_LIKE_FABRIC,March
bvswwcostume-M,1,CR-DEFECTIVE,March
bvswwcostume-M,1,CR-SWITCHEROO,March
SM0045-SimpsonsTshirt-3XL,1,AMZ-PG-APP-TOO-SMALL,March
1158-WhiteFuManchuBeardWig,1,CR-UNWANTED_ITEM,March
suicidesquad003-S,1,AMZ-PG-APP-TOO-SMALL,March
stpatricks002-L-XL,1,AMZ-PG-APP-TOO-SMALL,March
chubsuitcostume001-Green,1,CR-DEFECTIVE,March
tmnt056Raph-L,1,AMZ-PG-APP-TOO-SMALL,March
woodycostumeshirt-S-M,1,CR-MISSED_ESTIMATED_DELIVERY,March
100576BROWN-M,1,AMZ-PG-APP-TOO-SMALL,March
