SKU,Quantity,Reason,Month,Year
HJCO2021-HootersCostumeSet-M,1,AMZ-PG-APP-TOO-SMALL,October,2021
WB1622-HarleyChemiseDress-S,1,CR-FOUND_BETTER_PRICE,October,2021
chubsuitcostume002-black,1,CR-UNWANTED_ITEM,October,2021
220759-BLUE-DetectiveBLUEShirt1-S,1,AMZ-PG-BAD-DESC,October,2021
WB1622-HarleyChemiseDress-XS,1,CR-UNWANTED_ITEM,October,2021
220839-SashFlag,1,CR-UNWANTED_ITEM,October,2021
BretHitmanSunglasses,1,AMZ-PG-BAD-DESC,October,2021
starwars129-S,1,AMZ-PG-APP-TOO-SMALL,October,2021
prettywomandress,1,AMZ-PG-APP-TOO-LARGE,October,2021
220839-SashFlag,1,CR-DAMAGED_BY_FC,October,2021
220780-TigerKingJacket-L,1,CR-MISSED_ESTIMATED_DELIVERY,October,2021
DSTS26LGS-BuzzLightyearJuniotsTshirt-XL,1,AMZ-PG-APP-TOO-SMALL,October,2021
superherocape002ADULTblk-red,1,AMZ-PG-APP-TOO-SMALL,October,2021
DSTS26LGS-BuzzLightyearJuniotsTshirt-XL,1,CR-UNWANTED_ITEM,October,2021
RavenclawRobe-HP0285-S/M,1,AMZ-PG-APP-TOO-LARGE,October,2021
RavenclawRobe-HP0285-L/XL,1,AMZ-PG-APP-TOO-SMALL,October,2021
RiverdaleTankSkirtSet-WR0345-69-L,1,AMZ-PG-APP-TOO-LARGE,October,2021
LolaSleepSet-WB1787-69-S,1,AMZ-PG-APP-TOO-LARGE,October,2021
leagueoftheirowncostume-S/Mdeluxe,1,CR-UNWANTED_ITEM,October,2021
100584-SheriffBoots-10/11,1,AMZ-PG-APP-TOO-SMALL,October,2021
leagueoftheirowncostume-L/XL,1,CR-UNWANTED_ITEM,October,2021
incredhulk006-XL,1,DID_NOT_LIKE_FABRIC,October,2021
BoxingRobe-Blue,1,CR-MISSED_ESTIMATED_DELIVERY,October,2021
KillingJokeWig-1204,1,AMZ-PG-APP-TOO-SMALL,October,2021
SheriffWoodyBadge,1,CR-UNWANTED_ITEM,October,2021
TSM20002TV-WoodyBelt-S,1,CR-UNWANTED_ITEM,October,2021
bigl032-L,1,AMZ-PG-APP-TOO-LARGE,October,2021
runningshorts001YELLOW-L-XL,1,DID_NOT_LIKE_COLOR,October,2021
blowupguitar,1,CR-MISSED_ESTIMATED_DELIVERY,October,2021
machomanbandana-Red,1,AMZ-PG-APP-STYLE,October,2021
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL,October,2021
beautybeast001-L-XL,1,CR-UNWANTED_ITEM,October,2021
dodgeball003-XS,1,CR-UNWANTED_ITEM,October,2021
tmntsocks003-Mike,1,AMZ-PG-APP-TOO-SMALL,October,2021
BoxingRobe-Black,1,CR-UNWANTED_ITEM,October,2021
insideoutjoywig,1,CR-MISSED_ESTIMATED_DELIVERY,October,2021
CowgirlShirt-204051-M,1,AMZ-PG-APP-TOO-LARGE,October,2021
waldocostumeDELUXE-XL,1,CR-UNWANTED_ITEM,October,2021
starwars164-S,1,AMZ-PG-APP-TOO-SMALL,October,2021
rockyshorts-M,1,AMZ-PG-APP-TOO-SMALL,October,2021
rockyrobe2,1,AMZ-PG-APP-TOO-SMALL,October,2021
suicidesquad004-XL,1,CR-DEFECTIVE,October,2021
ShortSleeve-SpenglerTee-M,1,AMZ-PG-APP-TOO-SMALL,October,2021
A9031-32-MinnieBodysuitSkirtSet-L,1,AMZ-PG-APP-TOO-SMALL,October,2021
dodgeball003-XL,1,CR-UNWANTED_ITEM,October,2021
alanbabycarriercostume,1,DID_NOT_LIKE_FABRIC,October,2021
204073-PresidentPedroShirt-XXL,1,CR-UNWANTED_ITEM,October,2021
A9031-32-MinnieBodysuitSkirtSet-M,1,AMZ-PG-APP-TOO-SMALL,October,2021
machomanbandana-Red,1,CR-MISSED_ESTIMATED_DELIVERY,October,2021
dodgeball003-XXL,1,CR-MISSED_ESTIMATED_DELIVERY,October,2021
bobsburgersbeanie001,1,AMZ-PG-APP-TOO-LARGE,October,2021
220757-AverageJoesWomensSet-XL,1,CR-MISSED_ESTIMATED_DELIVERY,October,2021
220757-AverageJoesWomensSet-2XL,1,CR-MISSED_ESTIMATED_DELIVERY,October,2021
juno003-L,1,DID_NOT_LIKE_FABRIC,October,2021
scarfaceglasses001,1,CR-QUALITY_UNACCEPTABLE,October,2021
suicidesquad004-2X,1,AMZ-PG-APP-TOO-SMALL,October,2021
WoodyLongSleeveAdultShirt-XL,1,AMZ-PG-APP-TOO-LARGE,October,2021
100980-TheQueenMusicBeltArmband,1,CR-UNAUTHORIZED_PURCHASE,October,2021
superherocape002ADULTgold-red,1,CR-DEFECTIVE,October,2021
toystory006-S,1,CR-ORDERED_WRONG_ITEM,October,2021
woodycostumeshirt-L-XL,1,AMZ-PG-APP-TOO-LARGE,October,2021
TSM20002TV-WoodyBelt-M,1,AMZ-PG-APP-STYLE,October,2021
leagueoftheirowncostume-L/XL,1,CR-UNWANTED_ITEM,October,2021
woodycostumeshirt-S-M,1,AMZ-PG-APP-TOO-LARGE,October,2021
waldocostumeDELUXE-M,1,CR-FOUND_BETTER_PRICE,October,2021
TweetySleepSet-WB1785-69-S,1,AMZ-PG-APP-TOO-SMALL,October,2021
WoodyLongSleeveAdultShirt-3XL,1,AMZ-PG-APP-TOO-LARGE,October,2021
204073-PresidentPedroShirt-S,1,AMZ-PG-APP-TOO-LARGE,October,2021
pedrosanchez-Kit,1,CR-MISSING_PARTS,October,2021
chubsuitcostume002-black,1,CR-UNWANTED_ITEM,October,2021
ninjanogginmask-darkgreen,1,DID_NOT_LIKE_COLOR,October,2021
woodycostumeshirt-L-XL,1,AMZ-PG-APP-TOO-SMALL,October,2021
leagueoftheirowncostume-XXLdeluxe,1,CR-UNWANTED_ITEM,October,2021
204073-PresidentPedroShirt-M,1,CR-SWITCHEROO,October,2021
waldocostumeDELUXE-XS,1,CR-UNWANTED_ITEM,October,2021
220623-youth,1,AMZ-PG-APP-TOO-SMALL,October,2021
superherocape002ADULTblk-red,1,AMZ-PG-APP-STYLE,October,2021
220082-VioletChubSuit-ADULT,1,AMZ-PG-APP-STYLE,October,2021
CousinEddieWhiteRobe-220703,1,AMZ-PG-APP-TOO-SMALL,October,2021
starwars129-L,1,AMZ-PG-BAD-DESC,October,2021
blackeyemask001,2,CR-UNWANTED_ITEM,October,2021
fearandloathingcostumeset-L,1,AMZ-PG-APP-TOO-SMALL,October,2021
hulk005N-24M,1,CR-UNWANTED_ITEM,October,2021
SquidGameSuit-GREEN-067-L,1,CR-ORDERED_WRONG_ITEM,October,2021
220650-S/M,1,AMZ-PG-APP-TOO-LARGE,October,2021
100950-CowboyChaps,1,DID_NOT_LIKE_FABRIC,October,2021
suicidesquad005mens-XL,1,AMZ-PG-APP-TOO-LARGE,October,2021
powerrangersset001yellow-XL,1,AMZ-PG-APP-TOO-SMALL,October,2021
220759-BLUE-DetectiveBLUEShirt1-M,1,CR-UNWANTED_ITEM,October,2021
220660gldlxl,1,CR-DEFECTIVE,October,2021
dodgeball003-L,1,AMZ-PG-BAD-DESC,October,2021
tootsietankdressRASP-S,1,AMZ-PG-APP-STYLE,October,2021
tootsietankdressORANGE-M,1,AMZ-PG-APP-STYLE,October,2021
sharkcostume-M-L,1,CR-DEFECTIVE,October,2021
220873-BlueCluesDress-XL,1,CR-UNWANTED_ITEM,October,2021
220635-std1,1,CR-DEFECTIVE,October,2021
tootsietankdressRASP-S,1,DID_NOT_LIKE_FABRIC,October,2021
tootsietankdressORANGE-M,1,DID_NOT_LIKE_FABRIC,October,2021
bvswwcostume-S,1,AMZ-PG-APP-TOO-SMALL,October,2021
WoodyLongSleeveAdultShirt-L,1,AMZ-PG-APP-TOO-SMALL,October,2021
bvswwcostume-2X,1,AMZ-PG-APP-TOO-LARGE,October,2021
suicidesquad004-L,1,AMZ-PG-APP-TOO-SMALL,October,2021
suicidesquad003-L,1,AMZ-PG-APP-TOO-SMALL,October,2021
hulkpants001-L,1,AMZ-PG-APP-STYLE,October,2021
suicidesquad004-XL,1,AMZ-PG-BAD-DESC,October,2021
BoxingRobe-White,1,CR-UNWANTED_ITEM,October,2021
blowupguitar,1,CR-UNWANTED_ITEM,October,2021
WB1658-WB1659-WonderWomanCostumeSet-L,1,CR-UNAUTHORIZED_PURCHASE,October,2021
BoxingRobe-Black,1,AMZ-PG-APP-TOO-SMALL,October,2021
WB1658-WB1659-WonderWomanCostumeSet1-M,1,CR-UNAUTHORIZED_PURCHASE,October,2021
chubsuitcostume001-Gray,1,AMZ-PG-APP-TOO-LARGE,October,2021
bvswwcostume-M,1,CR-UNAUTHORIZED_PURCHASE,October,2021
bvswwcostume-L,1,CR-UNAUTHORIZED_PURCHASE,October,2021
LolaSleepSet-WB1787-69-XXL,1,AMZ-PG-APP-TOO-SMALL,October,2021
ApolloShorts-M,1,CR-UNWANTED_ITEM,October,2021
robintank001-M,1,CR-UNWANTED_ITEM,October,2021
Thing1-6-UnionSuit-ADULT-XL,1,CR-FOUND_BETTER_PRICE,October,2021
Thing1-6-UnionSuit-ADULT-S,1,CR-FOUND_BETTER_PRICE,October,2021
100576BROWN-M,1,AMZ-PG-APP-TOO-SMALL,October,2021
ultimatewarriorbandSet,1,CR-UNWANTED_ITEM,October,2021
suicidesquad003-S,1,AMZ-PG-APP-TOO-SMALL,October,2021
