SKU,Quantity,Reason,Month,Year
ZeldaJumpsuit001-L,1,DID_NOT_LIKE_FABRIC,April,2022
20282-XXL,1,DID_NOT_LIKE_COLOR,April,2022
PowerRangers-Black-SLShirt-L,1,CR-FOUND_BETTER_PRICE,April,2022
PowerRangers-Green-SLShirt-2XL,1,CR-FOUND_BETTER_PRICE,April,2022
BoxingRobe-Black,1,CR-UNWANTED_ITEM,April,2022
220079-SharkChubSuitBlue-Adult,1,CR-MISSED_ESTIMATED_DELIVERY,April,2022
rockyrobe2,1,AMZ-PG-APP-STYLE,April,2022
he020-L,1,CR-DEFECTIVE,April,2022
officedundie,1,CR-ORDERED_WRONG_ITEM,April,2022
caddyshackhat003,1,AMZ-PG-APP-TOO-SMALL,April,2022
hoosiers003-L,1,AMZ-PG-APP-TOO-SMALL,April,2022
drseuss015-XL,1,AMZ-PG-APP-TOO-SMALL,April,2022
custom-KidsCape-Red,1,CR-DEFECTIVE,April,2022
amywinehouseset1,1,AMZ-PG-BAD-DESC,April,2022
hulkpants001-XL,1,AMZ-PG-APP-TOO-LARGE,April,2022
nerdstankdressPURPLE-L,1,CR-UNWANTED_ITEM,April,2022
nerdstankdressBLUE-XL,1,CR-UNWANTED_ITEM,April,2022
PowerRangers-Pink-SLShirt-XL,1,CR-UNWANTED_ITEM,April,2022
powerrangers018pink-18/24,1,CR-UNWANTED_ITEM,April,2022
CustomFaceMaks2,1,AMZ-PG-BAD-DESC,April,2022
mypony014-XS,1,AMZ-PG-APP-TOO-LARGE,April,2022
richardsimmons001-L-XL,1,AMZ-PG-APP-TOO-SMALL,April,2022
custom-30x40fleece-heart-plum,1,CR-ORDERED_WRONG_ITEM,April,2022
blowupguitar,2,CR-UNWANTED_ITEM,April,2022
albundy002-XXL,1,CR-QUALITY_UNACCEPTABLE,April,2022
albundy002-XXXL,1,CR-QUALITY_UNACCEPTABLE,April,2022
plumtree001-XL,1,AMZ-PG-APP-TOO-SMALL,April,2022
FilthyAnimalLoungePants-XF003-XL,1,DID_NOT_LIKE_FABRIC,April,2022
GDSA2851TV-GratDeadPants-XL,1,AMZ-PG-APP-TOO-LARGE,April,2022
GDSA2851TV-GratDeadPants-L,1,AMZ-PG-APP-TOO-LARGE,April,2022
suicidesquad003-XL,1,AMZ-PG-APP-TOO-SMALL,April,2022
drseuss015-M,1,AMZ-PG-APP-TOO-SMALL,April,2022
leagueoftheirowncostume-L/XL,1,AMZ-PG-BAD-DESC,April,2022
4U9ML-ERNIE-CostumeShirt-S,1,AMZ-PG-APP-TOO-SMALL,April,2022
bigbang072-XL,1,AMZ-PG-APP-TOO-SMALL,April,2022
metallica003-M,1,CR-SWITCHEROO,April,2022
220078-SharkChubSuitYellow-Adult,1,AMZ-PG-APP-STYLE,April,2022
magnumPI003-M,1,AMZ-PG-APP-TOO-SMALL,April,2022
magnumPI003-L,1,AMZ-PG-APP-TOO-LARGE,April,2022
curiousgeorgecostumeset-M,1,AMZ-PG-BAD-DESC,April,2022
wwe059purple-S,1,CR-UNWANTED_ITEM,April,2022
DaleVest-M,1,CR-UNWANTED_ITEM,April,2022
BrennanVest-L,1,CR-UNWANTED_ITEM,April,2022
custom-KidsCape-Green,1,CR-DEFECTIVE,April,2022
220074-PenguinChubSuit-Adult,1,CR-UNWANTED_ITEM,April,2022
boratthong,1,AMZ-PG-BAD-DESC,April,2022
hoosiers003-XL,1,AMZ-PG-APP-TOO-SMALL,April,2022
customshirtBlack-M,1,CR-QUALITY_UNACCEPTABLE,April,2022
ShortSleeve-VenkmanTee-3XL,1,CR-UNWANTED_ITEM,April,2022
ghost016-XXXL,1,AMZ-PG-BAD-DESC,April,2022
rockyrobe1,1,CR-QUALITY_UNACCEPTABLE,April,2022
Office008-XL,1,AMZ-PG-APP-TOO-LARGE,April,2022
Office008-L,1,AMZ-PG-APP-TOO-SMALL,April,2022
rockyrobe2,1,CR-UNWANTED_ITEM,April,2022
topgun002-L,2,AMZ-PG-MISORDERED,April,2022
topgun002-S,1,CR-UNWANTED_ITEM,April,2022
metallica003-S,1,DID_NOT_LIKE_COLOR,April,2022
topgun002-XL,1,CR-UNWANTED_ITEM,April,2022
NasaBoots-PLZZ7270TV-10-11,2,CR-UNWANTED_ITEM,April,2022
NasaBoots-PLZZ7270TV-12-13,2,CR-UNWANTED_ITEM,April,2022
220078-SharkChubSuitYellow-Teen,1,AMZ-PG-APP-TOO-LARGE,April,2022
trueblood009j-S,1,AMZ-PG-APP-TOO-SMALL,April,2022
220743-FlintTropicsSHORTS-L/XL,1,AMZ-PG-APP-TOO-LARGE,April,2022
100566-RonBurgundyRobe,1,AMZ-PG-APP-TOO-LARGE,April,2022
fearloathingglasses,1,CR-UNWANTED_ITEM,April,2022
soahat002-M/L,1,AMZ-PG-APP-TOO-LARGE,April,2022
plumtree001-M,1,CR-DAMAGED_BY_FC,April,2022
hulk003redN-XL,1,AMZ-PG-APP-TOO-LARGE,April,2022
plumtree001-S,1,AMZ-PG-APP-TOO-SMALL,April,2022
RickMortyPicklePants-RM0242-52-XXL,1,CR-SWITCHEROO,April,2022
adventure002jr-XL,1,AMZ-PG-APP-TOO-SMALL,April,2022
36307-M,1,CR-DEFECTIVE,April,2022
blowupguitar,1,AMZ-PG-APP-TOO-LARGE,April,2022
woodycostumeshirt-L-XL,1,AMZ-PG-APP-TOO-SMALL,April,2022
richardsimmons001-S-M,1,AMZ-PG-APP-STYLE,April,2022
ultimatewarriorbandSet,1,AMZ-PG-APP-STYLE,April,2022
M&M-Green-JUNIORS-Shirt-M,1,DID_NOT_LIKE_FABRIC,April,2022
M&M-Green-ADULT-Shirt-S,1,AMZ-PG-APP-TOO-SMALL,April,2022
mm001Nblu-XL,1,CR-QUALITY_UNACCEPTABLE,April,2022
dresshat001HAT2-Orange,1,DID_NOT_LIKE_FABRIC,April,2022
dresshat001HAT2-Purple,1,DID_NOT_LIKE_COLOR,April,2022
InflatableGiraffe-Adult,1,AMZ-PG-APP-TOO-SMALL,April,2022
CY034-ChristmasStoryUnionSuit-L,1,CR-QUALITY_UNACCEPTABLE,April,2022
mm003JRSblue-S,1,AMZ-PG-APP-TOO-LARGE,April,2022
doubledare001red-S,1,AMZ-PG-APP-TOO-SMALL,April,2022
sein023-XL,1,AMZ-PG-APP-TOO-SMALL,April,2022
powerrangers018blue-6/12,1,CR-QUALITY_UNACCEPTABLE,April,2022
SquidGameSuit-GREEN-067-S,1,CR-UNWANTED_ITEM,April,2022
teenwolfcostume1-XXL,1,AMZ-PG-APP-TOO-SMALL,April,2022
aerosmith002-S,1,AMZ-PG-APP-TOO-LARGE,April,2022
ghost017-L,1,AMZ-PG-MISORDERED,April,2022
acwig,1,AMZ-PG-APP-STYLE,April,2022
220835-NunMask,1,CR-DEFECTIVE,April,2022
powerrangers005-M,1,AMZ-PG-APP-STYLE,April,2022
avatar001-L,1,AMZ-PG-APP-TOO-SMALL,April,2022
20350-GRN-S,1,AMZ-PG-APP-TOO-SMALL,April,2022
superherocape002CHILDred-red,1,AMZ-PG-APP-TOO-LARGE,April,2022
wrestlingboots-MY,1,CR-MISSED_ESTIMATED_DELIVERY,April,2022
mm003JRSgreen-S,1,CR-NOT_COMPATIBLE,April,2022
Thing1-6-UnionSuit-ADULT-M,1,CR-UNWANTED_ITEM,April,2022
Tekashi69WigTattooSet,1,AMZ-PG-APP-STYLE,April,2022
