SKU,Quantity,Reason,Month,Year
220797-CaddyJumpsuit-XL,1,CR-DEFECTIVE,August,2022
bigldudecostume001-XXL,1,AMZ-PG-APP-TOO-LARGE,August,2022
mm001Nblu-XS,1,AMZ-PG-BAD-DESC,August,2022
gameofthrones008,1,AMZ-PG-APP-TOO-LARGE,August,2022
oktoberfestlederhosenSHORTS-38,1,AMZ-PG-APP-TOO-SMALL,August,2022
WB1658-WB1659-WonderWomanCostumeSet-XXL,1,CR-ORDERED_WRONG_ITEM,August,2022
avatar001-L,1,AMZ-PG-APP-TOO-SMALL,August,2022
beautybeast001-L-XL,1,AMZ-PG-APP-TOO-SMALL,August,2022
220660bllxl,1,AMZ-PG-APP-TOO-SMALL,August,2022
SharkCoustumeYouth,1,CR-MISSING_PARTS,August,2022
squeezetee-S,1,AMZ-PG-APP-TOO-SMALL,August,2022
ImperialOfficerCap-ECSW2060TV-Black,1,CR-DEFECTIVE,August,2022
100578BLACK-L,1,AMZ-PG-APP-TOO-LARGE,August,2022
QF009BBSTV-BlueyPajamas-3T,1,CR-ORDERED_WRONG_ITEM,August,2022
btlc004-L,1,AMZ-PG-APP-TOO-LARGE,August,2022
204073-PresidentPedroShirt-S,1,AMZ-PG-APP-TOO-SMALL,August,2022
uglysweater52-3XL,1,CR-UNWANTED_ITEM,August,2022
WB1622-HarleyChemiseDress-M,1,AMZ-PG-APP-TOO-SMALL,August,2022
SantaBoots-100580-M,1,AMZ-PG-APP-TOO-SMALL,August,2022
leagueoftheirowncostume-Small/Medium,1,CR-UNWANTED_ITEM,August,2022
JackDaniels001-MensShirt-M,1,AMZ-PG-APP-TOO-SMALL,August,2022
sundrop001-L,1,AMZ-PG-APP-TOO-SMALL,August,2022
stepbros010-XL,1,CR-MISSED_ESTIMATED_DELIVERY,August,2022
alanbabycarriercostume,1,CR-FOUND_BETTER_PRICE,August,2022
starwars088-M,1,AMZ-PG-APP-STYLE,August,2022
oktoberfestlederhosenSHORTS-32,1,AMZ-PG-APP-TOO-LARGE,August,2022
beautybeast001-L-XL,1,DID_NOT_LIKE_FABRIC,August,2022
sonsofanarchy037-M,1,CR-MISSED_ESTIMATED_DELIVERY,August,2022
mylittleponywig-Loyalty,1,CR-QUALITY_UNACCEPTABLE,August,2022
100584-SheriffBoots-12/13,1,AMZ-PG-APP-TOO-SMALL,August,2022
batmanswim005-M,1,AMZ-PG-APP-STYLE,August,2022
QF009BBSTV-BlueyPajamas-8,1,CR-UNWANTED_ITEM,August,2022
oktoberfestlederhosenPANTS-34,1,AMZ-PG-APP-TOO-SMALL,August,2022
220696-WOMENS-MimeCostumeSet-M,1,AMZ-PG-APP-TOO-SMALL,August,2022
220082-VioletChubSuit-ADULT,1,CR-UNWANTED_ITEM,August,2022
kennywig,1,CR-UNWANTED_ITEM,August,2022
220079-SharkChubSuitBlue-Adult,1,CR-SWITCHEROO,August,2022
CY034-ChristmasStoryUnionSuit-M,1,AMZ-PG-APP-TOO-SMALL,August,2022
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL,August,2022
220743-FlintTropicsSHORTS-L/XL,1,CR-ORDERED_WRONG_ITEM,August,2022
trueblood009jr-XL,1,AMZ-PG-APP-TOO-SMALL,August,2022
SquidGameSuit-GREEN-001-3XL,1,AMZ-PG-BAD-DESC,August,2022
SpaceJamHeadWristBand-ECLT7021TV,1,AMZ-PG-APP-TOO-SMALL,August,2022
bigl032-M,1,AMZ-PG-APP-TOO-SMALL,August,2022
blowupguitar,1,AMZ-PG-APP-TOO-LARGE,August,2022
hulkbriefs-XL,1,AMZ-PG-APP-TOO-LARGE,August,2022
rockyrobe2,1,CR-DEFECTIVE,August,2022
btlc004-XL,1,AMZ-PG-APP-TOO-SMALL,August,2022
bigldudecostume001-XXL,1,AMZ-PG-APP-TOO-LARGE,August,2022
mm003JRSred-XL,1,AMZ-PG-APP-TOO-SMALL,August,2022
flocostume001,1,AMZ-PG-APP-TOO-SMALL,August,2022
waldocostumeDELUXE-BOYS-L,1,CR-ORDERED_WRONG_ITEM,August,2022
