SKU,Quantity,Reason,Month
trans016-XL,1,AMZ-PG-APP-TOO-SMALL,February
drseuss015-XL,1,CR-UNWANTED_ITEM,February
220077-HotDogChubSuit-Adult,1,CR-UNWANTED_ITEM,February
204088-HopperHawaiianShirt-L,1,AMZ-PG-APP-TOO-LARGE,February
dresshat001HAT1-Green,1,CR-DAMAGED_BY_CARRIER,February
220079-SharkChubSuitBlue-Adult,1,AMZ-PG-APP-STYLE,February
220078-SharkChubSuitYellow-Adult,1,AMZ-PG-APP-STYLE,February
QF009BBSTV-BlueyPajamas-8,1,AMZ-PG-BAD-DESC,February
legendstemplered-S,1,CR-UNWANTED_ITEM,February
drseuss015-L,1,AMZ-PG-APP-TOO-SMALL,February
sbtbslaterjersey-L,1,CR-MISSED_ESTIMATED_DELIVERY,February
karatekidcobrakaidlxcostume-Deluxe,1,CR-UNWANTED_ITEM,February
bigl021-M,1,CR-UNWANTED_ITEM,February
adventuretime020-L,1,AMZ-PG-APP-STYLE,February
220850-ChuckieCostume-5-6T,1,CR-UNWANTED_ITEM,February
blackeyemask001,2,AMZ-PG-APP-TOO-SMALL,February
sbb015-L,1,CR-QUALITY_UNACCEPTABLE,February
1158-WhiteFuManchuBeardWig,1,DID_NOT_LIKE_FABRIC,February
batmanswim005-M,1,CR-QUALITY_UNACCEPTABLE,February
wrestlingboots-XLY,1,CR-UNAUTHORIZED_PURCHASE,February
220786-LT-DumbDumber-BLUE-L,1,CR-UNWANTED_ITEM,February
alanbabycarriercostumeDELUXE-XL,1,AMZ-PG-APP-TOO-SMALL,February
woodycostumeshirt-S-M,1,AMZ-PG-APP-TOO-LARGE,February
TSM20002TV-WoodyBelt-M,1,AMZ-PG-APP-TOO-LARGE,February
220846-CustomRobeKids-Flag,1,CR-UNWANTED_ITEM,February
220846-CustomRobeKids-Flag,1,CR-UNWANTED_ITEM,February
drseuss015-XL,2,AMZ-PG-APP-TOO-SMALL,February
custom-50x60silktouch-heart-plum,1,CR-DEFECTIVE,February
PowerRangers-Black-SLShirt-3XL,1,DID_NOT_LIKE_FABRIC,February
drseuss015-M,1,AMZ-PG-APP-TOO-SMALL,February
100596-GothicVampirePurpleGlasses,1,CR-UNWANTED_ITEM,February
sbb015-XL,1,DID_NOT_LIKE_FABRIC,February
rockyshorts-XL,1,DID_NOT_LIKE_FABRIC,February
rockyrobe1,1,DID_NOT_LIKE_FABRIC,February
greatest002-M,1,AMZ-PG-APP-TOO-SMALL,February
revengenerds005-M,1,CR-UNWANTED_ITEM,February
pedro001-L,1,CR-SWITCHEROO,February
incredhulk013-L,1,AMZ-PG-APP-TOO-LARGE,February
mm001Norg-XXL,1,CR-MISSED_ESTIMATED_DELIVERY,February
22jump001-XL,1,AMZ-PG-APP-TOO-LARGE,February
woodycostumeshirt-L-XL,1,CR-UNWANTED_ITEM,February
ferris010-L,1,CR-UNWANTED_ITEM,February
HufflepuffRobe-HP0286-L/XL,1,AMZ-PG-APP-TOO-SMALL,February
drseuss015-M,1,AMZ-PG-APP-TOO-SMALL,February
A9249-MarvelDress-L,1,AMZ-PG-MISORDERED,February
220696-WOMENS-MimeCostumeSet-M,1,AMZ-PG-APP-TOO-SMALL,February
topgun021-S,1,AMZ-PG-APP-TOO-LARGE,February
