SKU,Quantity,Reason,Month,Year
220762-RoddyPiperKiltBelt-L/XL,1,CR-MISSED_ESTIMATED_DELIVERY,June,2022
204089-ModernLife-XL,1,AMZ-PG-APP-TOO-SMALL,June,2022
20282-XXL,1,AMZ-PG-APP-TOO-SMALL,June,2022
starwars129-XXL,1,AMZ-PG-BAD-DESC,June,2022
topgun025-L,1,AMZ-PG-APP-TOO-SMALL,June,2022
machomanbandana-Pink,1,DID_NOT_LIKE_FABRIC,June,2022
220743-FlintTropicsSHORTS-L/XL,1,CR-UNWANTED_ITEM,June,2022
flinttropicssocks,1,CR-UNWANTED_ITEM,June,2022
100576BLACK-M,1,AMZ-PG-APP-TOO-SMALL,June,2022
boratthong,1,AMZ-PG-APP-TOO-LARGE,June,2022
GunsnRoses-12162218-XL,1,AMZ-PG-APP-TOO-LARGE,June,2022
aerosmith002-M,1,CR-MISSED_ESTIMATED_DELIVERY,June,2022
chubsuitcostume002-rylblue,1,CR-UNWANTED_ITEM,June,2022
220079-SharkChubSuitBlue-Adult,1,AMZ-PG-BAD-DESC,June,2022
stepbros010-XL,1,AMZ-PG-APP-TOO-LARGE,June,2022
CousinEddieWhiteRobe-220703,1,CR-UNWANTED_ITEM,June,2022
hulk003-L,1,CR-UNWANTED_ITEM,June,2022
hulkpants001-XL,1,AMZ-PG-APP-TOO-LARGE,June,2022
chubsuitcostume002-orange,1,CR-MISSING_PARTS,June,2022
220832-BingoOnesie-7/8,1,CR-ORDERED_WRONG_ITEM,June,2022
204088-HopperHawaiianShirt-S,1,CR-UNWANTED_ITEM,June,2022
Office010-L,1,DID_NOT_LIKE_FABRIC,June,2022
hulk001yl,1,AMZ-PG-APP-TOO-LARGE,June,2022
Futurama003-M,1,AMZ-PG-BAD-DESC,June,2022
220078-SharkChubSuitYellow-Adult,1,CR-MISSING_PARTS,June,2022
Peanuts001-L,1,DID_NOT_LIKE_COLOR,June,2022
albundy002-4X,1,AMZ-PG-APP-TOO-LARGE,June,2022
220743-FlintTropicsSHORTS-L/XL,1,CR-UNWANTED_ITEM,June,2022
220743-FlintTropicsSHORTS-L/XL,1,CR-UNWANTED_ITEM,June,2022
pedro004-S,1,CR-SWITCHEROO,June,2022
BoxingRobe-Blue,1,AMZ-PG-APP-STYLE,June,2022
metallica003-XXL,1,DID_NOT_LIKE_FABRIC,June,2022
officedundie,1,CR-MISSING_PARTS,June,2022
heavyweights001TANK-M,1,AMZ-PG-APP-STYLE,June,2022
CowgirlShirt-204051-XXL,1,AMZ-PG-APP-TOO-SMALL,June,2022
HJCO2021-HootersCostumeSet-XXL,1,AMZ-PG-APP-TOO-SMALL,June,2022
rockyshorts-XL,1,AMZ-PG-APP-STYLE,June,2022
frankie002-M,1,AMZ-PG-APP-TOO-SMALL,June,2022
stepbros010-XXL,1,DID_NOT_LIKE_FABRIC,June,2022
blowupguitar,1,CR-DEFECTIVE,June,2022
aerosmith002-S,1,AMZ-PG-APP-TOO-SMALL,June,2022
hotrodcostumeset-S,1,AMZ-PG-APP-TOO-LARGE,June,2022
PowerRangers-Red-SLShirt-M,1,AMZ-PG-APP-TOO-LARGE,June,2022
powerrangers018pink-18/24,1,AMZ-PG-APP-TOO-SMALL,June,2022
powerrangersset001red-XXL,1,AMZ-PG-APP-TOO-SMALL,June,2022
M&M-Blue-JUNIORS-Shirt-L,1,AMZ-PG-APP-TOO-SMALL,June,2022
M&M-Blue-JUNIORS-Shirt-M,1,AMZ-PG-APP-TOO-SMALL,June,2022
M&M-Green-JUNIORS-Shirt-M,1,AMZ-PG-APP-TOO-SMALL,June,2022
M&M-Green-JUNIORS-Shirt-S,1,CR-SWITCHEROO,June,2022
ElvisGlasses001-Gold,1,AMZ-PG-APP-STYLE,June,2022
boratthong,1,AMZ-PG-APP-TOO-LARGE,June,2022
feltmasks-Red,1,CR-QUALITY_UNACCEPTABLE,June,2022
BrownDreadlocks-1230,1,CR-DEFECTIVE,June,2022
