SKU,Quantity,Reason,Month,Year
220752-RockfordPeachesMENS-S/M,1,DID_NOT_LIKE_COLOR,March,2022
suicidesquad003-S,1,AMZ-PG-APP-TOO-SMALL,March,2022
mm001Nblu-XS,1,CR-SWITCHEROO,March,2022
mm001Nblu-M,1,AMZ-PG-APP-TOO-SMALL,March,2022
mm003JRSblue-S,1,AMZ-PG-APP-TOO-SMALL,March,2022
mm003JRSblue-M,1,AMZ-PG-APP-TOO-SMALL,March,2022
220786-LT-DumbDumber-BLUE-M,1,CR-UNWANTED_ITEM,March,2022
220785-DumbDumber-ORNG-L,1,CR-UNWANTED_ITEM,March,2022
100566-RonBurgundyRobe,1,AMZ-PG-APP-STYLE,March,2022
rockyshorts-XL,1,CR-DAMAGED_BY_CARRIER,March,2022
10056593-PowerRangerJuniors-Blue-S,1,CR-SWITCHEROO,March,2022
Futurama003-XL,1,CR-SWITCHEROO,March,2022
greenlantern028-M,1,AMZ-PG-APP-STYLE,March,2022
greenlantern028-L,1,AMZ-PG-APP-STYLE,March,2022
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL,March,2022
220759-BLUE-DetectiveBLUEShirt1-XL,1,CR-MISSED_ESTIMATED_DELIVERY,March,2022
stepbroswristband,1,CR-UNWANTED_ITEM,March,2022
tmntmasks-Blue,1,CR-UNWANTED_ITEM,March,2022
hoosiers003-M,1,AMZ-PG-APP-TOO-SMALL,March,2022
dexter002-S,1,AMZ-PG-APP-TOO-SMALL,March,2022
220079-SharkChubSuitBlue-Adult,1,CR-MISSED_ESTIMATED_DELIVERY,March,2022
hulk001N-M,1,CR-MISSED_ESTIMATED_DELIVERY,March,2022
220080-SharkChubSuitPink-Adult,1,CR-MISSED_ESTIMATED_DELIVERY,March,2022
acwig,1,CR-QUALITY_UNACCEPTABLE,March,2022
monstersinc003-7/8,1,AMZ-PG-APP-TOO-SMALL,March,2022
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL,March,2022
alsunny001bhood-XXL,1,AMZ-PG-APP-STYLE,March,2022
roddypiper001-L,1,DID_NOT_LIKE_FABRIC,March,2022
ApolloShorts-XL,1,DID_NOT_LIKE_FABRIC,March,2022
220823-PinkBunny-KIDS-3/4T,1,CR-DEFECTIVE,March,2022
drseuss024-XXL,1,AMZ-PG-APP-TOO-LARGE,March,2022
stepbros001-L,1,AMZ-PG-APP-TOO-SMALL,March,2022
220720-BunnyFlappySuit-ADULT-L/XL,1,CR-QUALITY_UNACCEPTABLE,March,2022
junk187-XXXL,1,AMZ-PG-APP-TOO-SMALL,March,2022
M&M-Red-ADULT-Shirt-S,1,AMZ-PG-APP-TOO-SMALL,March,2022
uglyleggings010-XL,1,AMZ-PG-APP-TOO-SMALL,March,2022
220778-BigBoyOverall-GREEN-S/M,1,AMZ-PG-APP-TOO-SMALL,March,2022
220078-SharkChubSuitYellow-Adult,1,AMZ-PG-APP-TOO-LARGE,March,2022
Thing1-6-UnionSuit-ADULT-M,1,CR-ORDERED_WRONG_ITEM,March,2022
Fragg004-M,1,AMZ-PG-APP-TOO-SMALL,March,2022
AMZ-irishyoga-3001-Tee-Black-M,1,AMZ-PG-APP-TOO-LARGE,March,2022
ferris010-XXL,1,AMZ-PG-APP-STYLE,March,2022
BoxingRobe-Black,1,CR-UNWANTED_ITEM,March,2022
germanshirtGREEN-XXXL,1,AMZ-PG-APP-TOO-SMALL,March,2022
1158-WhiteFuManchuBeardWig,1,DID_NOT_LIKE_FABRIC,March,2022
