SKU,Quantity,Reason,Month
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL,May
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL,May
bigl012-XL,1,AMZ-PG-APP-TOO-LARGE,May
bigl012-M,1,AMZ-PG-APP-TOO-LARGE,May
bigl012-S,1,AMZ-PG-APP-TOO-LARGE,May
greatest002-L,1,AMZ-PG-APP-TOO-SMALL,May
avatar001-S,1,AMZ-PG-APP-TOO-SMALL,May
220781-MeanGirlsSantaCostume-S,1,AMZ-PG-APP-TOO-SMALL,May
fearloathingglasses,1,CR-UNWANTED_ITEM,May
stepbros010-M,1,AMZ-PG-APP-STYLE,May
ImperialOfficerCap-ECSW2060TV-Black,1,CR-UNWANTED_ITEM,May
plumtree001-M,1,AMZ-PG-APP-TOO-SMALL,May
plumtree001-M,1,AMZ-PG-APP-TOO-SMALL,May
juno003-M,1,CR-UNWANTED_ITEM,May
jerseyshoreglasses,1,AMZ-PG-BAD-DESC,May
richardsimmons001-L-XL,1,AMZ-PG-APP-TOO-SMALL,May
RickMortyPicklePants-RM0242-52-S,1,AMZ-PG-APP-TOO-SMALL,May
CowgirlShirt-204051-XL,1,CR-DEFECTIVE,May
220660pklxl,1,AMZ-PG-APP-TOO-LARGE,May
220660pksm,1,DID_NOT_LIKE_COLOR,May
220077-HotDogChubSuit-Teen,1,CR-MISSED_ESTIMATED_DELIVERY,May
oktoberfestlederhosenPANTS-34,1,AMZ-PG-APP-TOO-LARGE,May
leagueoftheirowncostume-Small/Medium,1,AMZ-PG-APP-TOO-SMALL,May
RetroWigHeadband-1191,1,CR-UNWANTED_ITEM,May
WB1658-WB1659-WonderWomanCostumeSet-L,1,CR-UNWANTED_ITEM,May
starwars129-XL,1,CR-MISSED_ESTIMATED_DELIVERY,May
ImperialOfficerCap-ECSW2060TV-Black,1,DID_NOT_LIKE_FABRIC,May
biglpants001-XL,1,AMZ-PG-APP-TOO-SMALL,May
HufflepuffRobe-HP0286-2X/3X,1,DID_NOT_LIKE_FABRIC,May
monstersinc003-7/8,1,AMZ-PG-APP-TOO-SMALL,May
220079-SharkChubSuitBlue-Adult,1,AMZ-PG-APP-TOO-SMALL,May
hulkbgold,1,CR-MISSED_ESTIMATED_DELIVERY,May
plumtree001-XXL,1,AMZ-PG-APP-TOO-SMALL,May
bigl032-XXXL,1,CR-UNWANTED_ITEM,May
102026-InfOrnament-25-Gold,6,CR-UNWANTED_ITEM,May
ateam001-XL,1,DID_NOT_LIKE_FABRIC,May
superherocape002ADULTgold-red,1,CR-UNWANTED_ITEM,May
100566-RonBurgundyRobe,1,DID_NOT_LIKE_FABRIC,May
sundrop001-L,1,AMZ-PG-APP-TOO-SMALL,May
topgun014-S,1,AMZ-PG-APP-STYLE,May
topgun014-L,1,AMZ-PG-APP-STYLE,May
ImperialOfficerCap-ECSW2060TV-Black,1,DID_NOT_LIKE_COLOR,May
paul001-M,1,AMZ-PG-APP-TOO-SMALL,May
super068-XXL,1,AMZ-PG-APP-TOO-LARGE,May
karatekidcobrakaidlxcostume-Deluxe,1,CR-MISSED_ESTIMATED_DELIVERY,May
woodylongsleeveadultshirt-4XL,1,CR-QUALITY_UNACCEPTABLE,May
ledzeppelin002-XXL,1,AMZ-PG-APP-TOO-LARGE,May
220072-USAChubSuit-Adult,1,CR-DEFECTIVE,May
PowerRangers-Red-SLShirt-L,1,AMZ-PG-APP-TOO-SMALL,May
220743-FlintTropicsSHORTS-L/XL,1,AMZ-PG-APP-TOO-SMALL,May
heavyweights001-S,1,AMZ-PG-APP-TOO-SMALL,May
PowerRangers-Yellow-SLShirt-S,1,AMZ-PG-APP-TOO-SMALL,May
DodgeballCobrasCostumeSet-3XL,1,CR-SWITCHEROO,May
220795-RiddlerTie,1,CR-UNWANTED_ITEM,May
DSTS26LGS-BuzzLightyearJuniotsTshirt-XL,1,AMZ-PG-APP-STYLE,May
100980-TheQueenMusicBeltArmband,1,AMZ-PG-BAD-DESC,May
sbb015-M,1,AMZ-PG-APP-TOO-SMALL,May
220079-SharkChubSuitBlue-Adult,1,CR-DEFECTIVE,May
leagueoftheirowncostume-L/XL,1,CR-UNWANTED_ITEM,May
220660pkxs,1,AMZ-PG-APP-TOO-LARGE,May
220660pksm,1,AMZ-PG-APP-TOO-LARGE,May
machomanglasses001,1,AMZ-PG-APP-STYLE,May
DiscoShirt-204055-S/M,1,CR-UNWANTED_ITEM,May
trueblood009j-M,1,AMZ-PG-APP-TOO-SMALL,May
revengenerds002-M,1,AMZ-PG-APP-STYLE,May
flinttropicssocks,1,CR-UNWANTED_ITEM,May
220757-AverageJoesWomensSet-XL,1,CR-UNWANTED_ITEM,May
dodgeball003-L,2,CR-UNWANTED_ITEM,May
220660pksm,1,AMZ-PG-APP-STYLE,May
amywinehousewig,1,CR-DEFECTIVE,May
dresshat001HAT2-Grey,1,AMZ-PG-APP-TOO-SMALL,May
bigdudewig001,1,AMZ-PG-BAD-DESC,May
monstersinc003-M,1,AMZ-PG-APP-TOO-LARGE,May
100541-JungleCruiseHat,1,CR-UNWANTED_ITEM,May
sein023-XXL,1,AMZ-PG-APP-TOO-SMALL,May
waldocostumeDELUXE-XL,1,AMZ-PG-BAD-DESC,May
hoosiers003-XL,1,AMZ-PG-APP-TOO-SMALL,May
RickMortyPicklePants-RM0242-52-S,1,AMZ-PG-APP-TOO-SMALL,May
13531AdultAliceDLX-L,1,AMZ-PG-APP-TOO-SMALL,May
100576BROWN-XL,1,CR-MISSED_ESTIMATED_DELIVERY,May
superherocape002ADULTblk-red,1,AMZ-PG-APP-TOO-SMALL,May
boratthong,1,CR-UNWANTED_ITEM,May
CustomFaceMaks2,1,AMZ-PG-BAD-DESC,May
ETBO6011-COLouiseHat,1,DID_NOT_LIKE_FABRIC,May
1158-WhiteFuManchuBeardWig,1,AMZ-PG-APP-TOO-SMALL,May
A9031-32-MinnieBodysuitSkirtSet-M,1,AMZ-PG-APP-TOO-SMALL,May
220082-VioletChubSuit-ADULT,2,CR-UNWANTED_ITEM,May
superherocape002ADULTred-red,1,CR-UNWANTED_ITEM,May
hulk003redN-M,1,AMZ-PG-BAD-DESC,May
marvel007-M,1,AMZ-PG-APP-TOO-SMALL,May
LolaSleepSet-WB1787-69-XL,1,AMZ-PG-APP-TOO-LARGE,May
220080-SharkChubSuitPink-Adult,1,AMZ-PG-APP-STYLE,May
sein023-L,1,AMZ-PG-APP-TOO-SMALL,May
powerrangers017yellow-XS,1,AMZ-PG-APP-TOO-SMALL,May
mm003JRSgreen-L,1,AMZ-PG-APP-TOO-SMALL,May
220757-AverageJoesWomensSet-L,1,AMZ-PG-BAD-DESC,May
fearloathingglasses,1,CR-DEFECTIVE,May
karatekidcobrakaidlxcostumetXL-Deluxe-XL,2,CR-DEFECTIVE,May
100576BROWN-XL,1,AMZ-PG-APP-TOO-SMALL,May
BoxingRobe-White,1,AMZ-PG-APP-STYLE,May
leagueoftheirowncostume-L/XL,1,CR-UNWANTED_ITEM,May
220814-PowerRangerPJ-BLK-L,1,CR-DAMAGED_BY_CARRIER,May
220786-LT-DumbDumber-BLUE-XL,1,CR-UNWANTED_ITEM,May
204074-QuaggyGiggityShirt-M,1,AMZ-PG-APP-TOO-SMALL,May
customslides1-12-grey,1,AMZ-PG-APP-STYLE,May
ChristmasOrnaments-HumpingReindeer-10078,1,CR-DAMAGED_BY_FC,May
ApolloShorts-S,2,CR-UNWANTED_ITEM,May
220785-DumbDumber-ORNG-L,1,CR-UNWANTED_ITEM,May
fearloathingglasses,1,CR-UNWANTED_ITEM,May
ImperialOfficerCap-ECSW2060TV-Olive,1,DID_NOT_LIKE_COLOR,May
10056227-DuffBeerShirt-XXL,1,DID_NOT_LIKE_COLOR,May
superherocape002ADULTblk-red,1,CR-UNWANTED_ITEM,May
CowgirlShirt-204051-XXL,1,AMZ-PG-APP-TOO-SMALL,May
aerosmith002-S,1,AMZ-PG-APP-TOO-SMALL,May
CustomFaceMaks2,1,AMZ-PG-BAD-DESC,May
mashh002,1,AMZ-PG-APP-TOO-LARGE,May
4U-RP2J-5LHD,1,CR-QUALITY_UNACCEPTABLE,May
HiddenTempleShirt-BLUE-M,1,CR-UNWANTED_ITEM,May
HiddenTempleShirtCOIN-BLUE-XL,1,CR-UNWANTED_ITEM,May
220785-DumbDumber-ORNG-M,1,CR-DEFECTIVE,May
M&M-Green-JUNIORS-Shirt-XL,1,AMZ-PG-APP-TOO-SMALL,May
DSTS26LGS-BuzzLightyearJuniotsTshirt-S,1,DID_NOT_LIKE_FABRIC,May
100576BLACK-M,1,AMZ-PG-APP-TOO-LARGE,May
waldocostumeDELUXE-M,1,CR-MISSED_ESTIMATED_DELIVERY,May
100576BLACK-XL,1,AMZ-PG-APP-TOO-LARGE,May
DSTS26MGS-WoodyJuniorsTshirt-XXL,1,CR-MISSED_ESTIMATED_DELIVERY,May
semiprocostumePLUS,1,AMZ-PG-APP-TOO-LARGE,May
ferris010-XL,1,AMZ-PG-APP-STYLE,May
custom-KidsCape-Pink,1,DID_NOT_LIKE_COLOR,May
oktoberfestmaid001BLUE-18,1,CR-ORDERED_WRONG_ITEM,May
swamppeopletroymask,1,CR-MISSED_ESTIMATED_DELIVERY,May
PKPR042-PowerRangersSocks-Green,1,CR-MISSED_ESTIMATED_DELIVERY,May
220713-ChefCostumeKids-4/5T,1,CR-ORDERED_WRONG_ITEM,May
amywinehousewig,1,AMZ-PG-BAD-DESC,May
runningshorts001GOLD-S-M,1,DID_NOT_LIKE_FABRIC,May
pedro001-S,1,AMZ-PG-APP-TOO-SMALL,May
CurlAfroWig-1231,1,CR-UNWANTED_ITEM,May
hulkpantsN001-XL,1,AMZ-PG-APP-STYLE,May
220743-FlintTropicsSHORTS-L/XL,1,AMZ-PG-APP-TOO-SMALL,May
blowpoptankdressAPPLE-XS,1,AMZ-PG-APP-TOO-LARGE,May
rockyshorts-S,1,CR-DEFECTIVE,May
PowerRangers-Yellow-SLShirt-S,1,AMZ-PG-APP-TOO-LARGE,May
ricflare001-pink,1,AMZ-PG-APP-STYLE,May
doubledare001red-XXL,1,CR-UNWANTED_ITEM,May
soaleathervest-XXXL,1,DID_NOT_LIKE_FABRIC,May
soaleathervest-XL,1,DID_NOT_LIKE_FABRIC,May
acwig,1,CR-UNWANTED_ITEM,May
220714-TrainEngineerChildCostume-10/12,1,CR-UNWANTED_ITEM,May
PowerRangers-Yellow-SLShirt-M,1,AMZ-PG-APP-STYLE,May
220786-LT-DumbDumber-BLUE-L,1,CR-DEFECTIVE,May
220785-DumbDumber-ORNG-XL,1,CR-DEFECTIVE,May
mm003JRSblue-XXL,1,AMZ-PG-APP-TOO-SMALL,May
stepbros001-XL,1,DID_NOT_LIKE_FABRIC,May
captamerica031-M,1,AMZ-PG-APP-STYLE,May
captamerica031-M,1,AMZ-PG-APP-STYLE,May
slothcostumeset001-L,1,CR-UNWANTED_ITEM,May
100597-CircleSpecsGlasses,1,CR-UNWANTED_ITEM,May
OktoberfestSocks-100515,1,CR-UNWANTED_ITEM,May
blowupguitar,1,CR-UNWANTED_ITEM,May
usaboardshorts003-S,1,AMZ-PG-APP-TOO-SMALL,May
220785-DumbDumber-ORNG-M,1,CR-DEFECTIVE,May
220786-LT-DumbDumber-BLUE-M,1,CR-DEFECTIVE,May
PowerRangers-Green-SLShirt-L,1,CR-UNWANTED_ITEM,May
karatekiddanielcostumetdlxXL-Deluxe-XL,1,AMZ-PG-BAD-DESC,May
hulk003-XXL,1,AMZ-PG-APP-TOO-LARGE,May
beautybeast001-S-M,1,CR-UNWANTED_ITEM,May
amywinehouseset1,1,CR-UNWANTED_ITEM,May
PowerRangers-Yellow-SLShirt-M,1,DID_NOT_LIKE_FABRIC,May
PowerRangers-Black-SLShirt-L,1,DID_NOT_LIKE_FABRIC,May
mm003JRSyellow-M,1,AMZ-PG-APP-TOO-SMALL,May
PowerRangers-Green-SLShirt-L,1,CR-UNWANTED_ITEM,May
sbb015-L,1,CR-UNWANTED_ITEM,May
dodgeball003N-L,1,CR-SWITCHEROO,May
dodgeball003N-M,1,CR-SWITCHEROO,May
soahat005-S/M,1,AMZ-PG-BAD-DESC,May
leagueoftheirowncostume-L/XL,1,CR-UNWANTED_ITEM,May
mypony014-XS,1,AMZ-PG-BAD-DESC,May
220845-BoxingRobeKids-Blu,1,CR-UNWANTED_ITEM,May
btlc004-M,1,AMZ-PG-APP-TOO-LARGE,May
starwars129-L,1,CR-ORDERED_WRONG_ITEM,May
topgun014-L,1,AMZ-PG-APP-TOO-SMALL,May
juno004-S,1,AMZ-PG-APP-TOO-SMALL,May
Juno001-L,1,AMZ-PG-APP-TOO-LARGE,May
Juno001-M,1,AMZ-PG-APP-TOO-SMALL,May
juno004-M,1,AMZ-PG-APP-TOO-LARGE,May
220743-FlintTropicsSHORTS-L/XL,1,AMZ-PG-APP-TOO-LARGE,May
waldocostumeDELUXE-BOYS-S,1,CR-ORDERED_WRONG_ITEM,May
Juno001-M,1,AMZ-PG-APP-TOO-SMALL,May
204070-Detective&BlueShirt-M,1,CR-UNWANTED_ITEM,May
eww001,1,CR-UNWANTED_ITEM,May
bigbang006blue-S,1,AMZ-PG-APP-TOO-SMALL,May
CelticRing-6.5,1,AMZ-PG-APP-TOO-SMALL,May
220757-AverageJoesWomensSet-S,3,CR-MISSING_PARTS,May
220757-AverageJoesWomensSet-M,2,CR-UNWANTED_ITEM,May
dodgeball003-L,1,CR-MISSING_PARTS,May
220757-AverageJoesWomensSet-L,1,CR-UNWANTED_ITEM,May
dodgeball003-M,1,CR-UNWANTED_ITEM,May
PowerRangers-Black-SLShirt-S,1,AMZ-PG-APP-STYLE,May
PowerRangers-Red-SLShirt-XL,1,AMZ-PG-APP-TOO-LARGE,May
PowerRangers-Green-SLShirt-L,1,AMZ-PG-APP-TOO-LARGE,May
acwig,1,AMZ-PG-APP-TOO-SMALL,May
220743-FlintTropicsSHORTS-L/XL,1,CR-MISSED_ESTIMATED_DELIVERY,May
waldocostumeDELUXE-M,1,CR-UNWANTED_ITEM,May
dresshat001HAT2-Grey,1,CR-UNWANTED_ITEM,May
17139YUM01-ClassicJokerKit,1,CR-DEFECTIVE,May
sriracha004-XL,1,AMZ-PG-APP-TOO-SMALL,May
ferris008brown-M,1,CR-DEFECTIVE,May
Juno001-M,1,AMZ-PG-APP-TOO-SMALL,May
juno003-S,1,AMZ-PG-APP-TOO-LARGE,May
snlbearsVESTsweater-L,1,AMZ-PG-APP-TOO-SMALL,May
woodylongsleeveadultshirt-4XL,1,AMZ-PG-APP-TOO-SMALL,May
220752-RockfordPeachesMENS-L/XL,1,AMZ-PG-APP-TOO-LARGE,May
220832-BingoOnesie-2T,1,AMZ-PG-BAD-DESC,May
220831-BlueyOnesie-3/4,1,AMZ-PG-BAD-DESC,May
fearandloathingcostumeset-M,1,AMZ-PG-APP-TOO-LARGE,May
SM0045-SimpsonsTshirt-3XL,1,AMZ-PG-APP-TOO-SMALL,May
GreaseLadiesPajamaSet-GR0055CF-XL,1,AMZ-PG-APP-TOO-SMALL,May
ghost022-2X,1,AMZ-PG-APP-TOO-LARGE,May
ghost022-XL,1,AMZ-PG-APP-TOO-LARGE,May
furiespants-XL,1,AMZ-PG-APP-TOO-LARGE,May
starwars017-S,1,AMZ-PG-APP-TOO-SMALL,May
220080-SharkChubSuitPink-Adult,1,AMZ-PG-APP-STYLE,May
220079-SharkChubSuitBlue-Adult,1,AMZ-PG-APP-STYLE,May
blowpoptankdressAPPLE-M,1,AMZ-PG-APP-TOO-LARGE,May
suitpajamas001black-XXL,1,AMZ-PG-APP-TOO-SMALL,May
sesame034-6,1,AMZ-PG-APP-TOO-SMALL,May
fearloathingglasses,1,AMZ-PG-APP-STYLE,May
topgun002-L,1,AMZ-PG-APP-TOO-LARGE,May
topgun014-L,1,AMZ-PG-APP-TOO-LARGE,May
mm003JRSgreen-XL,1,AMZ-PG-APP-STYLE,May
mm003JRSblue-XXL,1,AMZ-PG-APP-STYLE,May
starwars129-XXL,1,CR-MISSED_ESTIMATED_DELIVERY,May
220660pklxl,1,AMZ-PG-APP-TOO-LARGE,May
wrestlingboots-LY,1,AMZ-PG-APP-TOO-SMALL,May
leagueoftheirowncostume-L/XL,1,CR-UNWANTED_ITEM,May
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL,May
Peanuts001-S,1,AMZ-PG-MISORDERED,May
RickMortyPicklePants-RM0242-52-XXL,1,AMZ-PG-APP-STYLE,May
usarunningshorts-S-M,1,CR-UNWANTED_ITEM,May
BoysColonialWig-1192,1,CR-UNWANTED_ITEM,May
220785-DumbDumber-ORNG-M,2,CR-UNWANTED_ITEM,May
hulkpants001-L,1,AMZ-PG-APP-STYLE,May
mm001Ngrn-M,1,CR-UNWANTED_ITEM,May
bigl032-XL,1,CR-QUALITY_UNACCEPTABLE,May
DSTS26LGS-BuzzLightyearJuniotsTshirt-L,1,AMZ-PG-APP-TOO-LARGE,May
DSTS26LGS-BuzzLightyearJuniotsTshirt-XL,1,AMZ-PG-APP-TOO-LARGE,May
220690-SoccerBallChubSuit-Adult,1,AMZ-PG-BAD-DESC,May
220078-SharkChubSuitYellow-Adult,1,AMZ-PG-APP-TOO-SMALL,May
CowgirlShirt-204051-XL,1,CR-UNWANTED_ITEM,May
CowgirlShirt-204051-S,1,AMZ-PG-APP-TOO-LARGE,May
CustomHat-STC26-DarkGreenForest-OSFA,1,DID_NOT_LIKE_COLOR,May
ferris008brown-L,1,AMZ-PG-APP-TOO-LARGE,May
204092-RainbowCardigan-2XL,1,CR-UNWANTED_ITEM,May
ateam001-M,1,CR-UNWANTED_ITEM,May
ateam001-L,1,CR-UNWANTED_ITEM,May
mm001Norg-L,1,CR-UNWANTED_ITEM,May
sein023-XXL,1,AMZ-PG-APP-TOO-SMALL,May
3DTRexUCS-XL,1,AMZ-PG-APP-STYLE,May
mm003JRSgreen-XXL,1,DID_NOT_LIKE_COLOR,May
sriracha004-M,1,DID_NOT_LIKE_FABRIC,May
back014-S,1,AMZ-PG-MISORDERED,May
220785-DumbDumber-ORNG-L,1,CR-ORDERED_WRONG_ITEM,May
suicidesquad003-XL,1,CR-UNWANTED_ITEM,May
ricflare001-blue,1,DID_NOT_LIKE_FABRIC,May
waldocostumeDELUXE-L,1,CR-ORDERED_WRONG_ITEM,May
richardsimmons001-XXL,1,CR-DEFECTIVE,May
AMZ-drinkamerican-3001-Tee-Black-2XL,1,AMZ-PG-APP-TOO-SMALL,May
AMZ-drinkamerican-3001-Tee-DarkGrey-2XL,1,AMZ-PG-APP-TOO-SMALL,May
dodgeball003-L,1,CR-UNWANTED_ITEM,May
mypony030-L,1,AMZ-PG-APP-TOO-SMALL,May
topgun014-S,1,AMZ-PG-APP-TOO-SMALL,May
220082-VioletChubSuit-ADULT,1,CR-UNWANTED_ITEM,May
204088-HopperHawaiianShirt-L,1,AMZ-PG-APP-TOO-LARGE,May
sbb015-XXL,1,AMZ-PG-APP-TOO-LARGE,May
stepbros010-S,1,DID_NOT_LIKE_FABRIC,May
suicidesquad003-S,1,AMZ-PG-APP-TOO-SMALL,May
SM0045-SimpsonsTshirt-3XL,1,AMZ-PG-APP-TOO-SMALL,May
topgun025-S,1,AMZ-PG-APP-TOO-SMALL,May
madhatterpurse001,1,AMZ-PG-APP-STYLE,May
220785-DumbDumber-ORNG-L,1,CR-MISSED_ESTIMATED_DELIVERY,May
A9249-MarvelDress-XXL,1,AMZ-PG-APP-TOO-SMALL,May
oktoberfestlederhosenPANTS-34,1,CR-QUALITY_UNACCEPTABLE,May
jabbmask,1,AMZ-PG-APP-TOO-SMALL,May
amywinehouseset1,1,CR-UNWANTED_ITEM,May
220082-VioletChubSuit-ADULT,1,CR-UNWANTED_ITEM,May
sesame034-6,1,CR-QUALITY_UNACCEPTABLE,May
runningshorts001RED-S-M,1,CR-MISSED_ESTIMATED_DELIVERY,May
220660bksm,1,CR-UNWANTED_ITEM,May
karatekidcobrakaidlxcostumetXL-Deluxe-XL,1,AMZ-PG-BAD-DESC,May
M&M-Green-ADULT-Shirt-S,1,AMZ-PG-APP-TOO-LARGE,May
CY034-ChristmasStoryUnionSuit-3XL,1,AMZ-PG-APP-TOO-SMALL,May
waldocostumeDELUXE-BOYS-S,1,CR-UNWANTED_ITEM,May
leagueoftheirownGIRLS-5/6,6,CR-UNWANTED_ITEM,May
leagueoftheirownGIRLS-7/8,7,CR-UNWANTED_ITEM,May
dresshat001HAT1-Green,1,CR-MISSED_ESTIMATED_DELIVERY,May
stpatricks009-XL,1,AMZ-PG-APP-TOO-LARGE,May
bigl012-L,1,AMZ-PG-APP-TOO-SMALL,May
220850-ChuckieCostume-3-4T,1,CR-UNAUTHORIZED_PURCHASE,May
plumtree001-L,1,AMZ-PG-APP-TOO-SMALL,May
drseuss027thing2-XL,1,CR-UNWANTED_ITEM,May
suicidesquad003-M,1,AMZ-PG-APP-TOO-SMALL,May
blowupguitar,1,CR-DEFECTIVE,May
PineappleExpressPants-L,1,AMZ-PG-APP-TOO-SMALL,May
highafrowig,1,AMZ-PG-APP-STYLE,May
startrekpin001,1,CR-DAMAGED_BY_CARRIER,May
richardsimmons001-XXL,1,AMZ-PG-APP-TOO-SMALL,May
GreaseLadiesPajamaSet-GR0055CF-S,1,AMZ-PG-APP-STYLE,May
teenwolfcostume1-L,1,AMZ-PG-APP-TOO-SMALL,May
napoleondynamite003,1,CR-UNWANTED_ITEM,May
PowerRangers-Yellow-SLShirt-S,1,CR-QUALITY_UNACCEPTABLE,May
PowerRangers-Black-SLShirt-L,1,CR-QUALITY_UNACCEPTABLE,May
220074-PenguinChubSuit-Teen,1,CR-UNWANTED_ITEM,May
GunsnRoses-12162218-3XL,1,AMZ-PG-APP-TOO-SMALL,May
sein023-L,2,AMZ-PG-APP-STYLE,May
DaleVest-XL,1,AMZ-PG-APP-TOO-SMALL,May
BrennanVest-M,1,AMZ-PG-APP-TOO-SMALL,May
OktoberfestSocks-100515,1,CR-UNWANTED_ITEM,May
alanbabycarriercostumeDELUXE-M,1,AMZ-PG-BAD-DESC,May
220077-HotDogChubSuit-Adult,1,CR-UNWANTED_ITEM,May
ImperialOfficerCap-ECSW2060TV-Olive,1,AMZ-PG-BAD-DESC,May
QueenofMusic-Armband,1,CR-SWITCHEROO,May
superherocape002ADULTred-blu,1,CR-MISSED_ESTIMATED_DELIVERY,May
oktoberfestlederhosenPANTS-34,1,CR-UNWANTED_ITEM,May
juno003-M,1,AMZ-PG-APP-TOO-SMALL,May
220786-LT-DumbDumber-BLUE-XL,1,CR-MISSING_PARTS,May
