SKU,Quantity,Reason,Month,Year
tmnteyemaskset,1,CR-DEFECTIVE,September,2022
starwars088-M,1,AMZ-PG-APP-TOO-SMALL,September,2022
tmnt047tankdressMike-S,1,AMZ-PG-APP-TOO-SMALL,September,2022
suicidesquad004-2X,1,AMZ-PG-APP-TOO-LARGE,September,2022
starwars129-XL,1,CR-SWITCHEROO,September,2022
220895-MartyMcflyCostume-XXL,1,CR-ORDERED_WRONG_ITEM,September,2022
hulkhogancostumesetYELsunYELban-3X,1,AMZ-PG-BAD-DESC,September,2022
WB1658-WB1659-WonderWomanCostumeSet1-S,1,CR-DEFECTIVE,September,2022
JediBoots-100582-M,1,AMZ-PG-APP-STYLE,September,2022
tmnt045Raph-XXXL,1,AMZ-PG-APP-TOO-LARGE,September,2022
220786-LT-DumbDumber-BLUE-2XL,1,CR-DEFECTIVE,September,2022
SharkCoustumeYouth,1,CR-DEFECTIVE,September,2022
4U9ML-ERNIE-CostumeShirt-2XL,1,AMZ-PG-APP-TOO-SMALL,September,2022
4U9ML-ERNIE-CostumeShirt-2XL,1,AMZ-PG-APP-TOO-SMALL,September,2022
suicidesquad003-M,1,AMZ-PG-APP-TOO-SMALL,September,2022
FYMSC20-ZeddemoreShirt-3XL,2,CR-UNWANTED_ITEM,September,2022
220627-youth1,1,CR-DEFECTIVE,September,2022
220639-std1,1,CR-DEFECTIVE,September,2022
220639-std1,1,CR-DEFECTIVE,September,2022
waldocostumeDELUXE-BOYS-M,1,CR-UNWANTED_ITEM,September,2022
wrestlingboots-SY,1,CR-SWITCHEROO,September,2022
acdc011-XXL,1,AMZ-PG-APP-STYLE,September,2022
acdc011-3XL,1,AMZ-PG-APP-STYLE,September,2022
100576BROWN-M,1,CR-DEFECTIVE,September,2022
mm003JRSgreen-M,1,AMZ-PG-APP-TOO-SMALL,September,2022
leagueoftheirowncostume-Small/Medium,1,CR-SWITCHEROO,September,2022
leagueoftheirowncostume-L/XL,1,CR-DAMAGED_BY_FC,September,2022
insideoutjoywig,1,CR-UNWANTED_ITEM,September,2022
usa002-XL,1,AMZ-PG-APP-TOO-LARGE,September,2022
1145-EvilBrattWig,1,AMZ-PG-APP-TOO-SMALL,September,2022
220814-PowerRangerPJ-PNK-L,1,CR-UNWANTED_ITEM,September,2022
flashpajama001-M,1,AMZ-PG-APP-TOO-SMALL,September,2022
leagueoftheirowncostume-L/XL,1,CR-UNWANTED_ITEM,September,2022
220785-DumbDumber-ORNG-M,1,CR-DEFECTIVE,September,2022
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL,September,2022
IncredibleSuperheroWig-1240,1,AMZ-PG-APP-STYLE,September,2022
flocostume001,1,CR-UNWANTED_ITEM,September,2022
SharkCoustumeYouth,1,CR-UNWANTED_ITEM,September,2022
RickMortyPajamaSet-JCITV-L,1,CR-SWITCHEROO,September,2022
100576BLACK-M,1,AMZ-PG-APP-TOO-SMALL,September,2022
mm001Nred-M,1,CR-UNWANTED_ITEM,September,2022
leagueoftheirowncostume-Small/Medium,1,AMZ-PG-APP-TOO-SMALL,September,2022
toystorywoodyvest-L-XL,1,AMZ-PG-APP-TOO-LARGE,September,2022
powerrangers018blue-0/6,1,CR-UNWANTED_ITEM,September,2022
220797-CaddyJumpsuit-XL,1,CR-UNWANTED_ITEM,September,2022
