SKU,Quantity,Reason,Month
103015-BabyCarlosDollGlasses,1,AMZ-PG-APP-TOO-SMALL,August
powerrangers018red-18/24,1,AMZ-PG-BAD-DESC,August
mm003JRSred-XL,1,AMZ-PG-APP-TOO-SMALL,August
tmntapriloneilcostume-S/M,1,AMZ-PG-APP-TOO-SMALL,August
hangover014-XL,1,DID_NOT_LIKE_COLOR,August
suicidesquad004-L,1,AMZ-PG-APP-TOO-SMALL,August
220929-LucyDressAdult-XL,1,CR-DEFECTIVE,August
GloboGymNecklace,1,CR-SWITCHEROO,August
QF009BBSTV-BlueyPajamas-6,1,AMZ-PG-BAD-DESC,August
powerrangers018pink-12/18,2,DID_NOT_LIKE_FABRIC,August
220965-GhostSpiderOnesie-5-6,1,CR-UNWANTED_ITEM,August
220965-GhostSpiderOnesie-7-8,1,CR-UNWANTED_ITEM,August
220965-GhostSpiderOnesie-2T,2,CR-UNWANTED_ITEM,August
tmnt016-Don-Mens-M,1,CR-MISSED_ESTIMATED_DELIVERY,August
220752-RockfordPeachesMENS-L/XL,1,AMZ-PG-APP-TOO-SMALL,August
wizardozsocks002,1,AMZ-PG-APP-TOO-LARGE,August
hulk001-XXL,1,AMZ-PG-APP-TOO-LARGE,August
starwars129-M,1,AMZ-PG-APP-TOO-SMALL,August
SNL007tan-L,1,AMZ-PG-APP-TOO-SMALL,August
220077-HotDogChubSuit-Adult,1,CR-UNWANTED_ITEM,August
VAWX2011-MooseHat,1,DID_NOT_LIKE_FABRIC,August
ATeam002-L,1,AMZ-PG-APP-TOO-SMALL,August
100576BLACK-S,1,AMZ-PG-APP-TOO-SMALL,August
tmntapriloneilcostume-L/XL,1,AMZ-PG-APP-TOO-SMALL,August
suicidesquad003-S,1,CR-UNWANTED_ITEM,August
BuckyZombieWig-1221,2,CR-UNWANTED_ITEM,August
tmnteyemaskset,1,CR-UNWANTED_ITEM,August
220744-AhoySailorCostume-MENS-XS,1,AMZ-PG-APP-TOO-LARGE,August
UltimateWrestlerWig-1212,1,AMZ-PG-APP-TOO-LARGE,August
limebriefcolors-L,1,AMZ-PG-APP-TOO-SMALL,August
officedundie,1,CR-DAMAGED_BY_FC,August
sbb015-2XL,1,AMZ-PG-APP-TOO-SMALL,August
leagueoftheirowncostume-3X/4X,1,CR-DEFECTIVE,August
