SKU,Quantity,Reason,Month
PABR029-PabstSweater-4XL,1,AMZ-PG-APP-STYLE,December
karatekidcobrakaidlxcostumetXL-Deluxe-XL,3,CR-DEFECTIVE,December
metallica003-L,1,CR-UNWANTED_ITEM,December
GDSA2851TV-GratDeadPants-XL,1,AMZ-PG-APP-TOO-SMALL,December
220888-ToddMargoShinySuit-L-XL,1,CR-MISSED_ESTIMATED_DELIVERY,December
uglywutang-2X,1,AMZ-PG-APP-TOO-LARGE,December
CousinEdRobe-Hat-SET,1,CR-UNWANTED_ITEM,December
Inflatable001-BlackSanta8feet,1,CR-ORDERED_WRONG_ITEM,December
FilthyAnimalLoungePants-XF003-M,1,CR-UNWANTED_ITEM,December
HEKA00ZMSC-KoolAidShirt-XL,1,CR-DEFECTIVE,December
uglysweater60N-2XL,1,AMZ-PG-APP-TOO-LARGE,December
sbb015-XXL,1,AMZ-PG-APP-TOO-SMALL,December
220879-BrideChuckieKids-5-6,1,CR-UNAUTHORIZED_PURCHASE,December
Custom-GetLit-BlueBlack-3XL,1,DID_NOT_LIKE_FABRIC,December
CCX21-CokeHeartSweater-M,1,CR-UNWANTED_ITEM,December
CCX21-CokeHeartSweater-M,1,CR-UNWANTED_ITEM,December
ILoveXmasUCS-L,1,AMZ-PG-APP-TOO-SMALL,December
deadpool011-M,1,AMZ-PG-APP-TOO-SMALL,December
GDSA2851TV-GratDeadPants-L,1,AMZ-PG-APP-TOO-SMALL,December
204292-DeerRingSweater-S,1,CR-MISSED_ESTIMATED_DELIVERY,December
superherocape002CHILDred-red,1,AMZ-PG-APP-TOO-SMALL,December
UglySweater-YetitoParty-M,1,CR-ORDERED_WRONG_ITEM,December
8TSM2235TV-KanjiSwordsSweater-XL,1,CR-MISSED_ESTIMATED_DELIVERY,December
PABR029-PabstSweater-XL,1,AMZ-PG-APP-TOO-SMALL,December
PABR029-PabstSweater-L,1,AMZ-PG-APP-TOO-SMALL,December
CY034-ChristmasStoryUnionSuit-4X,1,CR-UNWANTED_ITEM,December
KRSM2011-KrampusSweater-XL,1,AMZ-PG-APP-TOO-SMALL,December
HanSoloJacket-4045-L,1,CR-UNWANTED_ITEM,December
3DTRexUCS-XS,1,AMZ-PG-APP-TOO-SMALL,December
CY034-ChristmasStoryUnionSuit-3XL,1,AMZ-PG-APP-TOO-SMALL,December
ElfLoungePants-WR0322-52-L,1,AMZ-PG-APP-TOO-SMALL,December
ElfLoungePants-WR0322-52-XL,1,AMZ-PG-APP-TOO-SMALL,December
CousinEdRobe-Hat-SET,1,AMZ-PG-BAD-DESC,December
PNXX7Q-PeanutsShirt-Adult-2XL,1,AMZ-PG-APP-TOO-LARGE,December
204292-DeerRingSweater-XXL,1,CR-DEFECTIVE,December
MZMC0T1-MinecraftPants-M,1,AMZ-PG-APP-TOO-SMALL,December
CCXX23IMNP-CokeBearSnow-117-2XL,1,CR-SWITCHEROO,December
204294-BlitzensTavern-4XL,1,AMZ-PG-APP-TOO-SMALL,December
tmntbackpack2,1,CR-ORDERED_WRONG_ITEM,December
ChristmasOrnaments-HumpingReindeer-10078,1,CR-MISSING_PARTS,December
XFiles001-L,1,CR-UNWANTED_ITEM,December
GBXX22KBNP-Ghostbusters-XL,1,AMZ-PG-APP-TOO-LARGE,December
bigl032-L,1,AMZ-PG-APP-TOO-SMALL,December
biglpants001-M,1,AMZ-PG-APP-TOO-SMALL,December
biglpants001-XL,1,AMZ-PG-APP-TOO-LARGE,December
DSLX0U8MLC-StitchSweatshirt-L,1,CR-UNWANTED_ITEM,December
rockyshorts-M,1,CR-QUALITY_UNACCEPTABLE,December
210301-PinkFloydSweater-L,1,AMZ-PG-APP-TOO-SMALL,December
bigl032-M,1,CR-SWITCHEROO,December
ChristmasOrnaments-HumpingReindeer-10078,1,CR-MISSING_PARTS,December
267345-GrinchPJPants-2XL,1,AMZ-PG-APP-TOO-LARGE,December
NL029-ChristmasVacationPajamaSet-XL,1,DID_NOT_LIKE_COLOR,December
DSTS2RH-Jessie-Adult-LS-M,1,CR-DEFECTIVE,December
103059-TurkeyHatGlasses,1,CR-UNWANTED_ITEM,December
uglysweater13-L,1,CR-MISSED_ESTIMATED_DELIVERY,December
