SKU,Quantity,Reason,Month
DazedConfusedTedNugent-Shirt-M,1,AMZ-PG-APP-TOO-SMALL,July
caddyshackhat002,4,CR-UNWANTED_ITEM,July
220714-TrainEngineerChildCostume-2/3,1,CR-UNWANTED_ITEM,July
GhostbustersDress-25KHA-M,1,CR-UNWANTED_ITEM,July
220066-SpacemenChubSuit-Adult,1,CR-DEFECTIVE,July
220940-SwatVest,1,CR-UNWANTED_ITEM,July
SoapLoofahCostume,1,CR-UNWANTED_ITEM,July
captamerica038-XL,1,AMZ-PG-APP-TOO-LARGE,July
GreenMonsterSuit-Mask1-S-M,1,CR-UNWANTED_ITEM,July
ultimatewarriorwristbands,1,AMZ-PG-WJ-TOO-SMALL,July
doubledare001blue-L,1,AMZ-PG-APP-TOO-SMALL,July
doubledare001blue-M,1,AMZ-PG-APP-TOO-LARGE,July
soahat005-S/M,1,AMZ-PG-APP-TOO-SMALL,July
soahat005-L/XL,1,AMZ-PG-APP-TOO-SMALL,July
100600-BlueVikingHelmet,1,CR-UNWANTED_ITEM,July
legendstempleblue-S,1,AMZ-PG-APP-TOO-SMALL,July
HJCO2021-HootersCostumeSet-L,1,AMZ-PG-APP-TOO-LARGE,July
mypony014-S,1,CR-DEFECTIVE,July
jokersocks-7-9,1,AMZ-PG-APP-TOO-SMALL,July
tmnt016-Leo-Mens-XL,1,CR-UNWANTED_ITEM,July
sbtbslaterjersey-M,1,AMZ-PG-APP-TOO-SMALL,July
204086-UncleRicoVest-L/XL,1,AMZ-PG-APP-TOO-LARGE,July
tmntmasks-Orange,1,AMZ-PG-APP-STYLE,July
220925-AlexHamiltonCostume-XL,1,CR-DEFECTIVE,July
caddyshackhat001,1,CR-UNWANTED_ITEM,July
caddyshackhat001,1,CR-UNWANTED_ITEM,July
redboa001N,1,DID_NOT_LIKE_FABRIC,July
wrestlingboots-MY,1,AMZ-PG-APP-STYLE,July
hulkpants001-M,1,DID_NOT_LIKE_FABRIC,July
Peanuts001-XL,1,DID_NOT_LIKE_FABRIC,July
XFiles001-M,1,AMZ-PG-APP-STYLE,July
acwig,1,CR-UNWANTED_ITEM,July
TMNTShirt-Youth-Raphael-L,1,AMZ-PG-APP-TOO-LARGE,July
DSTS26LGS-BuzzLightyearJuniotsTshirt-XXL,1,AMZ-PG-APP-TOO-SMALL,July
220901-FreshPrinceCostume-XL,1,CR-SWITCHEROO,July
dodgeball003-L,1,AMZ-PG-APP-TOO-SMALL,July
stepbros001-L,1,CR-SWITCHEROO,July
220895-MartyMcflyCostume-XL,1,AMZ-PG-BAD-DESC,July
sbb015n-S,1,CR-UNWANTED_ITEM,July
BretHitmanSunglasses,1,AMZ-PG-BAD-DESC,July
tmnt045Raph-L,1,CR-UNWANTED_ITEM,July
germanhat001-grey,1,DID_NOT_LIKE_COLOR,July
220753-RockfordPeachesBOYS-7/8,1,CR-DEFECTIVE,July
pedroaccessorykit,1,CR-UNWANTED_ITEM,July
soahat005-S/M,1,AMZ-PG-APP-TOO-SMALL,July
TMNTShirt-Youth-Donatello-S,1,AMZ-PG-APP-TOO-SMALL,July
10056593-PowerRangerJuniors-Pink-XXL,1,CR-MISSED_ESTIMATED_DELIVERY,July
nwo004redN-M,1,AMZ-PG-APP-TOO-SMALL,July
machomanbandana-Red,1,AMZ-PG-APP-TOO-SMALL,July
nap027-M,1,AMZ-PG-APP-TOO-LARGE,July
rockyshorts-S,1,AMZ-PG-APP-STYLE,July
rockyshorts-M,1,AMZ-PG-APP-STYLE,July
rockyshorts-L,1,AMZ-PG-APP-STYLE,July
220660pllxl,1,CR-UNWANTED_ITEM,July
220660pklxl,1,AMZ-PG-APP-TOO-SMALL,July
220660plsm,1,AMZ-PG-APP-TOO-SMALL,July
GreenMonsterSuit-Mask1-L-XL,1,CR-SWITCHEROO,July
suicidesquad004-M,1,CR-DEFECTIVE,July
arrested011-S,1,AMZ-PG-APP-TOO-SMALL,July
sbb015-2XL,1,AMZ-PG-APP-TOO-LARGE,July
sbb015-XL,1,AMZ-PG-APP-TOO-LARGE,July
KG0004-FruitLoopsLoungePants-M,1,AMZ-PG-APP-STYLE,July
siliconvalley003-S,1,DID_NOT_LIKE_COLOR,July
caddyshackhat001,1,CR-UNWANTED_ITEM,July
pedroaccessorykit,1,DID_NOT_LIKE_FABRIC,July
mm001Nblu-3XL,1,AMZ-PG-APP-TOO-LARGE,July
hollywoodhogancostumeset-L,1,CR-UNWANTED_ITEM,July
eastbound018-XXL,1,DID_NOT_LIKE_FABRIC,July
rockyshorts-M,1,DID_NOT_LIKE_FABRIC,July
karatekiddanielcostumetdlxXL-Deluxe-XL,1,CR-UNWANTED_ITEM,July
mm001Nyel-M,1,CR-UNWANTED_ITEM,July
mm001Norg-S,1,AMZ-PG-APP-TOO-SMALL,July
alsunny012-L,1,DID_NOT_LIKE_FABRIC,July
wrestlingboots-Mred,1,CR-UNWANTED_ITEM,July
rockyshorts-M,1,DID_NOT_LIKE_FABRIC,July
redboa001N,1,CR-UNWANTED_ITEM,July
CaptainUnderpants-ChubSuit-Teen,1,AMZ-PG-APP-TOO-SMALL,July
220752-RockfordPeachesMENS-L/XL,1,CR-UNWANTED_ITEM,July
powerrangerssweatshirtRed-XL,1,AMZ-PG-APP-TOO-LARGE,July
PRangersShirtYouth-Blue-XS,1,AMZ-PG-APP-TOO-SMALL,July
rickmortyONESIE001-2X,1,CR-UNWANTED_ITEM,July
WB1658-WB1659-WonderWomanCostumeSet1-M,1,CR-MISSED_ESTIMATED_DELIVERY,July
bvswwcostume-L,1,CR-UNWANTED_ITEM,July
theflash002stripes-M,1,AMZ-PG-APP-TOO-LARGE,July
germanhat001-brown,1,AMZ-PG-APP-STYLE,July
PowerRangers-White-SLShirt-M,1,AMZ-PG-APP-TOO-SMALL,July
bigldudecostume001-L,1,AMZ-PG-APP-TOO-LARGE,July
legendstempleorg-S,1,CR-UNWANTED_ITEM,July
ProgressiveFLO002,1,CR-UNWANTED_ITEM,July
blowupguitar,1,CR-MISSING_PARTS,July
PowerRangers-White-SLShirt-M,1,AMZ-PG-APP-TOO-LARGE,July
PowerRangers-White-SLShirt-S,1,AMZ-PG-APP-STYLE,July
tmntmasks-Red,1,AMZ-PG-APP-STYLE,July
mm001Nblu-S,1,CR-UNWANTED_ITEM,July
PRangersShirtYouth-Red-M,1,AMZ-PG-APP-TOO-SMALL,July
wrestlingboots-LY,1,AMZ-PG-APP-TOO-SMALL,July
tmnt016-Leo-Mens-L,1,CR-MISSED_ESTIMATED_DELIVERY,July
hotrodcostumeset-XL,1,CR-UNWANTED_ITEM,July
220780-TigerKingJacket-L,1,CR-DEFECTIVE,July
tmnteyemaskset,1,CR-UNWANTED_ITEM,July
220965-GhostSpiderOnesie-5-6,1,CR-UNWANTED_ITEM,July
JediBoots-100582-L,1,AMZ-PG-APP-TOO-SMALL,July
karatekiddanielcostumetdlxXL-Deluxe-XL,1,CR-UNWANTED_ITEM,July
220757-AverageJoesWomensSet-S,1,CR-UNWANTED_ITEM,July
super068-XXL,1,CR-SWITCHEROO,July
trueblood009jr-XL,1,AMZ-PG-APP-TOO-SMALL,July
simpsonsduffhat,1,AMZ-PG-APP-TOO-LARGE,July
mm003JRSgreen-XL,1,AMZ-PG-APP-TOO-SMALL,July
hulk003redN-L,1,AMZ-PG-APP-TOO-SMALL,July
drwho063-L,1,CR-QUALITY_UNACCEPTABLE,July
suicidesquad010-L,1,AMZ-PG-BAD-DESC,July
TMNTShirt-Youth-Raphael-S,1,AMZ-PG-APP-TOO-SMALL,July
sbb015-XL,1,AMZ-PG-APP-TOO-SMALL,July
breakingbad004gray-XXL,1,CR-DEFECTIVE,July
mm001Nyel-L,1,CR-FOUND_BETTER_PRICE,July
220885-KennyCostume-M,1,CR-UNWANTED_ITEM,July
220885-KennyCostume-S,1,CR-UNWANTED_ITEM,July
220933-JawasCloakLEDMask-S-M,1,CR-ORDERED_WRONG_ITEM,July
100576BLACK-M,1,AMZ-PG-APP-TOO-LARGE,July
220660rsm,1,AMZ-PG-APP-TOO-LARGE,July
Peanuts001-L,1,AMZ-PG-APP-STYLE,July
100578BLACK-M,1,AMZ-PG-APP-TOO-LARGE,July
100578BLACK-S,1,AMZ-PG-APP-TOO-SMALL,July
mfcookielol-L,1,CR-UNWANTED_ITEM,July
109019B-HocusPocusMARYCostume-XL,1,AMZ-PG-APP-TOO-LARGE,July
pedro009-M,1,CR-UNWANTED_ITEM,July
stepbros010-S,1,AMZ-PG-APP-STYLE,July
1159-DeluxeVikingWigBeardSetBrown,1,AMZ-PG-BAD-DESC,July
sriracha001-XL,1,DID_NOT_LIKE_FABRIC,July
sriracha001-S,1,DID_NOT_LIKE_FABRIC,July
WillysWonderland-Shirt-M,1,AMZ-PG-BAD-DESC,July
WillysWonderland-Shirt-XL,1,AMZ-PG-BAD-DESC,July
dodgeball003-L,1,CR-UNWANTED_ITEM,July
Peanuts001-XL,1,AMZ-PG-APP-TOO-SMALL,July
220752-RockfordPeachesMENS-L/XL,1,CR-UNWANTED_ITEM,July
bb8kigurumi-XS,1,CR-UNWANTED_ITEM,July
WillysWonderland-Shirt-XL,1,AMZ-PG-APP-TOO-SMALL,July
sbb016-L,1,CR-FOUND_BETTER_PRICE,July
albundy001-S,1,AMZ-PG-APP-TOO-SMALL,July
TMNTShirt-Youth-Raphael-L,1,AMZ-PG-APP-TOO-SMALL,July
TMNTShirt-Youth-Donatello-S,1,AMZ-PG-APP-TOO-SMALL,July
TMNTShirt-Youth-Leonardo-L,1,AMZ-PG-APP-TOO-SMALL,July
