SKU,Quantity,Reason,Month
tmnt045Leo-XXL,1,AMZ-PG-APP-TOO-SMALL,June
PRangersShirtYouth-Red-XS,1,AMZ-PG-APP-TOO-LARGE,June
suicidesquad004-M,1,CR-DEFECTIVE,June
PowerRangers-Black-SLShirt-2XL,1,CR-UNWANTED_ITEM,June
machomanbandana-Pink,1,AMZ-PG-APP-STYLE,June
100578BLACK-L,1,CR-UNWANTED_ITEM,June
G0MSC20-VenkmanShirt-XL,1,AMZ-PG-APP-TOO-SMALL,June
soahat005-S/M,1,AMZ-PG-APP-TOO-LARGE,June
frankie002-M,1,AMZ-PG-APP-STYLE,June
drseuss015-XXL,1,AMZ-PG-APP-TOO-SMALL,June
hoosiers003-L,1,AMZ-PG-APP-TOO-SMALL,June
soahat005-L/XL,1,AMZ-PG-APP-TOO-SMALL,June
Juno001-L,1,AMZ-PG-APP-TOO-SMALL,June
WillysWonderland-Shirt-L,1,AMZ-PG-APP-TOO-SMALL,June
EMVC1019TV-CousinEddieHat,2,CR-UNWANTED_ITEM,June
biglpants001-XL,1,CR-UNWANTED_ITEM,June
ferris002-L,1,CR-SWITCHEROO,June
NasaBoots-PLZZ7270TV-10-11,1,AMZ-PG-APP-STYLE,June
ApolloShorts-L,1,AMZ-PG-APP-TOO-SMALL,June
220715-AirForcePilotKidsCostume-10/12,1,CR-SWITCHEROO,June
GM0002-TrixRabbitLoungePants-M,1,CR-DEFECTIVE,June
DSSCDRA-MickeyHeadsHoliday-S,1,AMZ-PG-APP-TOO-SMALL,June
ferris002-L,1,CR-SWITCHEROO,June
Hoff001-M,1,AMZ-PG-APP-TOO-SMALL,June
SoapLoofahCostume,1,CR-DEFECTIVE,June
machomanbandana-Red,1,CR-MISSED_ESTIMATED_DELIVERY,June
hoosiers003-XL,1,DID_NOT_LIKE_COLOR,June
flashgordoncostume001-L,1,CR-UNWANTED_ITEM,June
albundy005a-YXL,1,AMZ-PG-BAD-DESC,June
220944-BarfCostumeSet-L-XL,1,CR-DEFECTIVE,June
103007-WrestlingBoots-L,1,CR-SWITCHEROO,June
oktoberfestmaid001PURPLE-22,1,AMZ-PG-APP-TOO-SMALL,June
220660rsm,1,CR-MISSED_ESTIMATED_DELIVERY,June
madhatterpurse001,1,DID_NOT_LIKE_FABRIC,June
TMNTShirt-Youth-Leonardo-XS,1,CR-DEFECTIVE,June
mm003JRSblue-L,1,CR-SWITCHEROO,June
mm003JRSgreen-M,1,AMZ-PG-APP-TOO-SMALL,June
mm001Norg-XL,1,CR-UNWANTED_ITEM,June
M&M-Yellow-JUNIORS-Shirt-S,1,AMZ-PG-APP-TOO-SMALL,June
220814-PowerRangerPJ-BLU-2XL,1,CR-UNWANTED_ITEM,June
220814-PowerRangerPJ-GRN-2XL,1,CR-UNWANTED_ITEM,June
Thing1-6-UnionSuit-ADULT-M,1,CR-DEFECTIVE,June
leagueoftheirownGIRLS-5/6,1,AMZ-PG-APP-TOO-LARGE,June
tmntapriloneilcostume-S/M,1,AMZ-PG-APP-TOO-SMALL,June
SNL007tan-XL,1,AMZ-PG-APP-TOO-SMALL,June
PRangersShirtYouth-Yellow-L,1,CR-UNWANTED_ITEM,June
sbtbslaterjersey-XL,1,AMZ-PG-APP-TOO-SMALL,June
scarfaceglasses001,1,AMZ-PG-APP-TOO-SMALL,June
caddyshackhat002,1,AMZ-PG-BAD-DESC,June
nwo002N-XL,1,CR-DEFECTIVE,June
B3SA2051TV-BobRossPants-2XL,1,CR-SWITCHEROO,June
alsunny022-L,1,AMZ-PG-APP-TOO-SMALL,June
caddyshackhat003,1,AMZ-PG-APP-TOO-SMALL,June
hulkglassesN-yellow,1,CR-UNWANTED_ITEM,June
wrestlingboots-XLB,1,CR-UNWANTED_ITEM,June
sharkcostume-XXL,1,AMZ-PG-APP-TOO-SMALL,June
tmnt016-Mike-Mens-XS,1,AMZ-PG-APP-TOO-LARGE,June
mm003JRSorange-XL,1,AMZ-PG-APP-TOO-SMALL,June
mm003JRSblue-L,1,AMZ-PG-APP-TOO-SMALL,June
sein034-M,1,CR-UNWANTED_ITEM,June
tmnt016-Raph-Mens-2XL,1,CR-MISSED_ESTIMATED_DELIVERY,June
tmnt016-Leo-Mens-XL,1,AMZ-PG-APP-TOO-LARGE,June
BrennanVest-S,1,AMZ-PG-APP-STYLE,June
DaleVest-2XL,1,CR-UNWANTED_ITEM,June
220757-AverageJoesWomensSet-M,1,AMZ-PG-BAD-DESC,June
dodgeball003-XL,1,AMZ-PG-APP-TOO-LARGE,June
HEKA00ZMSC-KoolAidShirt-XL,1,AMZ-PG-APP-TOO-LARGE,June
doubledare001red-XL,1,AMZ-PG-APP-TOO-LARGE,June
redboa001N,1,CR-QUALITY_UNACCEPTABLE,June
rickmortyONESIE001-M,1,AMZ-PG-APP-TOO-LARGE,June
rickmortyONESIE001-L,1,AMZ-PG-APP-TOO-LARGE,June
RetroWigHeadband-1191,1,CR-UNWANTED_ITEM,June
PowerRangers-Yellow-SLShirt-S,1,AMZ-PG-APP-TOO-SMALL,June
PowerRangers-Green-SLShirt-L,1,AMZ-PG-APP-TOO-SMALL,June
tmnt045Raph-L,1,AMZ-PG-APP-TOO-LARGE,June
220893-TedLassoSweater-L,1,AMZ-PG-BAD-DESC,June
DW0039-DWClassicBoxers-M,1,AMZ-PG-APP-TOO-LARGE,June
mm001Nblu-XS,1,AMZ-PG-APP-TOO-SMALL,June
DSTS26LGS-BuzzLightyearJuniotsTshirt-M,1,AMZ-PG-APP-TOO-LARGE,June
plumtree001-XL,1,AMZ-PG-APP-STYLE,June
