SKU,Quantity,Reason,Month,Year
hangoversatchel,1,AMZ-PG-APP-STYLE,May,2023
blowupguitar,2,CR-DEFECTIVE,May,2023
pedro003-M,1,AMZ-PG-APP-TOO-LARGE,May,2023
109019B-HocusPocusMARYCostume-XL,1,AMZ-PG-APP-TOO-LARGE,May,2023
starwars164-XXL,1,CR-DEFECTIVE,May,2023
204092-RainbowCardigan-M,1,AMZ-PG-BAD-DESC,May,2023
204092-RainbowCardigan-M,1,CR-ORDERED_WRONG_ITEM,May,2023
tmntskater001leo-M,1,CR-UNWANTED_ITEM,May,2023
RickMortyPajamaSet-JCITV-L,1,AMZ-PG-BAD-DESC,May,2023
pedro001-L,1,CR-UNWANTED_ITEM,May,2023
Juno001-M,1,CR-UNWANTED_ITEM,May,2023
mash003-S,1,CR-SWITCHEROO,May,2023
JudgeWig-1194,1,CR-MISSED_ESTIMATED_DELIVERY,May,2023
AMZTVSO-JetPack-3600-HEATHERGREY-S,1,CR-QUALITY_UNACCEPTABLE,May,2023
220892-MabelPinesSweater-S,1,CR-SWITCHEROO,May,2023
caddyshackhat003,1,CR-MISSED_ESTIMATED_DELIVERY,May,2023
looneytunes028-L,1,CR-UNWANTED_ITEM,May,2023
204073-PresidentPedroShirt-L,1,CR-MISSED_ESTIMATED_DELIVERY,May,2023
220965-GhostSpiderOnesie-5-6,1,CR-ORDERED_WRONG_ITEM,May,2023
ferris008brown-S,1,AMZ-PG-APP-TOO-SMALL,May,2023
220859-CrewMate-Red-STD,1,CR-MISSED_ESTIMATED_DELIVERY,May,2023
hulk003-XL,1,DID_NOT_LIKE_FABRIC,May,2023
batman090-S,1,CR-MISSED_ESTIMATED_DELIVERY,May,2023
TMNTShirt-Youth-Donatello-M,1,DID_NOT_LIKE_COLOR,May,2023
nerdstankdressPINK-XL,1,AMZ-PG-BAD-DESC,May,2023
ninjacotumeWHITE-M,1,CR-DAMAGED_BY_FC,May,2023
SNL007tan-L,1,AMZ-PG-APP-TOO-SMALL,May,2023
RetroWigHeadband-1191,1,CR-UNWANTED_ITEM,May,2023
TMNTShirt-Youth-Donatello-XS,1,AMZ-PG-APP-STYLE,May,2023
WillysWonderland-Shirt-S,1,AMZ-PG-APP-TOO-SMALL,May,2023
220839-SashFlag,1,CR-DAMAGED_BY_FC,May,2023
WillysWonderland-Shirt-XL,1,AMZ-PG-APP-TOO-SMALL,May,2023
hangoverglasses,1,CR-SWITCHEROO,May,2023
btlc004-L,1,AMZ-PG-APP-TOO-SMALL,May,2023
100578BLACK-M,1,AMZ-PG-APP-STYLE,May,2023
100980-TheQueenMusicBeltArmband,1,CR-MISSED_ESTIMATED_DELIVERY,May,2023
100980-TheQueenMusicBeltArmband,1,CR-FOUND_BETTER_PRICE,May,2023
Juno001-L,1,CR-UNWANTED_ITEM,May,2023
machomanbandana-Purple,1,AMZ-PG-APP-TOO-LARGE,May,2023
machomanbandana-Purple,1,AMZ-PG-APP-TOO-LARGE,May,2023
eastbound018-L,1,AMZ-PG-APP-TOO-SMALL,May,2023
PRangersShirtYouth-Green-L,1,AMZ-PG-APP-TOO-SMALL,May,2023
PRangersShirtYouth-Yellow-M,1,AMZ-PG-APP-TOO-SMALL,May,2023
PRangersShirtYouth-Blue-M,1,AMZ-PG-APP-TOO-SMALL,May,2023
heavyweights001-XXL,1,DID_NOT_LIKE_FABRIC,May,2023
heavyweights001TANK-S,1,AMZ-PG-APP-TOO-SMALL,May,2023
sesame009-4T,1,AMZ-PG-APP-TOO-LARGE,May,2023
DSTS26LGS-BuzzLightyearJuniotsTshirt-XL,1,AMZ-PG-APP-TOO-SMALL,May,2023
204086-UncleRicoVest-L/XL,1,AMZ-PG-APP-TOO-LARGE,May,2023
100585-MoonBoots-10/11,1,CR-DEFECTIVE,May,2023
204073-PresidentPedroShirt-XL,1,AMZ-PG-APP-TOO-LARGE,May,2023
sriracha004-M,1,AMZ-PG-APP-TOO-SMALL,May,2023
theflash008-M,1,AMZ-PG-APP-TOO-SMALL,May,2023
JackDaniels001-MensShirt-L,1,CR-MISSED_ESTIMATED_DELIVERY,May,2023
220861-CrewMate-Green-STD,1,CR-UNWANTED_ITEM,May,2023
dodgeball003-XL,1,AMZ-PG-APP-TOO-SMALL,May,2023
machomanbandana-Red,1,CR-MISSED_ESTIMATED_DELIVERY,May,2023
220885-KennyCostume-M,1,AMZ-PG-BAD-DESC,May,2023
PowerRangers-Yellow-SLShirt-2XL,1,AMZ-PG-APP-TOO-SMALL,May,2023
