SKU,Quantity,Reason,Month
VAHA00BMN2-WetBanditsPJSet-S,1,AMZ-PG-APP-STYLE,November
102026-InfOrnament-25-White,1,CR-UNWANTED_ITEM,November
100576BROWN-S,1,AMZ-PG-APP-TOO-SMALL,November
CY034-ChristmasStoryUnionSuit-L,1,CR-UNWANTED_ITEM,November
bigl032-XXL,1,CR-UNWANTED_ITEM,November
CY034-ChristmasStoryUnionSuit-L,1,CR-SWITCHEROO,November
FilthyAnimalLoungePants-XF003-XXL,1,CR-UNWANTED_ITEM,November
100980-TheQueenMusicBeltArmband,1,CR-MISSED_ESTIMATED_DELIVERY,November
RalphieGlassesCrack,1,CR-UNWANTED_ITEM,November
CY034-ChristmasStoryUnionSuit-XXL,1,CR-UNWANTED_ITEM,November
CVSM2356TV-JolliestSweater-5XL,1,AMZ-PG-APP-TOO-LARGE,November
103015-BabyCarlosDollGlasses,1,CR-UNWANTED_ITEM,November
junk187-XXXL,1,CR-UNWANTED_ITEM,November
220898-EllenGirswold-M,1,CR-MISSED_ESTIMATED_DELIVERY,November
220936-LegLampSkirt-L-XL,1,AMZ-PG-APP-TOO-LARGE,November
powerrangers015pink-M,1,CR-UNWANTED_ITEM,November
uglysweater38-XL,1,AMZ-PG-APP-TOO-LARGE,November
starwars168-4X,1,AMZ-PG-APP-TOO-SMALL,November
CY034-ChristmasStoryUnionSuit-XXL,1,AMZ-PG-APP-TOO-SMALL,November
102027-InfOrnament-15-White,1,AMZ-PG-BAD-DESC,November
uglysweater38-XL,1,CR-SWITCHEROO,November
102027-InfOrnament-15-Silver,1,AMZ-PG-BAD-DESC,November
102025-InfOrnament-18-Green,1,AMZ-PG-BAD-DESC,November
UFSM2083TV-PULPFICTION-XL,1,AMZ-PG-APP-TOO-LARGE,November
ChristmasOrnaments-JesusSelfie-100786,1,CR-DAMAGED_BY_FC,November
WuTangUnionSuit-LN0011-XL,1,AMZ-PG-APP-TOO-SMALL,November
uglysweater44-XXL,1,AMZ-PG-APP-TOO-LARGE,November
Juno001N-M,1,AMZ-PG-APP-TOO-SMALL,November
103018-CousinEddieOrangeHose,1,AMZ-PG-BAD-DESC,November
NL029-ChristmasVacationPajamaSet-S,1,AMZ-PG-APP-TOO-SMALL,November
Inflatable001-HumpReindeer4feet1,1,AMZ-PG-BAD-DESC,November
20347-ToddRedSweater-L,1,AMZ-PG-APP-TOO-LARGE,November
GBXX24BML-GhostLightsLS-XL,1,AMZ-PG-APP-STYLE,November
3DTRexUCS-3XL,1,AMZ-PG-APP-TOO-SMALL,November
VAHA00BMN2-WetBanditsPJSet-S,1,DID_NOT_LIKE_FABRIC,November
RWTM09-BabyYodaUCS-2XL,1,AMZ-PG-APP-TOO-SMALL,November
Inflatable001-HumpReindeer4feet1,1,CR-FOUND_BETTER_PRICE,November
220834-GriswoldTie,1,CR-UNWANTED_ITEM,November
220898-EllenGirswold-L,1,CR-UNWANTED_ITEM,November
CousinEddieMannequinSet,1,CR-MISSING_PARTS,November
bobsburgersapronwhite-OS,1,CR-MISSED_ESTIMATED_DELIVERY,November
103018-CousinEddieOrangeHose,1,AMZ-PG-BAD-DESC,November
WR0507-ElfSmilingPants-XL,1,AMZ-PG-APP-TOO-SMALL,November
starwars168-M,1,AMZ-PG-APP-TOO-LARGE,November
102027-InfOrnament-15-Purple,3,CR-UNWANTED_ITEM,November
CY034-ChristmasStoryUnionSuit-M,1,CR-SWITCHEROO,November
102027-InfOrnament-15-White,1,CR-DEFECTIVE,November
NL029-ChristmasVacationPajamaSet-M,1,CR-SWITCHEROO,November
XmasStoryRalphieUCS-CSSM2356-XXL,1,AMZ-PG-APP-TOO-SMALL,November
220794-CousinEddieSuit-L,1,AMZ-PG-BAD-DESC,November
InfOrnamentsLED-30,2,AMZ-PG-BAD-DESC,November
starskyhutch001-XL,1,AMZ-PG-APP-TOO-SMALL,November
103018-CousinEddieOrangeHose,1,AMZ-PG-APP-STYLE,November
CVBW2441TV-ShitrsFullSweater-4XL,1,AMZ-PG-APP-TOO-LARGE,November
CY034-ChristmasStoryUnionSuit-XL,1,AMZ-PG-APP-TOO-SMALL,November
EpsteinSweater-RedBlack-M,1,CR-SWITCHEROO,November
wrestlingboots-XLW,1,CR-DEFECTIVE,November
ramonaflowerswig-Purple,1,CR-QUALITY_UNACCEPTABLE,November
102028-InfOrnament-30-Silver,5,CR-UNWANTED_ITEM,November
102026-InfOrnament-25-Gold,4,CR-UNWANTED_ITEM,November
uglysweater44-XL,1,AMZ-PG-APP-TOO-SMALL,November
220925-AlexHamiltonCostume-M,1,CR-SWITCHEROO,November
220936-LegLampSkirt-S-M,1,AMZ-PG-APP-TOO-SMALL,November
CousinEddieWhiteRobe-220703,1,DID_NOT_LIKE_FABRIC,November
S8SM2074TV-ScarfaceSweater-2XL,1,DID_NOT_LIKE_COLOR,November
biglpants001-XL,1,AMZ-PG-APP-TOO-LARGE,November
102025-InfOrnament-18-Red1,2,CR-UNWANTED_ITEM,November
ChristmasOrnaments-TrumpSanta-100790,1,CR-DAMAGED_BY_FC,November
machomanbandana-Red,1,CR-MISSED_ESTIMATED_DELIVERY,November
CY034-ChristmasStoryUnionSuit-3XL,1,CR-UNWANTED_ITEM,November
UglySweater-YetitoParty-M,1,AMZ-PG-APP-TOO-SMALL,November
CY034-ChristmasStoryUnionSuit-XXL,1,AMZ-PG-APP-STYLE,November
GBXX24BML-GhostLightsLS-3XL,1,AMZ-PG-APP-TOO-SMALL,November
stepbros011N-L,1,AMZ-PG-APP-TOO-LARGE,November
DSSCDRA-MickeyHeadsHoliday-M,1,AMZ-PG-APP-TOO-LARGE,November
UglySweater-YetitoParty-XXL,1,CR-DEFECTIVE,November
BLSM2596TV-BigLMarmotSweater-2XL,1,AMZ-PG-APP-TOO-SMALL,November
CY034-ChristmasStoryUnionSuit-4X,1,AMZ-PG-APP-TOO-SMALL,November
NL029-ChristmasVacationPajamaSet-S,1,CR-SWITCHEROO,November
3DTRexUCS-L,1,CR-UNWANTED_ITEM,November
3DTRexUCS-S,1,CR-UNWANTED_ITEM,November
3DTRexUCS-XL,1,CR-UNWANTED_ITEM,November
220814-PowerRangerPJ-BLK-S,1,CR-UNWANTED_ITEM,November
102028-InfOrnament-30-White,1,CR-DAMAGED_BY_FC,November
powerrangers015red-XL,1,AMZ-PG-APP-STYLE,November
FilthyAnimalScarf,1,CR-SWITCHEROO,November
mm001Ngrn-M,1,AMZ-PG-APP-TOO-SMALL,November
BuzzLightYearLongSleeveAdultShirt-S,1,AMZ-PG-APP-TOO-SMALL,November
StickyBanditsSweater-XL,1,AMZ-PG-APP-TOO-SMALL,November
ElfLoungePants-WR0322-52-S,1,AMZ-PG-APP-TOO-SMALL,November
ElfLoungePants-WR0322-52-S,1,AMZ-PG-APP-TOO-SMALL,November
102028-InfOrnament-30-Green,1,CR-UNAUTHORIZED_PURCHASE,November
102028-InfOrnament-30-Green,1,CR-FOUND_BETTER_PRICE,November
CY034-ChristmasStoryUnionSuit-3XL,1,AMZ-PG-APP-TOO-SMALL,November
103018-CousinEddieOrangeHose,1,AMZ-PG-APP-STYLE,November
ChristmasOrnaments-HumpingReindeer-10078,1,CR-DAMAGED_BY_FC,November
267345-GrinchPJPants-XL,1,AMZ-PG-APP-TOO-LARGE,November
3DTRexUCS-3XL,1,DID_NOT_LIKE_FABRIC,November
OESY2957TV-Office12Days-Socks,1,AMZ-PG-BAD-DESC,November
StickyBanditsSweater-2XL,1,AMZ-PG-APP-TOO-SMALL,November
220910-WillyWonkaCostume-XL,1,CR-DEFECTIVE,November
BuzzWoofSweater-Red-S,1,AMZ-PG-APP-TOO-LARGE,November
WREL02AMSC-OMGSantaShirt-L,1,CR-MISSED_ESTIMATED_DELIVERY,November
KRSM2011-KrampusSweater-M,1,CR-UNWANTED_ITEM,November
insideoutjoywig,1,CR-ORDERED_WRONG_ITEM,November
KRSM2011-Krampus-M,1,AMZ-PG-APP-TOO-LARGE,November
CY034-ChristmasStoryUnionSuit-XL,1,AMZ-PG-APP-TOO-SMALL,November
GDSM2659TV-GratefullDeadBear-S,1,AMZ-PG-APP-TOO-LARGE,November
topgun002-S,1,CR-UNWANTED_ITEM,November
204087-ChotchkiesCostumeSet-M,1,CR-UNWANTED_ITEM,November
ChesterCheetosSuit-M,1,AMZ-PG-APP-TOO-LARGE,November
mm001Norg-3XL,1,DID_NOT_LIKE_FABRIC,November
wwe112N-S,1,CR-DEFECTIVE,November
duckdynasty006silver-S,1,CR-UNWANTED_ITEM,November
TinselTreeSweater-L,1,AMZ-PG-APP-TOO-LARGE,November
ChristmasOrnaments-CousinEddie,1,CR-DAMAGED_BY_FC,November
ElfLoungePants-WR0322-52-S,1,AMZ-PG-APP-TOO-SMALL,November
CVSM2258-MooseHead-4X,1,AMZ-PG-APP-TOO-LARGE,November
CousinEdRobe-Hat-SET,2,CR-MISSING_PARTS,November
DS197-UglySweater-3XL,1,AMZ-PG-APP-TOO-LARGE,November
102026-InfOrnament-25-Green,1,CR-DEFECTIVE,November
102025-InfOrnament-18-Pink,1,AMZ-PG-BAD-DESC,November
220888-ToddMargoShinySuit-S-M,1,CR-UNWANTED_ITEM,November
220888-ToddMargoShinySuit-L-XL,1,CR-UNWANTED_ITEM,November
220888-ToddMargoShinySuit-XXL,1,CR-UNWANTED_ITEM,November
102028-InfOrnament-30-Green,1,CR-UNWANTED_ITEM,November
102025-InfOrnament-18-Gold,1,CR-UNWANTED_ITEM,November
102026-InfOrnament-25-Red,1,CR-UNWANTED_ITEM,November
WuTangLogoSnowflakesUCS-M,1,AMZ-PG-APP-TOO-SMALL,November
OESM2914TV-SchruteFarmsUCS-M,1,DID_NOT_LIKE_FABRIC,November
62RBL-MerryKrampusUCS-3XL,1,AMZ-PG-APP-TOO-LARGE,November
102026-InfOrnament-25-Red,1,CR-UNAUTHORIZED_PURCHASE,November
102028-InfOrnament-30-Green,1,CR-UNAUTHORIZED_PURCHASE,November
102025-InfOrnament-18-Silver,1,CR-UNAUTHORIZED_PURCHASE,November
starwars168-XL,1,AMZ-PG-APP-TOO-SMALL,November
uglysweater56-XS,1,AMZ-PG-APP-TOO-SMALL,November
CarpetWetTodd-RedBlack-M,1,AMZ-PG-APP-TOO-LARGE,November
DontKnowMargoUCS-GreenRed-L,1,AMZ-PG-APP-TOO-SMALL,November
103059-TurkeyHatGlasses,1,AMZ-PG-BAD-DESC,November
220898-EllenGirswold-S,1,CR-UNWANTED_ITEM,November
Inflatable001-Trump8feet,1,CR-ORDERED_WRONG_ITEM,November
100581-CousinEddieShoe-13,1,AMZ-PG-APP-TOO-SMALL,November
20337-EddieRVSweater-Blue-S,1,AMZ-PG-APP-TOO-LARGE,November
Inflatable001-Trump8feet,1,CR-DEFECTIVE,November
NDLA0FFMLO-AvatarPanelHoodie-S,1,AMZ-PG-APP-TOO-SMALL,November
RedBandanaYellowGlasses,1,CR-MISSED_ESTIMATED_DELIVERY,November
GBXX24BML-GhostLightsLS-XL,1,AMZ-PG-APP-TOO-SMALL,November
JLSN604-MonstarsSHORTS-S,1,AMZ-PG-APP-TOO-LARGE,November
WRHP0L5-SlytherinSweater-M,1,CR-DEFECTIVE,November
220834-GriswoldTie,1,CR-UNWANTED_ITEM,November
103059-TurkeyHatGlasses,1,CR-MISSED_ESTIMATED_DELIVERY,November
OESM2439TV-DunderMifflinSweater-XXL,1,AMZ-PG-APP-TOO-LARGE,November
103012-MooseMug-1pack,1,CR-DAMAGED_BY_FC,November
monstersinc009-XL,1,CR-QUALITY_UNACCEPTABLE,November
NDSS0K5M-PineappleHousePants-XL,1,AMZ-PG-APP-TOO-LARGE,November
TSM20002TV-WoodyBelt-L,1,AMZ-PG-APP-TOO-SMALL,November
100581-CousinEddieShoe-11,1,AMZ-PG-APP-TOO-LARGE,November
RWTM09-BabyYodaUCS-S,1,AMZ-PG-APP-TOO-SMALL,November
102026-InfOrnament-25-Gold,1,CR-FOUND_BETTER_PRICE,November
LegLampRedPants-WR0314-52-L,1,CR-UNWANTED_ITEM,November
NDSS0K5M-PineappleHousePants-XL,2,DID_NOT_LIKE_FABRIC,November
NDSS0K5M-PineappleHousePants-L,4,DID_NOT_LIKE_FABRIC,November
CY034-ChristmasStoryUnionSuit-L,1,CR-SWITCHEROO,November
ChristmasOrnaments-HumpingReindeer-10078,1,CR-DAMAGED_BY_CARRIER,November
100578BLACK-L,1,AMZ-PG-APP-TOO-SMALL,November
NL029-ChristmasVacationPajamaSet-XL,1,DID_NOT_LIKE_FABRIC,November
DSSCCYNMLC-MickeyWool-2XL,1,AMZ-PG-APP-TOO-SMALL,November
102027-InfOrnament-15-Red,1,CR-UNWANTED_ITEM,November
homealonehat001,1,CR-SWITCHEROO,November
RWTM09-BabyYodaUCS-3XL,1,AMZ-PG-APP-TOO-SMALL,November
62RBL-MerryKrampusUCS-S,1,AMZ-PG-APP-TOO-SMALL,November
ElfLoungePants-WR0322-52-S,1,AMZ-PG-APP-TOO-SMALL,November
uglysweater52-3XL,1,AMZ-PG-APP-TOO-LARGE,November
Custom-BarryWood-SnowflakesGreen-M,1,CR-UNWANTED_ITEM,November
CY034-ChristmasStoryUnionSuit-S,1,AMZ-PG-APP-TOO-LARGE,November
superherocape002CHILDblk-blu,1,CR-MISSED_ESTIMATED_DELIVERY,November
ILoveXmasUCS-S,1,AMZ-PG-APP-TOO-SMALL,November
starwars168-3X,1,AMZ-PG-APP-TOO-SMALL,November
PABR029-PabstSweater-XL,1,AMZ-PG-APP-TOO-SMALL,November
starwars168-L,1,AMZ-PG-APP-TOO-SMALL,November
220961-AustinPowerSuit-XXL,1,CR-UNWANTED_ITEM,November
CY034-ChristmasStoryUnionSuit-S,1,AMZ-PG-APP-TOO-LARGE,November
JolliestBunchSweaterUCS-XL,1,CR-UNWANTED_ITEM,November
220887-EllenGriswoldSweater-M,1,AMZ-PG-APP-TOO-SMALL,November
VAHA00BMN2-WetBanditsPJSet-L,1,CR-UNWANTED_ITEM,November
NL029-ChristmasVacationPajamaSet-3XL,1,CR-SWITCHEROO,November
ucs3d002-S,1,AMZ-PG-APP-TOO-SMALL,November
superherocape002CHILDblk-blk,1,CR-UNWANTED_ITEM,November
204292-DeerRingSweater-M,1,AMZ-PG-APP-TOO-SMALL,November
ChristmasOrnaments-HumpingReindeer-10078,1,CR-DAMAGED_BY_FC,November
suicidesquad004-XL,1,CR-UNWANTED_ITEM,November
CY034-ChristmasStoryUnionSuit-3XL,1,AMZ-PG-APP-TOO-SMALL,November
ArthurChristmasUCS-2XL,1,AMZ-PG-APP-TOO-LARGE,November
wrestlingboots-LY,1,AMZ-PG-APP-STYLE,November
caddyshackhat001,1,AMZ-PG-APP-STYLE,November
Inflatable001-Trump8feet,1,CR-DAMAGED_BY_FC,November
NutsSweaterUCS1-L,1,CR-SWITCHEROO,November
uglysweater55-3XL,1,AMZ-PG-APP-TOO-SMALL,November
dorybeanieECCL3293,1,CR-UNWANTED_ITEM,November
powerrangerssweatshirtBlue-XL,1,CR-UNWANTED_ITEM,November
ElfLoungePants-WR0322-52-XXL,1,CR-SWITCHEROO,November
102025-InfOrnament-18-White,3,CR-UNWANTED_ITEM,November
220898-EllenGirswold-M,1,AMZ-PG-BAD-DESC,November
220936-LegLampSkirt-S-M,1,AMZ-PG-APP-TOO-SMALL,November
102025-InfOrnament-18-Silver,1,CR-MISSED_ESTIMATED_DELIVERY,November
102026-InfOrnament-25-Silver,1,CR-MISSED_ESTIMATED_DELIVERY,November
102027-InfOrnament-15-Silver,1,CR-MISSED_ESTIMATED_DELIVERY,November
GBXX24BML-GhostLightsLS-M,1,AMZ-PG-APP-TOO-SMALL,November
MGB068MARA-GhostbusterCardigan-M,1,AMZ-PG-APP-TOO-SMALL,November
tmnt016-Raph-Mens-3XL,1,AMZ-PG-APP-TOO-LARGE,November
DSSCDRA-MickeyHeadsHoliday-S,1,CR-UNWANTED_ITEM,November
starwars168-M,1,AMZ-PG-APP-TOO-SMALL,November
CY034-ChristmasStoryUnionSuit-XL,2,CR-UNWANTED_ITEM,November
220936-LegLampSkirt-L-XL,1,AMZ-PG-APP-TOO-SMALL,November
102027-InfOrnament-15-Gold,1,CR-UNWANTED_ITEM,November
102027-InfOrnament-15-White,1,CR-UNWANTED_ITEM,November
102027-InfOrnament-15-Red,1,CR-UNWANTED_ITEM,November
CY034-ChristmasStoryUnionSuit-XXL,1,AMZ-PG-APP-TOO-LARGE,November
OESM2914TV-SchruteFarmsUCS-M,1,AMZ-PG-APP-TOO-SMALL,November
ElfLoungePants-WR0322-52-XL,1,AMZ-PG-APP-TOO-SMALL,November
CY034-ChristmasStoryUnionSuit-XXL,1,AMZ-PG-APP-TOO-SMALL,November
CowgirlShirt-204051-XL,1,AMZ-PG-APP-TOO-LARGE,November
DSTS2RH-Jessie-Adult-LS-XL,1,AMZ-PG-APP-TOO-LARGE,November
EMXM1025-FragileLampBeanie,4,CR-UNWANTED_ITEM,November
103059-TurkeyHatGlasses,1,CR-UNWANTED_ITEM,November
102026-InfOrnament-25-Red,1,CR-UNWANTED_ITEM,November
102026-InfOrnament-25-Green,1,CR-UNWANTED_ITEM,November
220786-LT-DumbDumber-BLUE-XL,1,CR-UNWANTED_ITEM,November
OESM2439TV-DunderMifflinSweater-XL,1,AMZ-PG-APP-STYLE,November
220936-LegLampSkirt-L-XL,1,CR-SWITCHEROO,November
WuTangKillerBeesUCS-XXL,1,AMZ-PG-APP-TOO-SMALL,November
DSLX0U8MLC-StitchSweatshirt-S,1,AMZ-PG-APP-TOO-LARGE,November
RWTM09-BabyYodaUCS-XS,1,AMZ-PG-APP-TOO-LARGE,November
VAHA00BMN2-WetBanditsPJSet-L,1,AMZ-PG-APP-TOO-SMALL,November
100584-SheriffBoots-10/11,1,CR-DEFECTIVE,November
220936-LegLampSkirt-S-M,1,CR-UNWANTED_ITEM,November
CY034-ChristmasStoryUnionSuit-XXL,1,CR-UNWANTED_ITEM,November
waldocostumeDELUXE-L,1,CR-MISSING_PARTS,November
220907-CandyWorker-S,1,CR-UNWANTED_ITEM,November
powerrangerssweatshirtBlack-XL,1,CR-SWITCHEROO,November
VAHA00BMN2-WetBanditsPJSet-S,1,AMZ-PG-APP-TOO-LARGE,November
VAHA00BMN2-WetBanditsPJSet-M,1,AMZ-PG-APP-TOO-LARGE,November
102025-InfOrnament-18-White,2,CR-SWITCHEROO,November
