SKU,Quantity,Reason,Month
bobsburgersbeanie001,1,CR-DEFECTIVE,October
204083-JokerCostumeSet1-S,1,CR-DEFECTIVE,October
Thing1-6-UnionSuit-ADULT-L,1,AMZ-PG-APP-TOO-SMALL,October
220696-WOMENS-MimeCostumeSet-M,1,CR-QUALITY_UNACCEPTABLE,October
tmntapriloneilcostume-S/M,1,AMZ-PG-APP-TOO-SMALL,October
tmnt016-Leo-Mens-S,1,AMZ-PG-APP-TOO-LARGE,October
220834-GriswoldTie,1,CR-UNWANTED_ITEM,October
tmnt016-Raph-Mens-XL,1,AMZ-PG-APP-TOO-LARGE,October
220898-EllenGirswold-M,1,AMZ-PG-APP-TOO-SMALL,October
flocostume001,1,CR-UNWANTED_ITEM,October
leagueoftheirowncostume-S/Mdeluxe,1,CR-QUALITY_UNACCEPTABLE,October
DSTS26MGS-WoodyJuniorsTshirt-S,1,AMZ-PG-APP-TOO-SMALL,October
220808-SkeletonPajamaHood-M,1,AMZ-PG-APP-TOO-SMALL,October
WoodyLongSleeveAdultShirt-3XL,1,AMZ-PG-APP-STYLE,October
tmnt016r-L,1,AMZ-PG-APP-STYLE,October
tmnt016-Don-Mens-M,1,AMZ-PG-APP-STYLE,October
220850-ChuckieCostume-3-4T,1,AMZ-PG-BAD-DESC,October
sharkcostume-M-L,1,AMZ-PG-APP-TOO-LARGE,October
ultimatewarriorbandSet,1,AMZ-PG-APP-STYLE,October
TSM20002TV-WoodyBelt-XL,1,AMZ-PG-APP-TOO-SMALL,October
220752-RockfordPeachesMENS-S/M,1,AMZ-PG-BAD-DESC,October
220752-RockfordPeachesMENS-S/M,1,CR-DEFECTIVE,October
suicidesquad003-L,1,AMZ-PG-APP-TOO-LARGE,October
alanbabycarriercostumeDELUXE-L,1,CR-UNWANTED_ITEM,October
220876-VariantJumpsuit-XL,1,AMZ-PG-APP-TOO-LARGE,October
100980-TheQueenMusicBeltArmband,1,CR-MISSED_ESTIMATED_DELIVERY,October
ApolloShorts-S,1,AMZ-PG-APP-TOO-LARGE,October
ChesterCheetosSuit-S,1,CR-DEFECTIVE,October
220917-OldSpiceJumpsuit-S,1,CR-UNWANTED_ITEM,October
221012-WonderBreadCostume-XL,1,CR-DEFECTIVE,October
flocostume001,1,CR-UNWANTED_ITEM,October
JLSN243-TuneSquadSHORTS-XS,1,CR-UNWANTED_ITEM,October
220918-WonderBreadJumpsuit-3XL,1,CR-UNWANTED_ITEM,October
machomanbandana-Purple,1,AMZ-PG-APP-STYLE,October
220839-SashFlag,1,CR-UNWANTED_ITEM,October
suicidesquad004-S,1,AMZ-PG-APP-TOO-SMALL,October
scottpilgrimramonabag-Pink/Turquoise,1,CR-UNWANTED_ITEM,October
204087-ChotchkiesCostumeSet-L,1,DID_NOT_LIKE_FABRIC,October
103034-DeirdreCostume-L,1,AMZ-PG-BAD-DESC,October
JLSN243-TuneSquadSHORTS-XS,1,AMZ-PG-APP-TOO-LARGE,October
UP-SashPinsFlag-Hat-KIDS,1,CR-MISSED_ESTIMATED_DELIVERY,October
tmnteyemaskset,1,AMZ-PG-BAD-DESC,October
sbtbslaterjersey-M,1,CR-UNWANTED_ITEM,October
220910-WillyWonkaCostume-L,1,CR-ORDERED_WRONG_ITEM,October
220916-FlintTropics33Set-3XL,1,AMZ-PG-APP-TOO-LARGE,October
UP-SashPinsFlag-Hat-KIDS,1,CR-FOUND_BETTER_PRICE,October
plumtree001-L,1,CR-MISSED_ESTIMATED_DELIVERY,October
JessieWig,1,AMZ-PG-APP-TOO-SMALL,October
ghost023-2X,1,CR-DEFECTIVE,October
220917-OldSpiceJumpsuit-M,1,AMZ-PG-APP-TOO-SMALL,October
dodgeball003-XS,1,CR-ORDERED_WRONG_ITEM,October
1152-WendyWig,1,AMZ-PG-APP-STYLE,October
220839-SashFlag,1,CR-ORDERED_WRONG_ITEM,October
tmnt016d-4X,1,AMZ-PG-APP-STYLE,October
204070-DetectiveGREENShirt-XXL,1,AMZ-PG-APP-TOO-SMALL,October
junk187-L,1,DID_NOT_LIKE_FABRIC,October
alanbabycarriercostume,1,AMZ-PG-APP-STYLE,October
204073-PresidentPedroShirt-M,1,CR-UNWANTED_ITEM,October
tmnt056Don-XL,1,AMZ-PG-APP-TOO-LARGE,October
chubsuitcostume001Teen-Orange,1,AMZ-PG-APP-TOO-SMALL,October
hangover014-S,1,AMZ-PG-APP-TOO-SMALL,October
hangover014-XL,1,CR-MISSED_ESTIMATED_DELIVERY,October
tmnt056Mike-S,1,AMZ-PG-APP-TOO-SMALL,October
TSM20002TV-WoodyBelt-L,1,AMZ-PG-APP-TOO-LARGE,October
4U9ML-ERNIE-CostumeShirt-S,1,CR-UNWANTED_ITEM,October
4U8ML-BERT-CostumeShirt-2XL,1,AMZ-PG-APP-TOO-LARGE,October
hangoverglasses,1,CR-MISSED_ESTIMATED_DELIVERY,October
220899-MarvCostume-L,1,CR-UNWANTED_ITEM,October
PNXX7Q-PeanutsShirt-Adult-M,1,CR-QUALITY_UNACCEPTABLE,October
1256-HangoverBeard,1,DID_NOT_LIKE_FABRIC,October
sharkcostume-M-L,1,CR-UNWANTED_ITEM,October
alanbabycarriercostumeDELUXE-S,1,AMZ-PG-APP-TOO-LARGE,October
flocostume001,1,CR-MISSED_ESTIMATED_DELIVERY,October
tmnteyemaskset,1,CR-ORDERED_WRONG_ITEM,October
100541-JungleCruiseHat,1,DID_NOT_LIKE_FABRIC,October
102025-InfOrnament-18-White,1,CR-DEFECTIVE,October
woodycostumeshirt-L-XL,1,CR-MISSED_ESTIMATED_DELIVERY,October
suicidesquad003-L,1,CR-MISSED_ESTIMATED_DELIVERY,October
220831-BlueDogCostume-5-6,1,AMZ-PG-BAD-DESC,October
woodylongsleeveadultshirt-4XL,1,AMZ-PG-APP-TOO-SMALL,October
103013-TmntEyeMask-Purple,1,CR-UNWANTED_ITEM,October
DSTS2RH-Jessie-Adult-LS-2XL,1,AMZ-PG-APP-TOO-LARGE,October
100950-CowboyChaps1,1,CR-ORDERED_WRONG_ITEM,October
220893-TedLassoSweater-M,1,AMZ-PG-APP-TOO-LARGE,October
BoysColonialWig-1192,1,CR-FOUND_BETTER_PRICE,October
powerrangers015green-L,1,AMZ-PG-APP-TOO-SMALL,October
220875-VariantJacket-2XL,1,AMZ-PG-APP-TOO-LARGE,October
hulk001N-S,1,AMZ-PG-APP-TOO-LARGE,October
20356-RD-S,1,CR-UNWANTED_ITEM,October
