SKU,Quantity,Reason,Month,Year
CY034-ChristmasStoryUnionSuit-3XL,1,AMZ-PG-APP-TOO-SMALL,February,2024
Office010-M,1,AMZ-PG-APP-STYLE,February,2024
NasaBoots-PLZZ7270TV-8-9,1,AMZ-PG-APP-STYLE,February,2024
drseuss024-XXL,1,AMZ-PG-APP-TOO-LARGE,February,2024
bigbang003-L,1,AMZ-PG-APP-STYLE,February,2024
SquidGameSuit-GREEN-001-2XL,1,AMZ-PG-BAD-DESC,February,2024
SquidGameSuit-GREEN-218-2XL,1,AMZ-PG-BAD-DESC,February,2024
220752-RockfordPeachesMENS-L/XL,1,CR-MISSED_ESTIMATED_DELIVERY,February,2024
220967-RoxburySuit-Blue-L,1,CR-ORDERED_WRONG_ITEM,February,2024
220967-RoxburySuit-Blue-M,1,CR-DAMAGED_BY_FC,February,2024
superherocape002CHILDblk-blk,1,CR-MISSED_ESTIMATED_DELIVERY,February,2024
221025-HulkSleevelessShirt-M,1,AMZ-PG-APP-TOO-LARGE,February,2024
QF009BBSTV-BlueyPajamas-6,1,CR-DEFECTIVE,February,2024
junk187-L,1,AMZ-PG-APP-TOO-SMALL,February,2024
biglpants001-XXL,1,AMZ-PG-APP-TOO-SMALL,February,2024
stepbros010-L,1,AMZ-PG-APP-TOO-SMALL,February,2024
waldocostumeDELUXE-BOYS-M,1,AMZ-PG-BAD-DESC,February,2024
junk187-4XL,1,AMZ-PG-APP-TOO-SMALL,February,2024
suicidesquad003-L,1,CR-UNWANTED_ITEM,February,2024
hangover014-M,1,AMZ-PG-APP-STYLE,February,2024
frankie002-M,1,AMZ-PG-APP-TOO-SMALL,February,2024
sesame034-6,1,CR-QUALITY_UNACCEPTABLE,February,2024
superherocape002CHILDblk-blk,1,AMZ-PG-APP-TOO-SMALL,February,2024
221036-RetroJacketDesign2-M,1,CR-UNWANTED_ITEM,February,2024
221036-RetroJacketDesign2-L,1,CR-UNWANTED_ITEM,February,2024
SRST02-StarTrekLS-Blue-2XL,1,AMZ-PG-BAD-DESC,February,2024
DSMN-BoysMonstersJacket-M,1,AMZ-PG-BAD-DESC,February,2024
sbb015-XL,1,AMZ-PG-APP-TOO-SMALL,February,2024
BuzzLightYearLongSleeveAdultShirt-XXL,1,CR-ORDERED_WRONG_ITEM,February,2024
NDLA0FGMBJ-AvatarPanelPants-M,1,CR-MISSED_ESTIMATED_DELIVERY,February,2024
alsunny021-S,1,AMZ-PG-APP-TOO-SMALL,February,2024
alsunny005-M,1,AMZ-PG-APP-TOO-SMALL,February,2024
220844-BoxingRobeKids-Blk,1,AMZ-PG-APP-TOO-LARGE,February,2024
sharkcostume-M-L,1,CR-DEFECTIVE,February,2024
junk187-M,1,CR-UNWANTED_ITEM,February,2024
spacedogwig001,1,CR-DEFECTIVE,February,2024
leagueoftheirowncostume-2X/3X,1,AMZ-PG-APP-TOO-LARGE,February,2024
leagueoftheirowncostume-2X/3X,1,AMZ-PG-APP-TOO-LARGE,February,2024
JediBoots-100582-L,1,AMZ-PG-APP-TOO-SMALL,February,2024
DRSE0D8M-Thing1-Shirt-2XL,1,AMZ-PG-APP-TOO-LARGE,February,2024
hangoversatchel,1,CR-MISSED_ESTIMATED_DELIVERY,February,2024
220916-FlintTropics33Set-L/XL,1,CR-UNWANTED_ITEM,February,2024
100576BLACK-L,1,AMZ-PG-APP-STYLE,February,2024
suicidesquad003-M,1,AMZ-PG-APP-TOO-LARGE,February,2024
suicidesquad004-M,1,AMZ-PG-APP-TOO-LARGE,February,2024
ElfLoungePants-WR0322-52-S,1,AMZ-PG-APP-TOO-LARGE,February,2024
wrestlingboots-MY,1,AMZ-PG-APP-TOO-SMALL,February,2024
M&M-Yellow-JUNIORS-Shirt-XL,1,AMZ-PG-APP-TOO-SMALL,February,2024
M&M-Blue-JUNIORS-Shirt-M,1,AMZ-PG-APP-TOO-SMALL,February,2024
