SKU,Quantity,Reason
DSSCCXYBNP-HoHoHoPants-XL,2,CR-MISSED_ESTIMATED_DELIVERY
WR0314-52-LegLampRedPants-M,1,AMZ-PG-APP-STYLE
220910-WillyWonkaCostume-S,1,CR-UNWANTED_ITEM
CousinEddieWhiteRobe-220703,1,CR-MISSED_ESTIMATED_DELIVERY
GrinchUnionSuit-Adult-M,1,AMZ-PG-APP-STYLE
PXES02-YellowstoneBrownShirt-L,1,AMZ-PG-APP-TOO-SMALL
eastbound020-L,1,CR-SWITCHEROO
CY034-ChristmasStoryUnionSuit-L,1,AMZ-PG-APP-TOO-LARGE
leagueoftheirowncostume-L/XLdeluxe,1,CR-SWITCHEROO
RMSM3878-RickMortyHoliday-M,1,AMZ-PG-APP-TOO-SMALL
220785-DumbDumber-ORNG-M,1,CR-UNWANTED_ITEM
220786-LT-DumbDumber-BLUE-XL,1,CR-UNWANTED_ITEM
theflash002stripes-XXXL,1,AMZ-PG-APP-TOO-LARGE
stepbros010-XL,1,AMZ-PG-APP-TOO-SMALL
20343-NasaRetroSweater-M,1,CR-SWITCHEROO
RMSM2115-RickMorty-XL,1,CR-UNWANTED_ITEM
Inflatable001-Trump8feet,1,CR-DAMAGED_BY_CARRIER
uglyjacketgbreadman-L-XL,1,CR-UNWANTED_ITEM
sexpanthercologne003N,1,AMZ-PG-BAD-DESC
hulk006-24,1,AMZ-PG-APP-TOO-LARGE
220780-TigerKingJacket-L,1,DID_NOT_LIKE_FABRIC
221014-WonkaCostume-L,1,CR-UNAUTHORIZED_PURCHASE
superherocape002CHILDblu-blu,1,CR-UNWANTED_ITEM
220991-VikingHat-OS,1,CR-DEFECTIVE
3DTRexUCS-L,1,AMZ-PG-APP-TOO-SMALL
starskyhutch001-S,1,AMZ-PG-APP-TOO-LARGE
CVGriswoldLoungePants-WR0319-52-M,1,DID_NOT_LIKE_COLOR
CVGriswoldLoungePants-WR0319-52-S,1,AMZ-PG-APP-STYLE
uglysweater60-L,1,CR-MISSED_ESTIMATED_DELIVERY
RWTM09-BabyYodaUCS-XL,1,CR-MISSED_ESTIMATED_DELIVERY
HS0217-TwisterLoungePants-L,1,AMZ-PG-APP-TOO-SMALL
HS0217-TwisterLoungePants-M,1,AMZ-PG-APP-TOO-SMALL
HS0217-TwisterLoungePants-S,1,AMZ-PG-APP-TOO-SMALL
66634105-YellowStoneJacket-L,1,CR-MISSED_ESTIMATED_DELIVERY
103059-TurkeyHatGlasses,1,CR-MISSED_ESTIMATED_DELIVERY
220898-EllenGirswold-S,1,CR-ORDERED_WRONG_ITEM
napoleonaccesssoryboots-M,1,AMZ-PG-APP-TOO-SMALL
flashpajama001-L,1,DID_NOT_LIKE_FABRIC
CY034-ChristmasStoryUnionSuit-5X,1,AMZ-PG-APP-TOO-LARGE
OESM2914TV-SchruteFarmsUCS-M,1,CR-UNWANTED_ITEM
F1BW2368-FriendsCentralPerkUCS-XL,1,DID_NOT_LIKE_FABRIC
chubsuitcostume002-red,2,CR-DEFECTIVE
trans016-M,1,AMZ-PG-APP-TOO-SMALL
CY034-ChristmasStoryUnionSuit-XL,1,CR-MISSED_ESTIMATED_DELIVERY
GDSM2659TV-GratefullDeadBear-3XL,1,AMZ-PG-APP-TOO-SMALL
XF011MBSTV-FilthyAnimalPajamaSuit-XL,1,AMZ-PG-APP-TOO-LARGE
sbb015n-M,1,AMZ-PG-APP-TOO-SMALL
204292-DeerRingSweater-L,1,AMZ-PG-APP-TOO-SMALL
waldocostumeDELUXE-XXXL,1,AMZ-PG-BAD-DESC
CY034-ChristmasStoryUnionSuit-M,1,AMZ-PG-APP-TOO-SMALL
220823-PinkBunny-KIDS-3-6m,1,CR-DEFECTIVE
CY034-ChristmasStoryUnionSuit-M,1,AMZ-PG-APP-TOO-SMALL
CY034-ChristmasStoryUnionSuit-XL,1,CR-UNWANTED_ITEM
siliconvalley001-S,1,AMZ-PG-APP-TOO-SMALL
flinttropicssocks,1,CR-UNWANTED_ITEM
flintsweatbands,1,CR-ORDERED_WRONG_ITEM
220916-FlintTropics33Set-L/XL,1,CR-ORDERED_WRONG_ITEM
RWTM09-BabyYodaUCS-4XL,1,DID_NOT_LIKE_COLOR
100576BLACK-M,1,AMZ-PG-APP-TOO-SMALL
ElfLoungePants-WR0322-52-S,2,CR-UNWANTED_ITEM
220991-VikingHat-OS,1,AMZ-PG-BAD-DESC
103059-TurkeyHatGlasses,1,CR-ORDERED_WRONG_ITEM
sriracha004-M,1,AMZ-PG-APP-STYLE
DontKnowMargoUCS-GreenRed-L,1,DID_NOT_LIKE_COLOR
CarpetWetTodd-RedBlack-M,1,DID_NOT_LIKE_COLOR
mm003JRSred-S,1,CR-UNWANTED_ITEM
102025-InfOrnament-18-Green,1,AMZ-PG-BAD-DESC
102025-InfOrnament-18-Green,1,AMZ-PG-BAD-DESC
CousinEddieWhiteRobe-220703,1,CR-UNWANTED_ITEM
ricflare001-black,1,CR-UNWANTED_ITEM
SantaBoots-100580-XL,1,CR-ORDERED_WRONG_ITEM
3DTRexUCS1-M,1,AMZ-PG-APP-STYLE
waldocostumeDELUXE-L,1,CR-DAMAGED_BY_FC
Inflatable001-BlackSanta8feet,1,CR-UNWANTED_ITEM
ironmantankdress-XL,1,AMZ-PG-APP-TOO-SMALL
220936-LegLampSkirt-L-XL,1,CR-DEFECTIVE
220895-MartyMcflyCostume-XXL,1,CR-ORDERED_WRONG_ITEM
nwo002N-3XL,1,AMZ-PG-BAD-DESC
leagueoftheirowncostume-3X/4X,1,CR-UNWANTED_ITEM
NL029-ChristmasVacationPajamaSet-XL,1,CR-UNWANTED_ITEM
ChesterCheetosSuit-XL,1,CR-MISSED_ESTIMATED_DELIVERY
plumtree001-M,1,AMZ-PG-APP-STYLE
WhiteAfroWig-1218,1,CR-UNWANTED_ITEM
EMVC1019TV-CousinEddieHat,1,CR-UNWANTED_ITEM
mash003-S,1,AMZ-PG-APP-TOO-SMALL
GDSA2851TV-GratDeadPants-L,1,CR-UNWANTED_ITEM
220887-EllenGriswoldSweater-S,1,CR-UNWANTED_ITEM
220898-EllenGirswold-S,1,CR-UNWANTED_ITEM
F1BW2368-FriendsCentralPerkUCS-XL,1,DID_NOT_LIKE_COLOR
220785-DumbDumber-ORNG-XL,1,AMZ-PG-BAD-DESC
GDSA2851TV-GratDeadPants-XL,1,AMZ-PG-APP-TOO-LARGE
ateam001-XL,1,AMZ-PG-APP-TOO-LARGE
BLSM2596TV-BigLMarmotSweater-XL,1,AMZ-PG-APP-TOO-LARGE
220846-BoxingRobeKids-Red,1,CR-UNWANTED_ITEM
CVSM2384TV-ThresholdSweater-2XL,1,AMZ-PG-APP-TOO-LARGE
superherocape002CHILDblu-blu,1,DID_NOT_LIKE_FABRIC
B3SM2058TV-BOBROSS-M,1,AMZ-PG-APP-TOO-LARGE
RWTM09-BabyYodaUCS-4XL,1,AMZ-PG-APP-TOO-LARGE
100576BLACK-L,2,CR-MISSED_ESTIMATED_DELIVERY
220936-LegLampSkirt-S-M,1,CR-DEFECTIVE
DSSCCYNMLC-MickeyWool-S,1,CR-UNWANTED_ITEM
DSSCCYNMLC-MickeyWool-M,1,CR-UNWANTED_ITEM
FilthyAnimalSweaterUCS-L,1,AMZ-PG-APP-TOO-SMALL
204087-ChotchkiesCostumeSet-3XL,1,CR-DEFECTIVE
220936-LegLampSkirt-L-XL,1,AMZ-PG-APP-TOO-LARGE
FilthyAnimalSweaterUCS-L,1,AMZ-PG-APP-TOO-LARGE
CY034-ChristmasStoryUnionSuit-L,1,CR-UNWANTED_ITEM
ElfSantaUCS-ELSM2301-XXL,1,AMZ-PG-APP-TOO-SMALL
biglpants001-L,1,AMZ-PG-APP-TOO-SMALL
mm003JRSgreen-M,1,AMZ-PG-APP-TOO-SMALL
103048-SantaBigPackOrnament,1,CR-UNWANTED_ITEM
