SKU,Quantity,Reason
M&M-Yellow-JUNIORS-Shirt-M,1,DID_NOT_LIKE_FABRIC
sbb015n-M,1,AMZ-PG-APP-TOO-SMALL
220795-UptownOverall-L,1,AMZ-PG-BAD-DESC
scarfaceglasses001,1,CR-QUALITY_UNACCEPTABLE
powerrangerssweatshirtBlue-XL,1,AMZ-PG-APP-TOO-LARGE
flinttropicssocks,1,CR-UNWANTED_ITEM
flinttropicssocks,1,CR-ORDERED_WRONG_ITEM
NSPH3266-NarutoPajamas,1,AMZ-PG-APP-TOO-SMALL
100576BLACK-M,1,AMZ-PG-BAD-DESC
221050-KenShirtShortsSet-L,1,AMZ-PG-BAD-DESC
220980-SaltPepaCostume-L,1,CR-UNWANTED_ITEM
GM0002-TrixRabbitLoungePants-L,1,CR-UNWANTED_ITEM
PRangersShirtYouth-Green-XS,1,AMZ-PG-APP-TOO-SMALL
100980-TheQueenMusicBeltArmband,1,CR-MISSED_ESTIMATED_DELIVERY
wwe112N-3XL,1,DID_NOT_LIKE_COLOR
103004-RockyWhiteBoots-S,1,AMZ-PG-APP-TOO-LARGE
220851-CruJones-L,1,CR-MISSING_PARTS
frankie002-M,1,AMZ-PG-APP-TOO-SMALL
220783-FlintTropicShorts-S/M,1,AMZ-PG-APP-TOO-SMALL
sbb015-XXL,1,AMZ-PG-APP-TOO-SMALL
KG0004-FruitLoopsLoungePants-XL,1,AMZ-PG-APP-TOO-SMALL
GM0002-TrixRabbitLoungePants-XL,1,AMZ-PG-APP-TOO-SMALL
trans021-L,1,CR-SWITCHEROO
UDWW02PGP3-WendaCostume-XS,1,CR-ORDERED_WRONG_ITEM
HJCO2021-HootersCostumeSet-3XL,1,AMZ-PG-APP-TOO-LARGE
220697-MENS-MimeCostumeSet-M,1,AMZ-PG-APP-TOO-LARGE
103015-BabyCarlosDollGlasses,1,CR-UNWANTED_ITEM
powerrangers018black-6/12,1,CR-UNWANTED_ITEM
powerrangers018black-12/18,1,AMZ-PG-APP-TOO-LARGE
powerrangers018green-12/18,1,AMZ-PG-APP-TOO-LARGE
oktoberfestlederhosenPANTS-42,1,AMZ-PG-APP-TOO-SMALL
220074-PenguinChubSuit-Adult,1,CR-DEFECTIVE
mm003JRSblue-M,1,AMZ-PG-APP-TOO-SMALL
metallica003-S,1,AMZ-PG-APP-TOO-SMALL
BrownDreadlocks-1230,1,CR-UNWANTED_ITEM
WB1658-WB1659-WonderWomanCostumeSet1-S,1,AMZ-PG-APP-TOO-SMALL
RetroWigHeadband-1191,1,CR-UNWANTED_ITEM
GDSA2851TV-GratDeadPants-M,1,AMZ-PG-APP-TOO-SMALL
wrestlingboots-LB,1,CR-UNWANTED_ITEM
ElvisGlasses001-Gold,1,CR-MISSED_ESTIMATED_DELIVERY
DazedConfusedTedNugent-Shirt-L,1,AMZ-PG-APP-TOO-LARGE
TMNTShirt-Youth-Leonardo-M,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-S/Mdeluxe,1,AMZ-PG-APP-TOO-SMALL
220918-WonderBreadJumpsuit-4XL,1,CR-DEFECTIVE
junkfood187-XXL,1,AMZ-PG-APP-TOO-SMALL
100576BLACK-M,1,AMZ-PG-APP-TOO-SMALL
GDSA2851TV-GratDeadPants-XL,1,AMZ-PG-APP-TOO-SMALL
usaboardshorts002-M,1,CR-SWITCHEROO
DSMN-MensMonstersJacket-L,1,DID_NOT_LIKE_FABRIC
EMSW6025-SWReyHoodedScarf,1,CR-ORDERED_WRONG_ITEM
ImperialOfficerCap-ECSW2060TV-Black,1,CR-ORDERED_WRONG_ITEM
CY034-ChristmasStoryUnionSuit-3XL,1,AMZ-PG-APP-TOO-SMALL
103018-CousinEddieOrangeHose,1,CR-ORDERED_WRONG_ITEM
CousinEdRobe-Hat-SET,1,AMZ-PG-APP-TOO-SMALL
NDLA0FFMLO-AvatarPanelHoodie-M,1,AMZ-PG-APP-TOO-SMALL
NDLA0FGMBJ-AvatarPanelPants-M,1,AMZ-PG-APP-TOO-SMALL
junk187-XXXL,1,AMZ-PG-APP-TOO-SMALL
hangover014-XXXL,1,CR-UNWANTED_ITEM
220939-BeerfestTracksuit-XL,1,AMZ-PG-APP-TOO-LARGE
220697-MENS-MimeCostumeSet-M,1,AMZ-PG-APP-TOO-SMALL
220074-PenguinChubSuit-Adult,1,CR-UNWANTED_ITEM
tmnt020-leo-juniors-XL,1,AMZ-PG-APP-TOO-SMALL
tmnt020-don-juniors-S,1,AMZ-PG-APP-TOO-SMALL
tmnt020-mike-juniors-S,1,AMZ-PG-APP-TOO-SMALL
tmnt020-raph-juniors-2XL,1,AMZ-PG-APP-TOO-SMALL
220999-FightClubBlueShirt-S,1,CR-UNWANTED_ITEM
100980-TheQueenMusicBeltArmband,1,CR-UNWANTED_ITEM
ultimatewarriorbandSet,1,AMZ-PG-APP-STYLE
221030-CampWalden-Shirt-S,2,AMZ-PG-APP-TOO-SMALL
BlondeDreadlocks-1229,1,CR-UNWANTED_ITEM
scottpilgrimwristband-BlackandWhite,1,CR-SWITCHEROO
scottpilgrim004-M,1,CR-SWITCHEROO
Thing1-6-Union Suit-KIDS-5/6,1,CR-DEFECTIVE
junkfood187-XXL,1,CR-MISSED_ESTIMATED_DELIVERY
monstersinc003-S,1,CR-SWITCHEROO
monstersinc003-L,1,CR-SWITCHEROO
stepbros010-M,1,AMZ-PG-APP-TOO-SMALL
100576BROWN-S,1,AMZ-PG-APP-TOO-SMALL
TMNTShirt-Youth-Leonardo-M,1,AMZ-PG-APP-TOO-LARGE
hulkhogancostumesetYELsunREDban-XL,1,AMZ-PG-APP-TOO-LARGE
NDSS0K5M-PineappleHousePants-M,1,AMZ-PG-APP-TOO-LARGE
220999-FightClubBlueShirt-M,1,AMZ-PG-APP-TOO-SMALL
powerrangers018pink-6/12,1,AMZ-PG-APP-TOO-SMALL
junk187-XL,1,CR-UNWANTED_ITEM
jokercards,1,CR-ORDERED_WRONG_ITEM
BoxingRobe-Black,1,AMZ-PG-BAD-DESC
220733-WaldoOnesie-12M,1,CR-MISSING_PARTS
frankie002-L,1,AMZ-PG-APP-TOO-LARGE
sanford068-XL,1,CR-UNWANTED_ITEM
100576BLACK-M,1,AMZ-PG-APP-TOO-SMALL
dosequiswig001,1,CR-DEFECTIVE
RacineBellsCostumeDressGirls-7/8,1,CR-UNWANTED_ITEM
Thing1-6-Union Suit-KIDS-14/16,1,AMZ-PG-APP-TOO-LARGE
Thing1-6-Union Suit-KIDS-10/12,1,AMZ-PG-APP-TOO-LARGE
Thing1-6-UnionSuit-ADULT-S,1,AMZ-PG-APP-TOO-LARGE
hulk001jrYELN-S,1,CR-ORDERED_WRONG_ITEM
hulk001jrREDN-S,1,CR-ORDERED_WRONG_ITEM
221035-RetroJacketDesign1-L,1,CR-DEFECTIVE
tmntbackpack2,1,CR-DEFECTIVE
GM0002-TrixRabbitLoungePants-M,1,CR-UNWANTED_ITEM
HPSlytherinPajamaSet-Green-S,1,AMZ-PG-APP-TOO-LARGE
ultimatewarriorbandSet,1,AMZ-PG-BAD-DESC
PowerRangers-Black-SLShirt-2XL,1,CR-MISSED_ESTIMATED_DELIVERY
PowerRangers-Black-SLShirt-XL,1,CR-MISSED_ESTIMATED_DELIVERY
TMNTShirt-Youth-Raphael-XS,1,AMZ-PG-APP-TOO-LARGE
TMNTShirt-Youth-Leonardo-S,1,AMZ-PG-APP-TOO-LARGE
TMNTShirt-Youth-Leonardo-XS,1,AMZ-PG-APP-TOO-LARGE
220839-SashFlag,1,CR-UNWANTED_ITEM
starskyhutch001-S,1,AMZ-PG-APP-TOO-LARGE
ferris010-M,1,CR-UNWANTED_ITEM
100950-CowboyChaps1,2,CR-UNWANTED_ITEM
monstersinc003-3T,1,CR-SWITCHEROO
TSM20002TV-WoodyBelt-XL,1,CR-UNWANTED_ITEM
CY034-ChristmasStoryUnionSuit-5X,1,AMZ-PG-APP-TOO-SMALL
alanbabycarriercostumeDELUXE-XL,1,CR-ORDERED_WRONG_ITEM
221030-CampWalden-Shirt-S,1,AMZ-PG-APP-TOO-LARGE
221030-CampWalden-Shirt-S,1,AMZ-PG-APP-TOO-LARGE
bigldudecostume001-XXL,1,CR-UNWANTED_ITEM
bigldudecostume001-L,1,CR-UNWANTED_ITEM
waldocostumeDELUXE-L,1,CR-ORDERED_WRONG_ITEM
waldocostumeDELUXE-XL,1,CR-ORDERED_WRONG_ITEM
insideoutjoywig,1,AMZ-PG-BAD-DESC
PolkHighJersey-XL,1,AMZ-PG-BAD-DESC
220786-LT-DumbDumber-BLUE-L,1,CR-ORDERED_WRONG_ITEM
1156-PartyLateWigGoatee,1,AMZ-PG-APP-TOO-SMALL
4U9ML-ERNIE-CostumeShirt-L,1,AMZ-PG-APP-TOO-LARGE
ricflare001-blue,1,CR-UNWANTED_ITEM
juno004-M,1,AMZ-PG-APP-TOO-LARGE
juno004-S,1,AMZ-PG-APP-TOO-SMALL
DSMN-MensMonstersJacket-M,1,AMZ-PG-APP-TOO-LARGE
100576BLACK-L,1,DID_NOT_LIKE_COLOR
suicidesquad004-XL,1,AMZ-PG-APP-TOO-SMALL
103037-HighHellBoot-8,1,AMZ-PG-APP-TOO-SMALL
leagueoftheirowncostume-S/Mdeluxe,1,AMZ-PG-APP-TOO-LARGE
junk187-XL,1,CR-UNWANTED_ITEM
RedBandanaYellowGlasses,1,AMZ-PG-APP-TOO-LARGE
dodgeball003-L,1,AMZ-PG-APP-TOO-LARGE
junk187-4XL,1,AMZ-PG-APP-TOO-LARGE
biglpants001-S,1,AMZ-PG-APP-TOO-SMALL
flinttropicssocks,1,AMZ-PG-APP-TOO-LARGE
biglpants001-L,1,AMZ-PG-APP-TOO-SMALL
sbb015n-XXL,1,CR-UNWANTED_ITEM
hulk003red-XXL,1,AMZ-PG-BAD-DESC
DRSE0DEM-TipHat-Shirt-L,1,CR-UNWANTED_ITEM
nwo004redN-4XL,1,CR-MISSED_ESTIMATED_DELIVERY
slinky001-XL,1,DID_NOT_LIKE_COLOR
CCXX21-DietCokeTankDress-S,1,CR-UNWANTED_ITEM
dotstankdress-XS,1,CR-UNWANTED_ITEM
103015-BabyCarlosDollGlasses,1,CR-ORDERED_WRONG_ITEM
nerdstankdressFUCHSIA-S,1,CR-UNWANTED_ITEM
CCXX21-DietCokeTankDress-XS,1,CR-UNWANTED_ITEM
fourlokotankdressYellowGreen-S,1,CR-UNWANTED_ITEM
nerdstankdressFUCHSIA-XS,1,AMZ-PG-APP-TOO-LARGE
BoxingRobe-White,1,CR-FOUND_BETTER_PRICE
220916-FlintTropics33Set-L/XL,1,CR-MISSED_ESTIMATED_DELIVERY
waldocostumeDELUXE-M,1,AMZ-PG-BAD-DESC
waldocostumeDELUXE-S,1,AMZ-PG-BAD-DESC
waldocostumeDELUXE-XS,2,AMZ-PG-BAD-DESC
waldocostumeDELUXE-L,1,AMZ-PG-BAD-DESC
UDWW02PGP3-WendaCostume-XS,1,CR-ORDERED_WRONG_ITEM
100576BLACK-S,2,AMZ-PG-APP-TOO-LARGE
100576BROWN-S,1,AMZ-PG-APP-TOO-LARGE
204074-QuaggyGiggityShirt-L,1,CR-ORDERED_WRONG_ITEM
220832-OrangeDogCostume-7-8,1,CR-DEFECTIVE
YellowHulkGlasses,1,CR-ORDERED_WRONG_ITEM
4U9ML-ERNIE-CostumeShirt-M,1,AMZ-PG-APP-TOO-LARGE
220878-LEDSkeletonCostume-L-XL,1,AMZ-PG-BAD-DESC
beautybeast001-L-XL,1,AMZ-PG-APP-TOO-LARGE
HJCO2021-HootersCostumeSet-XXL,1,DID_NOT_LIKE_FABRIC
220840-Blonde-PinkRobe,1,AMZ-PG-BAD-DESC
drseuss015-XL,1,AMZ-PG-APP-TOO-SMALL
220982-Craig-OS,1,AMZ-PG-APP-TOO-SMALL
he020-M,1,CR-MISSED_ESTIMATED_DELIVERY
220697-MENS-MimeCostumeSet-M,1,AMZ-PG-APP-TOO-LARGE
community003-S,1,AMZ-PG-APP-TOO-SMALL
community003-S,1,AMZ-PG-APP-TOO-SMALL
dresshat001HAT3-Green,1,CR-UNWANTED_ITEM
mm003JRSgreen-XXL,1,DID_NOT_LIKE_COLOR
hulkbRed,1,CR-SWITCHEROO
