SKU,Quantity,Year
flocostume001,"5,411",2023
tmnteyemaskset,"4,834",2023
waldocostumeDELUXE-L,"2,683",2023
103015-BabyCarlosDollGlasses,"2,559",2023
fightclubglasses001,"2,498",2023
220839-SashFlag,"2,076",2023
103018-CousinEddieOrangeHose,"1,909",2023
waldocostumeDELUXE-M,"1,958",2023
machomanbandana-Red,"1,860",2023
waldocostumeDELUXE-XL,"1,897",2023
sharkcostume-M-L,"1,801",2023
sharkcostume-teen,"1,762",2023
leagueoftheirowncostume-L/XLdeluxe,"1,713",2023
6695057-yellowstoneBeltBuckle,"1,693",2023
suicidesquad003-S,"1,599",2023
RedBandanaYellowGlasses,"1,562",2023
progressiveFULL-stickerless,"1,503",2023
CY034-ChristmasStoryUnionSuit-L,"1,491",2023
CousinEdRobe-Hat-SET,"1,418",2023
adventuretimehat001-Finn,"1,380",2023
tmntmasks-Red,"1,404",2023
tmntmasks-Purple,"1,396",2023
CY034-ChristmasStoryUnionSuit-XL,"1,293",2023
tmntmasks-Blue,"1,294",2023
hangoverglasses,"1,272",2023
220834-GriswoldTie,"1,187",2023
tmntmasks-Orange,"1,184",2023
CY034-ChristmasStoryUnionSuit-XXL,"1,190",2023
CousinEddieWhiteRobe-220703,"1,118",2023
QF009BBSTV-BlueyPajamas-4,"1,111",2023
biglpants001-L,"1,098",2023
ChesterCheetosSuit-L,"1,092",2023
220965-GhostSpiderOnesie-5-6,"1,048",2023
100980-TheQueenMusicBeltArmband,"1,050",2023
ProgressiveFLO002,"1,042",2023
biglpants001-XL,"1,026",2023
PeepholeFrame,"1,082",2023
blowupguitar,"1,155",2023
fearloathingglasses,"1,033",2023
woodycostumeshirt-L-XL,968,2023
NL029-ChristmasVacationPajamaSet-XL,992,2023
waldocostumeDELUXE-S,975,2023
220941-GhostbustersGlovesBeltSet,"1,022",2023
hulkbRed,950,2023
sexpanthercologne003,994,2023
CY034-ChristmasStoryUnionSuit-M,962,2023
QF009BBSTV-BlueyPajamas-3T,919,2023
junk187-L,914,2023
suicidesquad003-M,913,2023
100576BLACK-M,912,2023
NL029-ChristmasVacationPajamaSet-L,919,2023
QF009BBSTV-BlueyPajamas-8,891,2023
leagueoftheirowncostume-Small/Medium,917,2023
103012-MooseMug-1pack,"1,224",2023
sharkcostume-XXL,899,2023
1156-PartyLateWigGoatee,877,2023
redboa001N,892,2023
boratthong,984,2023
